"Primary Disability (K-12), 2012-13"
"All Districts, Other Health Impairment"

"",,"2012-13",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",77,3.0,24.7
"Ashford School District","=""0030011""",12,3.0,24.0
"Avon School District","=""0040011""",76,2.2,21.3
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",58,1.9,19.4
"Bethany School District","=""0080011""",8,1.7,14.8
"Bethel School District","=""0090011""",54,1.8,16.9
"Bloomfield School District","=""0110011""",24,1.1,10.7
"Bolton School District","=""0120011""",27,3.3,31.4
"Bozrah School District","=""0130011""",7,2.1,17.5
"Branford School District","=""0140011""",106,3.2,23.7
"Bridgeport School District","=""0150011""",450,2.1,16.2
"Bristol School District","=""0170011""",301,3.6,24.4
"Brookfield School District","=""0180011""",71,2.5,24.3
"Brooklyn School District","=""0190011""",22,1.8,15.5
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",18,2.6,26.9
"Canton School District","=""0230011""",38,2.2,24.7
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",123,2.7,26.6
"Chester School District","=""0260011""",9,3.6,20.9
"Clinton School District","=""0270011""",40,2.0,20.4
"Colchester School District","=""0280011""",51,1.8,14.8
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",18,2.5,26.1
"Connecticut Technical High School System","=""9000016""",208,2.0,26.1
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",24,1.3,11.4
"Cromwell School District","=""0330011""",21,1.0,10.6
"Danbury School District","=""0340011""",171,1.7,15.2
"Darien School District","=""0350011""",155,3.2,26.6
"Deep River School District","=""0360011""",8,2.3,19.5
"Derby School District","=""0370011""",28,1.8,14.9
"East Granby School District","=""0400011""",17,1.9,18.7
"East Haddam School District","=""0410011""",25,2.0,15.6
"East Hampton School District","=""0420011""",22,1.1,14.5
"East Hartford School District","=""0430011""",204,2.6,18.7
"East Haven School District","=""0440011""",85,2.4,19.2
"East Lyme School District","=""0450011""",79,2.9,24.2
"East Windsor School District","=""0470011""",35,2.6,17.2
"Eastford School District","=""0390011""",7,3.3,25.0
"Easton School District","=""0460011""",16,1.6,21.3
"Ellington School District","=""0480011""",34,1.2,11.8
"Enfield School District","=""0490011""",101,1.8,13.5
"Essex School District","=""0500011""",12,2.5,27.3
"Fairfield School District","=""0510011""",254,2.5,23.0
"Farmington School District","=""0520011""",103,2.5,23.5
"Franklin School District","=""0530011""",8,2.9,24.2
"Glastonbury School District","=""0540011""",163,2.4,26.9
"Granby School District","=""0560011""",43,2.1,23.5
"Greenwich School District","=""0570011""",171,2.0,19.7
"Griswold School District","=""0580011""",57,3.2,23.9
"Groton School District","=""0590011""",102,2.1,14.4
"Guilford School District","=""0600011""",76,2.1,20.7
"Hamden School District","=""0620011""",163,2.4,20.2
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",486,2.4,14.3
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""",17,1.8,16.0
"Killingly School District","=""0690011""",89,3.6,24.3
"Lebanon School District","=""0710011""",27,2.4,17.9
"Ledyard School District","=""0720011""",72,2.9,21.6
"Lisbon School District","=""0730011""",14,2.3,17.3
"Litchfield School District","=""0740011""",26,2.5,21.7
"Madison School District","=""0760011""",95,2.8,27.0
"Manchester School District","=""0770011""",164,2.3,17.4
"Mansfield School District","=""0780011""",23,1.9,16.3
"Marlborough School District","=""0790011""",6,0.9,10.3
"Meriden School District","=""0800011""",239,2.7,18.5
"Middletown School District","=""0830011""",96,1.9,16.2
"Milford School District","=""0840011""",215,3.2,25.9
"Monroe School District","=""0850011""",78,2.2,21.4
"Montville School District","=""0860011""",60,2.4,20.9
"Naugatuck School District","=""0880011""",129,2.8,22.2
"New Britain School District","=""0890011""",353,3.2,22.0
"New Canaan School District","=""0900011""",78,1.9,20.3
"New Fairfield School District","=""0910011""",66,2.4,24.1
"New Hartford School District","=""0920011""",13,2.3,22.8
"New Haven School District","=""0930011""",479,2.6,20.5
"New London School District","=""0950011""",144,4.2,23.1
"New Milford School District","=""0960011""",145,3.2,24.5
"Newington School District","=""0940011""",73,1.7,13.5
"Newtown School District","=""0970011""",66,1.3,16.7
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",52,2.4,18.6
"North Canaan School District","=""1000011""",6,2.0,14.0
"North Haven School District","=""1010011""",68,1.9,19.3
"North Stonington School District","=""1020011""",15,2.0,22.1
"Norwalk School District","=""1030011""",237,2.1,20.0
"Norwich School District","=""1040011""",183,3.3,20.5
"Old Saybrook School District","=""1060011""",66,4.6,32.2
"Orange School District","=""1070011""",19,1.5,17.0
"Oxford School District","=""1080011""",31,1.5,20.1
"Plainfield School District","=""1090011""",54,2.3,18.4
"Plainville School District","=""1100011""",83,3.5,26.6
"Plymouth School District","=""1110011""",63,3.6,25.5
"Pomfret School District","=""1120011""",11,1.7,16.4
"Portland School District","=""1130011""",29,2.1,23.4
"Preston School District","=""1140011""",17,2.8,20.7
"Putnam School District","=""1160011""",14,1.2,8.0
"Redding School District","=""1170011""",33,3.0,24.6
"Regional School District 01","=""2010012""",11,2.6,19.0
"Regional School District 04","=""2040012""",30,3.0,21.6
"Regional School District 05","=""2050012""",65,2.7,23.4
"Regional School District 06","=""2060012""",23,2.6,20.7
"Regional School District 07","=""2070012""",19,1.8,16.8
"Regional School District 08","=""2080012""",75,4.0,33.0
"Regional School District 09","=""2090012""",42,4.0,34.1
"Regional School District 10","=""2100012""",52,2.0,19.8
"Regional School District 11","=""2110012""",17,5.2,24.6
"Regional School District 12","=""2120012""",29,3.6,23.0
"Regional School District 13","=""2130012""",57,2.9,20.5
"Regional School District 14","=""2140012""",42,2.5,21.0
"Regional School District 15","=""2150012""",88,2.1,17.7
"Regional School District 16","=""2160012""",55,2.3,20.7
"Regional School District 17","=""2170012""",67,3.0,21.5
"Regional School District 18","=""2180012""",24,1.7,15.2
"Regional School District 19","=""2190012""",55,5.0,31.6
"Ridgefield School District","=""1180011""",56,1.1,12.6
"Rocky Hill School District","=""1190011""",35,1.4,16.1
"Salem School District","=""1210011""",14,2.0,22.6
"Salisbury School District","=""1220011""","*","*","*"
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",32,1.4,13.2
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",108,2.1,19.0
"Sherman School District","=""1270011""",13,2.4,18.8
"Simsbury School District","=""1280011""",124,2.7,23.2
"Somers School District","=""1290011""",20,1.3,12.1
"South Windsor School District","=""1320011""",183,4.2,34.0
"Southington School District","=""1310011""",160,2.4,20.7
"Sprague School District","=""1330011""",12,2.7,30.0
"Stafford School District","=""1340011""",31,1.9,16.9
"Stamford School District","=""1350011""",263,1.7,17.2
"Sterling School District","=""1360011""",13,2.1,14.3
"Stonington School District","=""1370011""",54,2.2,17.7
"Stratford School District","=""1380011""",191,2.6,26.5
"Suffield School District","=""1390011""",44,1.9,17.8
"Thomaston School District","=""1400011""",30,2.6,21.0
"Thompson School District","=""1410011""",29,2.5,22.5
"Tolland School District","=""1420011""",61,2.1,19.4
"Torrington School District","=""1430011""",132,2.9,18.1
"Trumbull School District","=""1440011""",151,2.3,25.2
"Unified School District #1","=""3360015""",44,6.9,18.0
"Unified School District #2","=""3470015""",30,13.2,17.1
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",66,1.9,14.8
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",194,3.1,25.4
"Waterbury School District","=""1510011""",623,3.6,21.1
"Waterford School District","=""1520011""",99,3.5,28.0
"Watertown School District","=""1530011""",96,3.2,27.7
"West Hartford School District","=""1550011""",235,2.3,21.6
"West Haven School District","=""1560011""",115,1.6,13.3
"Westbrook School District","=""1540011""",10,1.2,11.5
"Weston School District","=""1570011""",51,2.1,24.1
"Westport School District","=""1580011""",102,1.8,17.7
"Wethersfield School District","=""1590011""",64,1.7,14.0
"Willington School District","=""1600011""",11,2.4,17.5
"Wilton School District","=""1610011""",99,2.3,19.8
"Winchester School District","=""1620011""",45,3.5,18.0
"Windham School District","=""1630011""",82,2.7,16.1
"Windsor Locks School District","=""1650011""",39,2.1,19.0
"Windsor School District","=""1640011""",83,2.1,14.2
"Wolcott School District","=""1660011""",53,2.0,22.9
