"Primary Disability (K-12), 2010-11"
"All Districts"

"",,,"2010-11",,
"District","District Code","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","All Disabilities",22,7.3,100.0
"Andover School District","=""0010011""","Autism","*","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*","*"
"Andover School District","=""0010011""","Learning Disability",6,2.0,27.3
"Andover School District","=""0010011""","Other Disabilities","*","*","*"
"Andover School District","=""0010011""","Other Health Impairment","*","*","*"
"Andover School District","=""0010011""","Speech Language Impairment",6,2.0,27.3
"Ansonia School District","=""0020011""","All Disabilities",308,11.1,100.0
"Ansonia School District","=""0020011""","Autism",34,1.2,11.0
"Ansonia School District","=""0020011""","Emotional Disturbance",34,1.2,11.0
"Ansonia School District","=""0020011""","Intellectual Disability",25,0.9,8.1
"Ansonia School District","=""0020011""","Learning Disability",70,2.5,22.7
"Ansonia School District","=""0020011""","Other Disabilities",25,0.9,8.1
"Ansonia School District","=""0020011""","Other Health Impairment",65,2.3,21.1
"Ansonia School District","=""0020011""","Speech Language Impairment",55,2.0,17.9
"Ashford School District","=""0030011""","All Disabilities",53,12.2,100.0
"Ashford School District","=""0030011""","Autism",7,1.6,13.2
"Ashford School District","=""0030011""","Emotional Disturbance","*","*","*"
"Ashford School District","=""0030011""","Intellectual Disability","*","*","*"
"Ashford School District","=""0030011""","Learning Disability",12,2.8,22.6
"Ashford School District","=""0030011""","Other Disabilities","*","*","*"
"Ashford School District","=""0030011""","Other Health Impairment",7,1.6,13.2
"Ashford School District","=""0030011""","Speech Language Impairment",20,4.6,37.7
"Avon School District","=""0040011""","All Disabilities",366,10.2,100.0
"Avon School District","=""0040011""","Autism",49,1.4,13.4
"Avon School District","=""0040011""","Emotional Disturbance",16,0.4,4.4
"Avon School District","=""0040011""","Intellectual Disability",13,0.4,3.6
"Avon School District","=""0040011""","Learning Disability",103,2.9,28.1
"Avon School District","=""0040011""","Other Disabilities",19,0.5,5.2
"Avon School District","=""0040011""","Other Health Impairment",77,2.2,21.0
"Avon School District","=""0040011""","Speech Language Impairment",89,2.5,24.3
"Barkhamsted School District","=""0050011""","All Disabilities",35,10.1,100.0
"Barkhamsted School District","=""0050011""","Autism","*","*","*"
"Barkhamsted School District","=""0050011""","Learning Disability",14,4.1,40.0
"Barkhamsted School District","=""0050011""","Other Disabilities","*","*","*"
"Barkhamsted School District","=""0050011""","Other Health Impairment","*","*","*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment",14,4.1,40.0
