"Primary Disability (K-12), 2013-14"
"All Districts, Autism"

"",,"2013-14",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",38,1.5,11.2
"Ashford School District","=""0030011""",9,2.3,19.1
"Avon School District","=""0040011""",54,1.6,15.5
"Berlin School District","=""0070011""",36,1.2,11.8
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",35,1.2,11.1
"Bloomfield School District","=""0110011""",16,0.8,6.8
"Bolton School District","=""0120011""","*","*","*"
"Bozrah School District","=""0130011""",9,2.7,24.3
"Branford School District","=""0140011""",41,1.3,9.8
"Bridgeport School District","=""0150011""",217,1.0,7.7
"Bristol School District","=""0170011""",85,1.0,6.6
"Brookfield School District","=""0180011""",44,1.6,13.9
"Brooklyn School District","=""0190011""","*","*","*"
"Canterbury School District","=""0220011""",15,2.3,22.4
"Canton School District","=""0230011""",23,1.3,13.9
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",61,1.3,13.1
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",28,1.4,13.8
"Colchester School District","=""0280011""",33,1.2,9.1
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",6,0.9,8.7
"Connecticut Technical High School System","=""9000016""",45,0.4,5.1
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""","*","*","*"
"Cromwell School District","=""0330011""",33,1.6,16.1
"Danbury School District","=""0340011""",138,1.3,11.5
"Darien School District","=""0350011""",46,0.9,8.8
"Deep River School District","=""0360011""",6,1.8,14.0
"Derby School District","=""0370011""",18,1.1,8.8
"East Granby School District","=""0400011""",10,1.1,11.9
"East Haddam School District","=""0410011""",28,2.3,16.1
"East Hampton School District","=""0420011""",34,1.7,22.1
"East Hartford School District","=""0430011""",97,1.2,8.7
"East Haven School District","=""0440011""",56,1.7,12.9
"East Lyme School District","=""0450011""",49,1.9,14.6
"East Windsor School District","=""0470011""",18,1.4,9.1
"Eastford School District","=""0390011""",6,3.0,27.3
"Easton School District","=""0460011""",9,1.0,10.6
"Ellington School District","=""0480011""","*","*","*"
"Enfield School District","=""0490011""",85,1.6,11.3
"Essex School District","=""0500011""",8,1.8,17.8
"Fairfield School District","=""0510011""",141,1.4,13.0
"Farmington School District","=""0520011""",81,2.0,18.6
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",83,1.3,13.5
"Granby School District","=""0560011""",18,0.9,9.4
"Greenwich School District","=""0570011""",91,1.1,10.7
"Griswold School District","=""0580011""",26,1.5,10.2
"Groton School District","=""0590011""",108,2.2,14.8
"Guilford School District","=""0600011""",64,1.8,17.2
"Hamden School District","=""0620011""",123,1.8,14.1
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",314,1.5,9.2
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""",10,1.2,10.5
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",52,2.2,13.8
"Lebanon School District","=""0710011""",20,1.8,12.8
"Ledyard School District","=""0720011""",49,2.0,14.2
"Lisbon School District","=""0730011""",8,1.3,9.4
"Litchfield School District","=""0740011""",6,0.6,5.5
"Madison School District","=""0760011""",48,1.5,13.4
"Manchester School District","=""0770011""",96,1.4,10.8
"Mansfield School District","=""0780011""",15,1.3,10.7
"Marlborough School District","=""0790011""",6,1.0,11.5
"Meriden School District","=""0800011""",131,1.5,9.3
"Middletown School District","=""0830011""",68,1.3,11.3
"Milford School District","=""0840011""",88,1.4,11.0
"Monroe School District","=""0850011""",34,1.0,9.5
"Montville School District","=""0860011""",32,1.3,11.4
"Naugatuck School District","=""0880011""",72,1.6,11.9
"New Britain School District","=""0890011""",147,1.4,9.0
"New Canaan School District","=""0900011""",47,1.1,13.0
"New Fairfield School District","=""0910011""",14,0.5,5.4
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",240,1.3,9.9
"New London School District","=""0950011""",65,1.9,10.1
"New Milford School District","=""0960011""",77,1.8,13.2
"Newington School District","=""0940011""",63,1.5,11.8
"Newtown School District","=""0970011""",80,1.6,19.7
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",25,1.2,8.7
"North Canaan School District","=""1000011""",6,2.1,13.6
"North Haven School District","=""1010011""",62,1.8,16.7
"North Stonington School District","=""1020011""",7,0.9,10.8
"Norwalk School District","=""1030011""",126,1.1,10.3
"Norwich School District","=""1040011""",79,1.4,9.0
"Old Saybrook School District","=""1060011""",30,2.2,14.3
"Orange School District","=""1070011""",14,1.2,12.8
"Oxford School District","=""1080011""",29,1.4,13.9
"Plainfield School District","=""1090011""",35,1.5,12.7
"Plainville School District","=""1100011""",36,1.5,11.0
"Plymouth School District","=""1110011""",28,1.7,12.0
"Pomfret School District","=""1120011""",13,2.1,20.0
"Portland School District","=""1130011""",12,0.8,9.4
"Preston School District","=""1140011""",13,2.1,14.3
"Putnam School District","=""1160011""",29,2.5,15.2
"Redding School District","=""1170011""",14,1.4,10.8
"Regional School District 01","=""2010012""",8,1.9,13.1
"Regional School District 04","=""2040012""",25,2.5,17.2
"Regional School District 05","=""2050012""",40,1.7,14.9
"Regional School District 06","=""2060012""",9,1.1,8.1
"Regional School District 07","=""2070012""",17,1.6,14.0
"Regional School District 08","=""2080012""",16,0.9,7.3
"Regional School District 09","=""2090012""",14,1.3,11.2
"Regional School District 10","=""2100012""",38,1.5,15.1
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",12,1.6,9.5
"Regional School District 13","=""2130012""",40,2.1,14.7
"Regional School District 14","=""2140012""",32,2.0,17.4
"Regional School District 15","=""2150012""",74,1.8,15.7
"Regional School District 16","=""2160012""",47,2.0,16.4
"Regional School District 17","=""2170012""",34,1.5,10.6
"Regional School District 18","=""2180012""",18,1.3,11.2
"Regional School District 19","=""2190012""",17,1.7,10.2
"Ridgefield School District","=""1180011""",70,1.3,15.5
"Rocky Hill School District","=""1190011""",35,1.4,15.5
"Salem School District","=""1210011""",10,1.5,14.9
"Salisbury School District","=""1220011""","*","*","*"
"Seymour School District","=""1240011""",35,1.5,13.7
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",67,1.3,11.0
"Sherman School District","=""1270011""",9,1.7,13.6
"Simsbury School District","=""1280011""",101,2.3,18.8
"Somers School District","=""1290011""","*","*","*"
"South Windsor School District","=""1320011""",81,1.8,14.6
"Southington School District","=""1310011""",90,1.3,11.5
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",26,1.7,14.3
"Stamford School District","=""1350011""",130,0.8,7.8
"Sterling School District","=""1360011""",14,2.3,15.7
"Stonington School District","=""1370011""",44,1.9,14.3
"Stratford School District","=""1380011""",121,1.6,16.0
"Suffield School District","=""1390011""",46,2.0,18.9
"Thomaston School District","=""1400011""",9,0.8,6.5
"Thompson School District","=""1410011""",9,0.8,7.6
"Tolland School District","=""1420011""",48,1.7,16.2
"Torrington School District","=""1430011""",71,1.6,9.6
"Trumbull School District","=""1440011""",90,1.4,15.0
"Unified School District #1","=""3360015""","*","*","*"
"Unified School District #2","=""3470015""",6,2.6,3.9
"Vernon School District","=""1460011""",56,1.6,11.9
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",88,1.5,12.3
"Waterbury School District","=""1510011""",201,1.1,6.5
"Waterford School District","=""1520011""",42,1.5,11.3
"Watertown School District","=""1530011""",42,1.4,12.1
"West Hartford School District","=""1550011""",183,1.8,16.2
"West Haven School District","=""1560011""",78,1.1,8.6
"Westbrook School District","=""1540011""",15,1.8,18.1
"Weston School District","=""1570011""",33,1.4,16.3
"Westport School District","=""1580011""",52,0.9,9.4
"Wethersfield School District","=""1590011""",64,1.6,13.5
"Willington School District","=""1600011""","*","*","*"
"Wilton School District","=""1610011""",53,1.2,10.4
"Winchester School District","=""1620011""",32,2.5,13.4
"Windham School District","=""1630011""",45,1.5,9.3
"Windsor Locks School District","=""1650011""",22,1.2,10.6
"Windsor School District","=""1640011""",50,1.3,8.8
"Wolcott School District","=""1660011""",21,0.8,9.3
"Woodbridge School District","=""1670011""",6,0.8,10.2
"Woodstock School District","=""1690011""",15,1.2,14.2

