"Primary Disability (K-12), 2012-13"
"All Districts"

"",,,"2012-13",,
"District","District Code","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","All Disabilities",22,7.6,100.0
"Andover School District","=""0010011""","Autism","*","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*","*"
"Andover School District","=""0010011""","Learning Disability",7,2.4,31.8
"Andover School District","=""0010011""","Other Health Impairment","*","*","*"
"Andover School District","=""0010011""","Speech Language Impairment","*","*","*"
"Ansonia School District","=""0020011""","All Disabilities",312,12.1,100.0
"Ansonia School District","=""0020011""","Autism",39,1.5,12.5
"Ansonia School District","=""0020011""","Emotional Disturbance",20,0.8,6.4
"Ansonia School District","=""0020011""","Intellectual Disability",23,0.9,7.4
"Ansonia School District","=""0020011""","Learning Disability",83,3.2,26.6
"Ansonia School District","=""0020011""","Other Disabilities",31,1.2,9.9
"Ansonia School District","=""0020011""","Other Health Impairment",77,3.0,24.7
"Ansonia School District","=""0020011""","Speech Language Impairment",39,1.5,12.5
"Ashford School District","=""0030011""","All Disabilities",50,12.5,100.0
"Ashford School District","=""0030011""","Autism",10,2.5,20.0
"Ashford School District","=""0030011""","Emotional Disturbance","*","*","*"
"Ashford School District","=""0030011""","Intellectual Disability","*","*","*"
"Ashford School District","=""0030011""","Learning Disability",9,2.2,18.0
"Ashford School District","=""0030011""","Other Disabilities","*","*","*"
"Ashford School District","=""0030011""","Other Health Impairment",12,3.0,24.0
"Ashford School District","=""0030011""","Speech Language Impairment",13,3.2,26.0
"Avon School District","=""0040011""","All Disabilities",356,10.3,100.0
"Avon School District","=""0040011""","Autism",52,1.5,14.6
"Avon School District","=""0040011""","Emotional Disturbance",16,0.5,4.5
"Avon School District","=""0040011""","Intellectual Disability",11,0.3,3.1
"Avon School District","=""0040011""","Learning Disability",104,3.0,29.2
"Avon School District","=""0040011""","Other Disabilities",26,0.8,7.3
"Avon School District","=""0040011""","Other Health Impairment",76,2.2,21.3
"Avon School District","=""0040011""","Speech Language Impairment",71,2.1,19.9
"Barkhamsted School District","=""0050011""","All Disabilities",37,11.2,100.0
"Barkhamsted School District","=""0050011""","Autism","*","*","*"
"Barkhamsted School District","=""0050011""","Learning Disability",18,5.5,48.6
"Barkhamsted School District","=""0050011""","Other Disabilities","*","*","*"
"Barkhamsted School District","=""0050011""","Other Health Impairment","*","*","*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment",14,4.2,37.8
"Berlin School District","=""0070011""","All Disabilities",299,9.8,100.0
"Berlin School District","=""0070011""","Autism",39,1.3,13.0
"Berlin School District","=""0070011""","Emotional Disturbance",16,0.5,5.4
"Berlin School District","=""0070011""","Intellectual Disability","*","*","*"
"Berlin School District","=""0070011""","Learning Disability",90,3.0,30.1
"Berlin School District","=""0070011""","Other Disabilities","*","*","*"
"Berlin School District","=""0070011""","Other Health Impairment",58,1.9,19.4
"Berlin School District","=""0070011""","Speech Language Impairment",79,2.6,26.4
"Bethany School District","=""0080011""","All Disabilities",54,11.7,100.0
"Bethany School District","=""0080011""","Autism","*","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*","*"
"Bethany School District","=""0080011""","Intellectual Disability","*","*","*"
"Bethany School District","=""0080011""","Learning Disability",19,4.1,35.2
"Bethany School District","=""0080011""","Other Disabilities","*","*","*"
"Bethany School District","=""0080011""","Other Health Impairment",8,1.7,14.8
"Bethany School District","=""0080011""","Speech Language Impairment",13,2.8,24.1
"Bethel School District","=""0090011""","All Disabilities",319,10.9,100.0
"Bethel School District","=""0090011""","Autism",33,1.1,10.3
"Bethel School District","=""0090011""","Emotional Disturbance","*","*","*"
"Bethel School District","=""0090011""","Intellectual Disability","*","*","*"
"Bethel School District","=""0090011""","Learning Disability",121,4.1,37.9
"Bethel School District","=""0090011""","Other Disabilities",44,1.5,13.8
"Bethel School District","=""0090011""","Other Health Impairment",54,1.8,16.9
"Bethel School District","=""0090011""","Speech Language Impairment",47,1.6,14.7
"Bloomfield School District","=""0110011""","All Disabilities",224,10.2,100.0
"Bloomfield School District","=""0110011""","Autism",18,0.8,8.0
"Bloomfield School District","=""0110011""","Emotional Disturbance",26,1.2,11.6
"Bloomfield School District","=""0110011""","Intellectual Disability",17,0.8,7.6
"Bloomfield School District","=""0110011""","Learning Disability",73,3.3,32.6
"Bloomfield School District","=""0110011""","Other Disabilities",21,1.0,9.4
"Bloomfield School District","=""0110011""","Other Health Impairment",24,1.1,10.7
"Bloomfield School District","=""0110011""","Speech Language Impairment",45,2.1,20.1
"Bolton School District","=""0120011""","All Disabilities",86,10.5,100.0
"Bolton School District","=""0120011""","Autism","*","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance",7,0.9,8.1
"Bolton School District","=""0120011""","Intellectual Disability",6,0.7,7.0
"Bolton School District","=""0120011""","Learning Disability",27,3.3,31.4
"Bolton School District","=""0120011""","Other Disabilities","*","*","*"
"Bolton School District","=""0120011""","Other Health Impairment",27,3.3,31.4
"Bolton School District","=""0120011""","Speech Language Impairment",11,1.3,12.8
"Bozrah School District","=""0130011""","All Disabilities",40,12.0,100.0
"Bozrah School District","=""0130011""","Autism",8,2.4,20.0
"Bozrah School District","=""0130011""","Emotional Disturbance","*","*","*"
"Bozrah School District","=""0130011""","Learning Disability",13,3.9,32.5
"Bozrah School District","=""0130011""","Other Disabilities","*","*","*"
"Bozrah School District","=""0130011""","Other Health Impairment",7,2.1,17.5
"Bozrah School District","=""0130011""","Speech Language Impairment","*","*","*"
"Branford School District","=""0140011""","All Disabilities",448,13.6,100.0
"Branford School District","=""0140011""","Autism",42,1.3,9.4
"Branford School District","=""0140011""","Emotional Disturbance",58,1.8,12.9
"Branford School District","=""0140011""","Intellectual Disability",21,0.6,4.7
"Branford School District","=""0140011""","Learning Disability",119,3.6,26.6
"Branford School District","=""0140011""","Other Disabilities",20,0.6,4.5
"Branford School District","=""0140011""","Other Health Impairment",106,3.2,23.7
"Branford School District","=""0140011""","Speech Language Impairment",82,2.5,18.3
"Bridgeport School District","=""0150011""","All Disabilities",2784,12.9,100.0
"Bridgeport School District","=""0150011""","Autism",198,0.9,7.1
"Bridgeport School District","=""0150011""","Emotional Disturbance",254,1.2,9.1
"Bridgeport School District","=""0150011""","Intellectual Disability",128,0.6,4.6
"Bridgeport School District","=""0150011""","Learning Disability",997,4.6,35.8
"Bridgeport School District","=""0150011""","Other Disabilities",355,1.6,12.8
"Bridgeport School District","=""0150011""","Other Health Impairment",450,2.1,16.2
"Bridgeport School District","=""0150011""","Speech Language Impairment",402,1.9,14.4
"Bristol School District","=""0170011""","All Disabilities",1233,14.9,100.0
"Bristol School District","=""0170011""","Autism",79,1.0,6.4
"Bristol School District","=""0170011""","Emotional Disturbance",125,1.5,10.1
"Bristol School District","=""0170011""","Intellectual Disability",12,0.1,1.0
"Bristol School District","=""0170011""","Learning Disability",424,5.1,34.4
"Bristol School District","=""0170011""","Other Disabilities",99,1.2,8.0
"Bristol School District","=""0170011""","Other Health Impairment",301,3.6,24.4
"Bristol School District","=""0170011""","Speech Language Impairment",193,2.3,15.7
"Brookfield School District","=""0180011""","All Disabilities",292,10.4,100.0
"Brookfield School District","=""0180011""","Autism",41,1.5,14.0
"Brookfield School District","=""0180011""","Emotional Disturbance",22,0.8,7.5
"Brookfield School District","=""0180011""","Intellectual Disability","*","*","*"
"Brookfield School District","=""0180011""","Learning Disability",92,3.3,31.5
"Brookfield School District","=""0180011""","Other Disabilities","*","*","*"
"Brookfield School District","=""0180011""","Other Health Impairment",71,2.5,24.3
"Brookfield School District","=""0180011""","Speech Language Impairment",45,1.6,15.4
"Brooklyn School District","=""0190011""","All Disabilities",142,11.9,100.0
"Brooklyn School District","=""0190011""","Autism","*","*","*"
"Brooklyn School District","=""0190011""","Emotional Disturbance",15,1.3,10.6
"Brooklyn School District","=""0190011""","Intellectual Disability","*","*","*"
"Brooklyn School District","=""0190011""","Learning Disability",61,5.1,43.0
"Brooklyn School District","=""0190011""","Other Disabilities",13,1.1,9.2
"Brooklyn School District","=""0190011""","Other Health Impairment",22,1.8,15.5
"Brooklyn School District","=""0190011""","Speech Language Impairment",21,1.8,14.8
"Canaan School District","=""0210011""","All Disabilities",13,16.9,100.0
"Canaan School District","=""0210011""","Learning Disability","*","*","*"
"Canaan School District","=""0210011""","Other Disabilities","*","*","*"
"Canaan School District","=""0210011""","Other Health Impairment","*","*","*"
"Canaan School District","=""0210011""","Speech Language Impairment","*","*","*"
"Canterbury School District","=""0220011""","All Disabilities",67,9.6,100.0
"Canterbury School District","=""0220011""","Autism",14,2.0,20.9
"Canterbury School District","=""0220011""","Emotional Disturbance",6,0.9,9.0
"Canterbury School District","=""0220011""","Learning Disability",15,2.2,22.4
"Canterbury School District","=""0220011""","Other Disabilities",7,1.0,10.4
"Canterbury School District","=""0220011""","Other Health Impairment",18,2.6,26.9
"Canterbury School District","=""0220011""","Speech Language Impairment",7,1.0,10.4
"Canton School District","=""0230011""","All Disabilities",154,8.7,100.0
"Canton School District","=""0230011""","Autism",24,1.4,15.6
"Canton School District","=""0230011""","Emotional Disturbance","*","*","*"
"Canton School District","=""0230011""","Intellectual Disability","*","*","*"
"Canton School District","=""0230011""","Learning Disability",48,2.7,31.2
"Canton School District","=""0230011""","Other Disabilities",11,0.6,7.1
"Canton School District","=""0230011""","Other Health Impairment",38,2.2,24.7
"Canton School District","=""0230011""","Speech Language Impairment",18,1.0,11.7
"Chaplin School District","=""0240011""","All Disabilities",16,10.1,100.0
"Chaplin School District","=""0240011""","Autism","*","*","*"
"Chaplin School District","=""0240011""","Learning Disability",9,5.7,56.3
"Chaplin School District","=""0240011""","Other Disabilities","*","*","*"
"Chaplin School District","=""0240011""","Other Health Impairment","*","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment","*","*","*"
"Cheshire School District","=""0250011""","All Disabilities",463,10.0,100.0
"Cheshire School District","=""0250011""","Autism",61,1.3,13.2
"Cheshire School District","=""0250011""","Emotional Disturbance",41,0.9,8.9
"Cheshire School District","=""0250011""","Intellectual Disability",24,0.5,5.2
"Cheshire School District","=""0250011""","Learning Disability",118,2.5,25.5
"Cheshire School District","=""0250011""","Other Disabilities",32,0.7,6.9
"Cheshire School District","=""0250011""","Other Health Impairment",123,2.7,26.6
"Cheshire School District","=""0250011""","Speech Language Impairment",64,1.4,13.8
"Chester School District","=""0260011""","All Disabilities",43,17.0,100.0
"Chester School District","=""0260011""","Autism","*","*","*"
"Chester School District","=""0260011""","Emotional Disturbance","*","*","*"
"Chester School District","=""0260011""","Intellectual Disability","*","*","*"
"Chester School District","=""0260011""","Learning Disability",17,6.7,39.5
"Chester School District","=""0260011""","Other Disabilities","*","*","*"
"Chester School District","=""0260011""","Other Health Impairment",9,3.6,20.9
"Chester School District","=""0260011""","Speech Language Impairment",8,3.2,18.6
