"Primary Disability (K-12), 2013-14"
"All Districts, Other Health Impairment"

"",,"2013-14",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",7,2.5,36.8
"Ansonia School District","=""0020011""",80,3.2,23.7
"Ashford School District","=""0030011""",14,3.6,29.8
"Avon School District","=""0040011""",72,2.1,20.7
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",56,1.8,18.4
"Bethany School District","=""0080011""",10,2.4,19.2
"Bethel School District","=""0090011""",62,2.1,19.6
"Bloomfield School District","=""0110011""",33,1.6,14.0
"Bolton School District","=""0120011""",23,2.8,27.1
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",104,3.2,24.8
"Bridgeport School District","=""0150011""",484,2.2,17.2
"Bristol School District","=""0170011""",317,3.8,24.5
"Brookfield School District","=""0180011""",83,3.0,26.3
"Brooklyn School District","=""0190011""",22,1.9,15.6
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",19,2.9,28.4
"Canton School District","=""0230011""",38,2.2,23.0
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",115,2.5,24.6
"Chester School District","=""0260011""",7,3.1,20.0
"Clinton School District","=""0270011""",49,2.5,24.1
"Colchester School District","=""0280011""",59,2.1,16.3
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",19,2.7,27.5
"Connecticut Technical High School System","=""9000016""",227,2.1,25.8
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",30,1.7,14.1
"Cromwell School District","=""0330011""",24,1.2,11.7
"Danbury School District","=""0340011""",181,1.7,15.1
"Darien School District","=""0350011""",148,3.0,28.4
"Deep River School District","=""0360011""",9,2.7,20.9
"Derby School District","=""0370011""",45,2.8,22.0
"East Granby School District","=""0400011""",12,1.3,14.3
"East Haddam School District","=""0410011""",26,2.2,14.9
"East Hampton School District","=""0420011""",21,1.1,13.6
"East Hartford School District","=""0430011""",232,3.0,20.8
"East Haven School District","=""0440011""",80,2.4,18.4
"East Lyme School District","=""0450011""",78,2.9,23.3
"East Windsor School District","=""0470011""",33,2.5,16.7
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",15,1.6,17.6
"Ellington School District","=""0480011""",28,1.0,9.5
"Enfield School District","=""0490011""",103,1.9,13.7
"Essex School District","=""0500011""",7,1.5,15.6
"Fairfield School District","=""0510011""",250,2.4,23.1
"Farmington School District","=""0520011""",108,2.7,24.8
