"Primary Disability (K-12), 2013-14"
"All Districts, Other Disabilities"

"",,"2013-14",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Ansonia School District","=""0020011""",35,1.4,10.4
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",33,1.0,9.5
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""","*","*","*"
"Bethany School District","=""0080011""",6,1.4,11.5
"Bethel School District","=""0090011""",43,1.5,13.6
"Bloomfield School District","=""0110011""",26,1.2,11.0
"Bolton School District","=""0120011""","*","*","*"
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",22,0.7,5.3
"Bridgeport School District","=""0150011""",353,1.6,12.5
"Bristol School District","=""0170011""",103,1.2,8.0
"Brookfield School District","=""0180011""","*","*","*"
"Brooklyn School District","=""0190011""",12,1.0,8.5
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",10,1.5,14.9
"Canton School District","=""0230011""","*","*","*"
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",31,0.7,6.6
"Clinton School District","=""0270011""",12,0.6,5.9
"Colchester School District","=""0280011""",12,0.4,3.3
"Columbia School District","=""0300011""",8,1.1,11.6
"Connecticut Technical High School System","=""9000016""","*","*","*"
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",23,1.3,10.8
"Cromwell School District","=""0330011""",22,1.1,10.7
"Danbury School District","=""0340011""",126,1.2,10.5
"Darien School District","=""0350011""",43,0.9,8.2
"Deep River School District","=""0360011""","*","*","*"
"Derby School District","=""0370011""",14,0.9,6.8
"East Granby School District","=""0400011""","*","*","*"
"East Haddam School District","=""0410011""",12,1.0,6.9
"East Hampton School District","=""0420011""",6,0.3,3.9
"East Hartford School District","=""0430011""",120,1.5,10.7
"East Haven School District","=""0440011""",45,1.3,10.3
"East Lyme School District","=""0450011""",16,0.6,4.8
"East Windsor School District","=""0470011""",12,0.9,6.1
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",14,1.5,16.5
"Ellington School District","=""0480011""",37,1.4,12.5
"Enfield School District","=""0490011""",61,1.1,8.1
"Essex School District","=""0500011""","*","*","*"
"Fairfield School District","=""0510011""",53,0.5,4.9
"Farmington School District","=""0520011""",24,0.6,5.5
"Glastonbury School District","=""0540011""",39,0.6,6.4
"Granby School District","=""0560011""","*","*","*"
"Greenwich School District","=""0570011""",28,0.3,3.3
"Griswold School District","=""0580011""",14,0.8,5.5
"Groton School District","=""0590011""",73,1.5,10.0
"Guilford School District","=""0600011""",20,0.6,5.4
"Hamden School District","=""0620011""",62,0.9,7.1
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",256,1.3,7.5
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""","*","*","*"
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",29,1.2,7.7
"Lebanon School District","=""0710011""","*","*","*"
"Ledyard School District","=""0720011""",46,1.9,13.4
