"Primary Disability (K-12), 2013-14"
"All Districts, Learning Disability"

"",,"2013-14",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",6,2.1,31.6
"Ansonia School District","=""0020011""",90,3.6,26.6
"Ashford School District","=""0030011""",10,2.6,21.3
"Avon School District","=""0040011""",95,2.8,27.3
"Barkhamsted School District","=""0050011""",15,5.1,41.7
"Berlin School District","=""0070011""",92,3.0,30.2
"Bethany School District","=""0080011""",17,4.0,32.7
"Bethel School District","=""0090011""",119,4.1,37.7
"Bloomfield School District","=""0110011""",84,4.0,35.6
"Bolton School District","=""0120011""",23,2.8,27.1
"Bozrah School District","=""0130011""",14,4.2,37.8
"Branford School District","=""0140011""",115,3.6,27.4
"Bridgeport School District","=""0150011""",1005,4.6,35.7
"Bristol School District","=""0170011""",489,5.9,37.8
"Brookfield School District","=""0180011""",110,4.0,34.8
"Brooklyn School District","=""0190011""",60,5.1,42.6
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",10,1.5,14.9
"Canton School District","=""0230011""",61,3.6,37.0
"Chaplin School District","=""0240011""",11,7.0,52.4
"Cheshire School District","=""0250011""",127,2.8,27.2
"Chester School District","=""0260011""",14,6.1,40.0
"Clinton School District","=""0270011""",57,2.9,28.1
"Colchester School District","=""0280011""",126,4.5,34.9
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",24,3.4,34.8
"Connecticut Technical High School System","=""9000016""",507,4.7,57.7
"Cornwall School District","=""0310011""",8,7.8,42.1
"Coventry School District","=""0320011""",79,4.4,37.1
"Cromwell School District","=""0330011""",54,2.7,26.3
"Danbury School District","=""0340011""",514,4.9,43.0
"Darien School District","=""0350011""",159,3.2,30.5
"Deep River School District","=""0360011""",17,5.1,39.5
"Derby School District","=""0370011""",50,3.1,24.4
"East Granby School District","=""0400011""",33,3.7,39.3
"East Haddam School District","=""0410011""",47,3.9,27.0
"East Hampton School District","=""0420011""",38,1.9,24.7
"East Hartford School District","=""0430011""",292,3.7,26.1
"East Haven School District","=""0440011""",111,3.3,25.5
"East Lyme School District","=""0450011""",132,5.0,39.4
"East Windsor School District","=""0470011""",71,5.5,35.9
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",28,3.0,32.9
"Ellington School District","=""0480011""",146,5.4,49.3
"Enfield School District","=""0490011""",231,4.3,30.8
"Essex School District","=""0500011""",8,1.8,17.8
"Fairfield School District","=""0510011""",349,3.4,32.2
"Farmington School District","=""0520011""",115,2.8,26.4
"Franklin School District","=""0530011""",11,4.3,32.4
"Glastonbury School District","=""0540011""",156,2.4,25.4
"Granby School District","=""0560011""",62,3.1,32.3
"Greenwich School District","=""0570011""",344,4.0,40.3
"Griswold School District","=""0580011""",68,3.8,26.8
"Groton School District","=""0590011""",210,4.3,28.8
"Guilford School District","=""0600011""",109,3.1,29.2
"Hamden School District","=""0620011""",257,3.8,29.4
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",1256,6.2,36.8
"Hartland School District","=""0650011""",14,5.0,43.8
"Hebron School District","=""0670011""",33,3.9,34.7
"Kent School District","=""0680011""",14,5.6,56.0
"Killingly School District","=""0690011""",83,3.5,22.0
"Lebanon School District","=""0710011""",63,5.7,40.4
"Ledyard School District","=""0720011""",92,3.7,26.7
"Lisbon School District","=""0730011""",18,2.9,21.2
"Litchfield School District","=""0740011""",49,4.9,44.5
"Madison School District","=""0760011""",147,4.5,41.1
"Manchester School District","=""0770011""",268,3.8,30.1
"Mansfield School District","=""0780011""",53,4.5,37.9
"Marlborough School District","=""0790011""",28,4.7,53.8
"Meriden School District","=""0800011""",500,5.6,35.5
"Middletown School District","=""0830011""",167,3.3,27.7
"Milford School District","=""0840011""",156,2.4,19.5
"Monroe School District","=""0850011""",120,3.6,33.5
"Montville School District","=""0860011""",80,3.2,28.6
"Naugatuck School District","=""0880011""",246,5.5,40.8
"New Britain School District","=""0890011""",568,5.3,34.7
"New Canaan School District","=""0900011""",105,2.5,29.0
