"Primary Disability (K-12), 2013-14"
"All Districts"

"",,,"2013-14",,
"District","District Code","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","All Disabilities",19,6.8,100.0
"Andover School District","=""0010011""","Autism","*","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*","*"
"Andover School District","=""0010011""","Learning Disability",6,2.1,31.6
"Andover School District","=""0010011""","Other Health Impairment",7,2.5,36.8
"Andover School District","=""0010011""","Speech Language Impairment","*","*","*"
"Ansonia School District","=""0020011""","All Disabilities",338,13.7,100.0
"Ansonia School District","=""0020011""","Autism",38,1.5,11.2
"Ansonia School District","=""0020011""","Emotional Disturbance",31,1.3,9.2
"Ansonia School District","=""0020011""","Intellectual Disability",18,0.7,5.3
"Ansonia School District","=""0020011""","Learning Disability",90,3.6,26.6
"Ansonia School District","=""0020011""","Other Disabilities",35,1.4,10.4
"Ansonia School District","=""0020011""","Other Health Impairment",80,3.2,23.7
"Ansonia School District","=""0020011""","Speech Language Impairment",46,1.9,13.6
"Ashford School District","=""0030011""","All Disabilities",47,12.1,100.0
"Ashford School District","=""0030011""","Autism",9,2.3,19.1
"Ashford School District","=""0030011""","Intellectual Disability","*","*","*"
"Ashford School District","=""0030011""","Learning Disability",10,2.6,21.3
"Ashford School District","=""0030011""","Other Disabilities","*","*","*"
"Ashford School District","=""0030011""","Other Health Impairment",14,3.6,29.8
"Ashford School District","=""0030011""","Speech Language Impairment",11,2.8,23.4
"Avon School District","=""0040011""","All Disabilities",348,10.2,100.0
"Avon School District","=""0040011""","Autism",54,1.6,15.5
"Avon School District","=""0040011""","Emotional Disturbance",17,0.5,4.9
"Avon School District","=""0040011""","Intellectual Disability",11,0.3,3.2
"Avon School District","=""0040011""","Learning Disability",95,2.8,27.3
"Avon School District","=""0040011""","Other Disabilities",33,1.0,9.5
"Avon School District","=""0040011""","Other Health Impairment",72,2.1,20.7
"Avon School District","=""0040011""","Speech Language Impairment",66,1.9,19.0
"Barkhamsted School District","=""0050011""","All Disabilities",36,12.2,100.0
"Barkhamsted School District","=""0050011""","Learning Disability",15,5.1,41.7
"Barkhamsted School District","=""0050011""","Other Disabilities","*","*","*"
"Barkhamsted School District","=""0050011""","Other Health Impairment","*","*","*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment",16,5.4,44.4
"Berlin School District","=""0070011""","All Disabilities",305,10.0,100.0
"Berlin School District","=""0070011""","Autism",36,1.2,11.8
"Berlin School District","=""0070011""","Emotional Disturbance",21,0.7,6.9
"Berlin School District","=""0070011""","Intellectual Disability","*","*","*"
"Berlin School District","=""0070011""","Learning Disability",92,3.0,30.2
"Berlin School District","=""0070011""","Other Disabilities","*","*","*"
"Berlin School District","=""0070011""","Other Health Impairment",56,1.8,18.4
"Berlin School District","=""0070011""","Speech Language Impairment",77,2.5,25.2
"Bethany School District","=""0080011""","All Disabilities",52,12.3,100.0
"Bethany School District","=""0080011""","Autism","*","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*","*"
"Bethany School District","=""0080011""","Intellectual Disability","*","*","*"
"Bethany School District","=""0080011""","Learning Disability",17,4.0,32.7
"Bethany School District","=""0080011""","Other Disabilities",6,1.4,11.5
"Bethany School District","=""0080011""","Other Health Impairment",10,2.4,19.2
"Bethany School District","=""0080011""","Speech Language Impairment",12,2.8,23.1
"Bethel School District","=""0090011""","All Disabilities",316,10.9,100.0
"Bethel School District","=""0090011""","Autism",35,1.2,11.1
"Bethel School District","=""0090011""","Emotional Disturbance","*","*","*"
"Bethel School District","=""0090011""","Intellectual Disability","*","*","*"
"Bethel School District","=""0090011""","Learning Disability",119,4.1,37.7
"Bethel School District","=""0090011""","Other Disabilities",43,1.5,13.6
"Bethel School District","=""0090011""","Other Health Impairment",62,2.1,19.6
"Bethel School District","=""0090011""","Speech Language Impairment",39,1.3,12.3
"Bloomfield School District","=""0110011""","All Disabilities",236,11.1,100.0
"Bloomfield School District","=""0110011""","Autism",16,0.8,6.8
"Bloomfield School District","=""0110011""","Emotional Disturbance",21,1.0,8.9
"Bloomfield School District","=""0110011""","Intellectual Disability",15,0.7,6.4
"Bloomfield School District","=""0110011""","Learning Disability",84,4.0,35.6
"Bloomfield School District","=""0110011""","Other Disabilities",26,1.2,11.0
"Bloomfield School District","=""0110011""","Other Health Impairment",33,1.6,14.0
"Bloomfield School District","=""0110011""","Speech Language Impairment",41,1.9,17.4
"Bolton School District","=""0120011""","All Disabilities",85,10.5,100.0
"Bolton School District","=""0120011""","Autism","*","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance",8,1.0,9.4
"Bolton School District","=""0120011""","Intellectual Disability",6,0.7,7.1
"Bolton School District","=""0120011""","Learning Disability",23,2.8,27.1
"Bolton School District","=""0120011""","Other Disabilities","*","*","*"
"Bolton School District","=""0120011""","Other Health Impairment",23,2.8,27.1
"Bolton School District","=""0120011""","Speech Language Impairment",14,1.7,16.5
"Bozrah School District","=""0130011""","All Disabilities",37,11.0,100.0
"Bozrah School District","=""0130011""","Autism",9,2.7,24.3
"Bozrah School District","=""0130011""","Emotional Disturbance","*","*","*"
"Bozrah School District","=""0130011""","Learning Disability",14,4.2,37.8
"Bozrah School District","=""0130011""","Other Disabilities","*","*","*"
"Bozrah School District","=""0130011""","Other Health Impairment","*","*","*"
"Bozrah School District","=""0130011""","Speech Language Impairment","*","*","*"
"Branford School District","=""0140011""","All Disabilities",419,13.0,100.0
"Branford School District","=""0140011""","Autism",41,1.3,9.8
"Branford School District","=""0140011""","Emotional Disturbance",42,1.3,10.0
"Branford School District","=""0140011""","Intellectual Disability",18,0.6,4.3
"Branford School District","=""0140011""","Learning Disability",115,3.6,27.4
"Branford School District","=""0140011""","Other Disabilities",22,0.7,5.3
"Branford School District","=""0140011""","Other Health Impairment",104,3.2,24.8
"Branford School District","=""0140011""","Speech Language Impairment",77,2.4,18.4
"Bridgeport School District","=""0150011""","All Disabilities",2815,12.8,100.0
"Bridgeport School District","=""0150011""","Autism",217,1.0,7.7
"Bridgeport School District","=""0150011""","Emotional Disturbance",240,1.1,8.5
"Bridgeport School District","=""0150011""","Intellectual Disability",133,0.6,4.7
"Bridgeport School District","=""0150011""","Learning Disability",1005,4.6,35.7
"Bridgeport School District","=""0150011""","Other Disabilities",353,1.6,12.5
"Bridgeport School District","=""0150011""","Other Health Impairment",484,2.2,17.2
"Bridgeport School District","=""0150011""","Speech Language Impairment",383,1.7,13.6
"Bristol School District","=""0170011""","All Disabilities",1292,15.6,100.0
"Bristol School District","=""0170011""","Autism",85,1.0,6.6
"Bristol School District","=""0170011""","Emotional Disturbance",123,1.5,9.5
"Bristol School District","=""0170011""","Intellectual Disability",10,0.1,0.8
"Bristol School District","=""0170011""","Learning Disability",489,5.9,37.8
"Bristol School District","=""0170011""","Other Disabilities",103,1.2,8.0
"Bristol School District","=""0170011""","Other Health Impairment",317,3.8,24.5
"Bristol School District","=""0170011""","Speech Language Impairment",165,2.0,12.8
"Brookfield School District","=""0180011""","All Disabilities",316,11.4,100.0
"Brookfield School District","=""0180011""","Autism",44,1.6,13.9
"Brookfield School District","=""0180011""","Emotional Disturbance",18,0.6,5.7
"Brookfield School District","=""0180011""","Intellectual Disability","*","*","*"
"Brookfield School District","=""0180011""","Learning Disability",110,4.0,34.8
"Brookfield School District","=""0180011""","Other Disabilities","*","*","*"
"Brookfield School District","=""0180011""","Other Health Impairment",83,3.0,26.3
"Brookfield School District","=""0180011""","Speech Language Impairment",45,1.6,14.2
"Brooklyn School District","=""0190011""","All Disabilities",141,12.0,100.0
"Brooklyn School District","=""0190011""","Autism","*","*","*"
"Brooklyn School District","=""0190011""","Emotional Disturbance",14,1.2,9.9
"Brooklyn School District","=""0190011""","Intellectual Disability","*","*","*"
"Brooklyn School District","=""0190011""","Learning Disability",60,5.1,42.6
"Brooklyn School District","=""0190011""","Other Disabilities",12,1.0,8.5
"Brooklyn School District","=""0190011""","Other Health Impairment",22,1.9,15.6
"Brooklyn School District","=""0190011""","Speech Language Impairment",20,1.7,14.2
"Canaan School District","=""0210011""","All Disabilities",11,14.3,100.0
"Canaan School District","=""0210011""","Emotional Disturbance","*","*","*"
"Canaan School District","=""0210011""","Learning Disability","*","*","*"
"Canaan School District","=""0210011""","Other Disabilities","*","*","*"
"Canaan School District","=""0210011""","Other Health Impairment","*","*","*"
"Canaan School District","=""0210011""","Speech Language Impairment","*","*","*"
"Canterbury School District","=""0220011""","All Disabilities",67,10.3,100.0
"Canterbury School District","=""0220011""","Autism",15,2.3,22.4
"Canterbury School District","=""0220011""","Emotional Disturbance","*","*","*"
"Canterbury School District","=""0220011""","Learning Disability",10,1.5,14.9
"Canterbury School District","=""0220011""","Other Disabilities",10,1.5,14.9
"Canterbury School District","=""0220011""","Other Health Impairment",19,2.9,28.4
"Canterbury School District","=""0220011""","Speech Language Impairment","*","*","*"
"Canton School District","=""0230011""","All Disabilities",165,9.6,100.0
"Canton School District","=""0230011""","Autism",23,1.3,13.9
"Canton School District","=""0230011""","Emotional Disturbance",12,0.7,7.3
"Canton School District","=""0230011""","Intellectual Disability","*","*","*"
"Canton School District","=""0230011""","Learning Disability",61,3.6,37.0
"Canton School District","=""0230011""","Other Disabilities","*","*","*"
"Canton School District","=""0230011""","Other Health Impairment",38,2.2,23.0
"Canton School District","=""0230011""","Speech Language Impairment",17,1.0,10.3
"Chaplin School District","=""0240011""","All Disabilities",21,13.4,100.0
"Chaplin School District","=""0240011""","Autism","*","*","*"
"Chaplin School District","=""0240011""","Emotional Disturbance","*","*","*"
"Chaplin School District","=""0240011""","Learning Disability",11,7.0,52.4
"Chaplin School District","=""0240011""","Other Disabilities","*","*","*"
"Chaplin School District","=""0240011""","Other Health Impairment","*","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment","*","*","*"
"Cheshire School District","=""0250011""","All Disabilities",467,10.2,100.0
"Cheshire School District","=""0250011""","Autism",61,1.3,13.1
"Cheshire School District","=""0250011""","Emotional Disturbance",37,0.8,7.9
"Cheshire School District","=""0250011""","Intellectual Disability",26,0.6,5.6
"Cheshire School District","=""0250011""","Learning Disability",127,2.8,27.2
"Cheshire School District","=""0250011""","Other Disabilities",31,0.7,6.6
"Cheshire School District","=""0250011""","Other Health Impairment",115,2.5,24.6
"Cheshire School District","=""0250011""","Speech Language Impairment",70,1.5,15.0
"Chester School District","=""0260011""","All Disabilities",35,15.3,100.0
"Chester School District","=""0260011""","Autism","*","*","*"
"Chester School District","=""0260011""","Emotional Disturbance","*","*","*"
"Chester School District","=""0260011""","Learning Disability",14,6.1,40.0
"Chester School District","=""0260011""","Other Health Impairment",7,3.1,20.0
"Chester School District","=""0260011""","Speech Language Impairment",8,3.5,22.9
"Clinton School District","=""0270011""","All Disabilities",203,10.4,100.0
"Clinton School District","=""0270011""","Autism",28,1.4,13.8
"Clinton School District","=""0270011""","Emotional Disturbance",15,0.8,7.4
"Clinton School District","=""0270011""","Intellectual Disability",7,0.4,3.4
"Clinton School District","=""0270011""","Learning Disability",57,2.9,28.1
"Clinton School District","=""0270011""","Other Disabilities",12,0.6,5.9
"Clinton School District","=""0270011""","Other Health Impairment",49,2.5,24.1
"Clinton School District","=""0270011""","Speech Language Impairment",35,1.8,17.2
"Colchester School District","=""0280011""","All Disabilities",361,13.0,100.0
"Colchester School District","=""0280011""","Autism",33,1.2,9.1
"Colchester School District","=""0280011""","Emotional Disturbance",32,1.2,8.9
"Colchester School District","=""0280011""","Intellectual Disability",15,0.5,4.2
"Colchester School District","=""0280011""","Learning Disability",126,4.5,34.9
"Colchester School District","=""0280011""","Other Disabilities",12,0.4,3.3
"Colchester School District","=""0280011""","Other Health Impairment",59,2.1,16.3
"Colchester School District","=""0280011""","Speech Language Impairment",84,3.0,23.3
"Colebrook School District","=""0290011""","All Disabilities",15,14.9,100.0
"Colebrook School District","=""0290011""","Autism","*","*","*"
"Colebrook School District","=""0290011""","Intellectual Disability","*","*","*"
"Colebrook School District","=""0290011""","Learning Disability","*","*","*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*","*"
"Columbia School District","=""0300011""","All Disabilities",69,9.9,100.0
"Columbia School District","=""0300011""","Autism",6,0.9,8.7
"Columbia School District","=""0300011""","Emotional Disturbance",6,0.9,8.7
"Columbia School District","=""0300011""","Intellectual Disability","*","*","*"
"Columbia School District","=""0300011""","Learning Disability",24,3.4,34.8
"Columbia School District","=""0300011""","Other Disabilities",8,1.1,11.6
"Columbia School District","=""0300011""","Other Health Impairment",19,2.7,27.5
"Columbia School District","=""0300011""","Speech Language Impairment","*","*","*"
"Connecticut Technical High School System","=""9000016""","All Disabilities",879,8.2,100.0
"Connecticut Technical High School System","=""9000016""","Autism",45,0.4,5.1
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",39,0.4,4.4
"Connecticut Technical High School System","=""9000016""","Intellectual Disability","*","*","*"
"Connecticut Technical High School System","=""9000016""","Learning Disability",507,4.7,57.7
"Connecticut Technical High School System","=""9000016""","Other Disabilities","*","*","*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",227,2.1,25.8
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",50,0.5,5.7
"Cornwall School District","=""0310011""","All Disabilities",19,18.4,100.0
"Cornwall School District","=""0310011""","Autism","*","*","*"
"Cornwall School District","=""0310011""","Emotional Disturbance","*","*","*"
"Cornwall School District","=""0310011""","Learning Disability",8,7.8,42.1
"Cornwall School District","=""0310011""","Other Disabilities","*","*","*"
"Cornwall School District","=""0310011""","Other Health Impairment","*","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*","*"
"Coventry School District","=""0320011""","All Disabilities",213,12.0,100.0
"Coventry School District","=""0320011""","Autism","*","*","*"
"Coventry School District","=""0320011""","Emotional Disturbance",23,1.3,10.8
"Coventry School District","=""0320011""","Intellectual Disability","*","*","*"
"Coventry School District","=""0320011""","Learning Disability",79,4.4,37.1
