"Primary Disability (K-12), 2014-15"
"State of Connecticut"

"",,"2014-15",,
"District","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"State of Connecticut","All Disabilities",68444,13.0,100.0
"State of Connecticut","Autism",7788,1.5,11.4
"State of Connecticut","Emotional Disturbance",5400,1.0,7.9
"State of Connecticut","Intellectual Disability",2380,0.5,3.5
"State of Connecticut","Learning Disability",23416,4.4,34.2
"State of Connecticut","Other Disabilities",5457,1.0,8.0
"State of Connecticut","Other Health Impairment",13945,2.6,20.4
"State of Connecticut","Speech Language Impairment",10058,1.9,14.7

