"Primary Disability (K-12), 2012-13"
"All Districts, Emotional Disturbance"

"",,"2012-13",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Ansonia School District","=""0020011""",20,0.8,6.4
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",16,0.5,4.5
"Berlin School District","=""0070011""",16,0.5,5.4
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""","*","*","*"
"Bloomfield School District","=""0110011""",26,1.2,11.6
"Bolton School District","=""0120011""",7,0.9,8.1
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",58,1.8,12.9
"Bridgeport School District","=""0150011""",254,1.2,9.1
"Bristol School District","=""0170011""",125,1.5,10.1
"Brookfield School District","=""0180011""",22,0.8,7.5
"Brooklyn School District","=""0190011""",15,1.3,10.6
"Canterbury School District","=""0220011""",6,0.9,9.0
"Canton School District","=""0230011""","*","*","*"
"Cheshire School District","=""0250011""",41,0.9,8.9
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",15,0.8,7.7
"Colchester School District","=""0280011""",41,1.4,11.9
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",8,1.1,11.6
"Connecticut Technical High School System","=""9000016""",36,0.3,4.5
"Coventry School District","=""0320011""",28,1.5,13.3
"Cromwell School District","=""0330011""",9,0.4,4.5
"Danbury School District","=""0340011""",60,0.6,5.3
"Darien School District","=""0350011""",16,0.3,2.7
"Deep River School District","=""0360011""","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",14,0.9,7.4
"East Granby School District","=""0400011""","*","*","*"
"East Haddam School District","=""0410011""","*","*","*"
"East Hampton School District","=""0420011""","*","*","*"
"East Hartford School District","=""0430011""",113,1.5,10.4
"East Haven School District","=""0440011""",29,0.8,6.6
"East Lyme School District","=""0450011""",16,0.6,4.9
"East Windsor School District","=""0470011""",30,2.3,14.8
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""","*","*","*"
"Ellington School District","=""0480011""",28,1.0,9.8
"Enfield School District","=""0490011""",81,1.4,10.9
"Fairfield School District","=""0510011""",45,0.4,4.1
"Farmington School District","=""0520011""",28,0.7,6.4
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",61,0.9,10.1
"Granby School District","=""0560011""",16,0.8,8.7
"Greenwich School District","=""0570011""",51,0.6,5.9
"Griswold School District","=""0580011""",32,1.8,13.4
"Groton School District","=""0590011""",58,1.2,8.2
"Guilford School District","=""0600011""",40,1.1,10.9
"Hamden School District","=""0620011""",64,1.0,7.9
"Hartford School District","=""0640011""",340,1.7,10.0
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""",6,0.7,5.7
"Killingly School District","=""0690011""",41,1.7,11.2
"Lebanon School District","=""0710011""","*","*","*"
"Ledyard School District","=""0720011""","*","*","*"
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""","*","*","*"
"Madison School District","=""0760011""",16,0.5,4.5
"Manchester School District","=""0770011""",96,1.4,10.2
"Mansfield School District","=""0780011""","*","*","*"
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",156,1.7,12.0
"Middletown School District","=""0830011""",68,1.3,11.4
"Milford School District","=""0840011""",85,1.3,10.2
"Monroe School District","=""0850011""",22,0.6,6.0
"Montville School District","=""0860011""",28,1.1,9.8
"Naugatuck School District","=""0880011""",30,0.7,5.2
"New Britain School District","=""0890011""",130,1.2,8.1
"New Canaan School District","=""0900011""","*","*","*"
"New Fairfield School District","=""0910011""",11,0.4,4.0
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",217,1.2,9.3
"New London School District","=""0950011""",88,2.5,14.1
"New Milford School District","=""0960011""",64,1.4,10.8
"Newington School District","=""0940011""",32,0.7,5.9
"Newtown School District","=""0970011""",19,0.4,4.8
"North Branford School District","=""0990011""",18,0.8,6.4
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",43,1.2,12.2
"North Stonington School District","=""1020011""","*","*","*"
"Norwalk School District","=""1030011""",42,0.4,3.5
"Norwich School District","=""1040011""",123,2.2,13.8
"Old Saybrook School District","=""1060011""","*","*","*"
"Oxford School District","=""1080011""",6,0.3,3.9
"Plainfield School District","=""1090011""",42,1.8,14.3
"Plainville School District","=""1100011""","*","*","*"
"Plymouth School District","=""1110011""",29,1.7,11.7
"Pomfret School District","=""1120011""","*","*","*"
"Portland School District","=""1130011""",12,0.8,9.7
"Preston School District","=""1140011""","*","*","*"
"Putnam School District","=""1160011""",14,1.2,8.0
"Redding School District","=""1170011""",6,0.6,4.5
"Regional School District 01","=""2010012""","*","*","*"
"Regional School District 04","=""2040012""",6,0.6,4.3
"Regional School District 05","=""2050012""",11,0.5,4.0
"Regional School District 06","=""2060012""","*","*","*"
"Regional School District 07","=""2070012""",11,1.0,9.7
"Regional School District 08","=""2080012""",22,1.2,9.7
"Regional School District 09","=""2090012""",8,0.8,6.5
"Regional School District 10","=""2100012""",18,0.7,6.9
"Regional School District 11","=""2110012""",11,3.3,15.9
"Regional School District 12","=""2120012""",7,0.9,5.6
"Regional School District 13","=""2130012""",15,0.8,5.4
"Regional School District 14","=""2140012""",7,0.4,3.5
"Regional School District 15","=""2150012""","*","*","*"
"Regional School District 16","=""2160012""",15,0.6,5.6
"Regional School District 17","=""2170012""",28,1.2,9.0
