"Primary Disability (K-12), 2011-12"
"All Districts, Other Health Impairment"

"",,"2011-12",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Ansonia School District","=""0020011""",73,2.7,24.5
"Ashford School District","=""0030011""",10,2.3,21.3
"Avon School District","=""0040011""",77,2.2,20.8
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",52,1.7,17.7
"Bethany School District","=""0080011""",8,1.7,12.7
"Bethel School District","=""0090011""",44,1.5,14.0
"Bloomfield School District","=""0110011""",24,1.1,10.0
"Bolton School District","=""0120011""",23,2.8,26.4
"Bozrah School District","=""0130011""",8,2.4,19.5
"Branford School District","=""0140011""",100,3.0,22.1
"Bridgeport School District","=""0150011""",402,1.9,14.7
"Bristol School District","=""0170011""",300,3.6,24.8
"Brookfield School District","=""0180011""",53,1.9,21.4
"Brooklyn School District","=""0190011""",20,1.7,14.8
"Canterbury School District","=""0220011""",19,2.7,27.1
"Canton School District","=""0230011""",40,2.3,24.5
"Cheshire School District","=""0250011""",115,2.4,24.6
"Chester School District","=""0260011""",7,2.7,21.2
"Clinton School District","=""0270011""",37,1.9,17.4
"Colchester School District","=""0280011""",37,1.2,10.7
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",16,2.2,28.1
"Connecticut Technical High School System","=""9000016""",203,1.9,26.7
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",16,0.9,7.8
"Cromwell School District","=""0330011""",30,1.5,14.8
"Danbury School District","=""0340011""",170,1.7,15.7
"Darien School District","=""0350011""",152,3.2,26.1
"Deep River School District","=""0360011""",7,1.9,17.9
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",21,1.4,13.0
"East Granby School District","=""0400011""",20,2.3,23.5
"East Haddam School District","=""0410011""",24,1.9,14.8
"East Hampton School District","=""0420011""",26,1.3,18.2
"East Hartford School District","=""0430011""",189,2.4,17.3
"East Haven School District","=""0440011""",87,2.4,20.1
"East Lyme School District","=""0450011""",82,3.0,24.6
"East Windsor School District","=""0470011""",29,2.2,17.5
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",17,1.6,22.7
"Ellington School District","=""0480011""",22,0.8,8.1
"Enfield School District","=""0490011""",79,1.4,10.5
"Essex School District","=""0500011""",7,1.3,16.7
"Fairfield School District","=""0510011""",241,2.4,22.8
"Farmington School District","=""0520011""",81,2.0,20.1
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",154,2.3,25.0
"Granby School District","=""0560011""",42,1.9,22.3
"Greenwich School District","=""0570011""",152,1.8,17.7
"Griswold School District","=""0580011""",52,2.9,23.2
"Groton School District","=""0590011""",102,2.0,14.9
"Guilford School District","=""0600011""",71,1.9,19.0
"Hamden School District","=""0620011""",160,2.4,19.7
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",381,1.9,12.1
