"Primary Disability (K-12), 2010-11"
"All Districts, Intellectual Disability"

"",,"2010-11",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",25,0.9,8.1
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",13,0.4,3.6
"Berlin School District","=""0070011""","*","*","*"
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",7,0.2,2.2
"Bloomfield School District","=""0110011""",16,0.7,7.4
"Bolton School District","=""0120011""",9,1.1,11.1
"Branford School District","=""0140011""",23,0.7,5.0
"Bridgeport School District","=""0150011""",125,0.6,4.7
"Bristol School District","=""0170011""",20,0.2,1.7
"Brookfield School District","=""0180011""","*","*","*"
"Brooklyn School District","=""0190011""","*","*","*"
"Canterbury School District","=""0220011""","*","*","*"
"Canton School District","=""0230011""",7,0.4,4.6
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",21,0.4,4.6
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",6,0.3,2.4
"Colchester School District","=""0280011""",14,0.5,3.8
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""","*","*","*"
"Coventry School District","=""0320011""","*","*","*"
"Cromwell School District","=""0330011""",8,0.4,4.1
"Danbury School District","=""0340011""",44,0.4,3.9
"Darien School District","=""0350011""",10,0.2,1.9
"Deep River School District","=""0360011""","*","*","*"
"Derby School District","=""0370011""",9,0.6,5.9
"East Granby School District","=""0400011""","*","*","*"
"East Haddam School District","=""0410011""",10,0.7,6.5
"East Hampton School District","=""0420011""",7,0.4,4.8
"East Hartford School District","=""0430011""",39,0.5,3.7
"East Haven School District","=""0440011""",15,0.4,3.4
"East Lyme School District","=""0450011""",11,0.4,3.2
"East Windsor School District","=""0470011""",11,0.8,6.6
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""","*","*","*"
"Ellington School District","=""0480011""","*","*","*"
"Enfield School District","=""0490011""",36,0.6,4.6
"Fairfield School District","=""0510011""",29,0.3,2.8
"Farmington School District","=""0520011""",17,0.4,4.1
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",10,0.1,1.5
"Granby School District","=""0560011""","*","*","*"
"Greenwich School District","=""0570011""",26,0.3,2.9
"Griswold School District","=""0580011""",7,0.4,3.1
"Groton School District","=""0590011""",34,0.7,5.4
"Guilford School District","=""0600011""",16,0.4,4.5
"Hamden School District","=""0620011""",25,0.4,2.8
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",156,0.8,5.2
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""","*","*","*"
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",22,0.9,6.3
"Lebanon School District","=""0710011""",14,1.1,9.9
"Ledyard School District","=""0720011""",11,0.4,3.4
"Lisbon School District","=""0730011""",6,0.9,7.4
"Litchfield School District","=""0740011""","*","*","*"
"Madison School District","=""0760011""",8,0.2,2.2
"Manchester School District","=""0770011""",23,0.3,2.4
"Mansfield School District","=""0780011""","*","*","*"
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",66,0.7,5.5
"Middletown School District","=""0830011""",35,0.7,5.8
"Milford School District","=""0840011""",20,0.3,2.4
"Monroe School District","=""0850011""",17,0.5,5.0
"Montville School District","=""0860011""",14,0.5,5.1
"Naugatuck School District","=""0880011""",24,0.5,4.5
"New Britain School District","=""0890011""",95,0.9,6.5
"New Canaan School District","=""0900011""","*","*","*"
"New Fairfield School District","=""0910011""","*","*","*"
"New Haven School District","=""0930011""",136,0.8,6.4
"New London School District","=""0950011""",28,0.8,4.9
"New Milford School District","=""0960011""",14,0.3,2.2
"Newington School District","=""0940011""",20,0.4,3.9
"Newtown School District","=""0970011""",14,0.3,3.2
"North Branford School District","=""0990011""",11,0.5,3.7
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",15,0.4,3.9
"North Stonington School District","=""1020011""","*","*","*"
"Norwalk School District","=""1030011""",33,0.3,2.9
"Norwich School District","=""1040011""",44,0.8,5.2
"Old Saybrook School District","=""1060011""",6,0.4,3.6
"Oxford School District","=""1080011""","*","*","*"
"Plainfield School District","=""1090011""",15,0.6,5.2
"Plainville School District","=""1100011""","*","*","*"
"Plymouth School District","=""1110011""",7,0.4,3.0
"Pomfret School District","=""1120011""",6,0.8,7.1
"Portland School District","=""1130011""","*","*","*"
"Preston School District","=""1140011""","*","*","*"
"Putnam School District","=""1160011""",20,1.6,10.4
"Redding School District","=""1170011""","*","*","*"
"Regional School District 01","=""2010012""","*","*","*"
"Regional School District 04","=""2040012""","*","*","*"
"Regional School District 05","=""2050012""",12,0.5,4.2
"Regional School District 06","=""2060012""",7,0.7,6.7
"Regional School District 07","=""2070012""","*","*","*"
"Regional School District 08","=""2080012""","*","*","*"
"Regional School District 09","=""2090012""","*","*","*"
"Regional School District 10","=""2100012""",8,0.3,3.3
"Regional School District 12","=""2120012""","*","*","*"
"Regional School District 13","=""2130012""",9,0.4,3.3
"Regional School District 14","=""2140012""",6,0.3,2.5
"Regional School District 15","=""2150012""",7,0.2,1.3
"Regional School District 16","=""2160012""",10,0.4,4.0
"Regional School District 17","=""2170012""",9,0.4,3.1
"Regional School District 18","=""2180012""",7,0.5,4.9
"Regional School District 19","=""2190012""",11,1.0,5.8
"Ridgefield School District","=""1180011""",14,0.3,3.2
"Rocky Hill School District","=""1190011""",7,0.3,3.1
"Salem School District","=""1210011""","*","*","*"
"Seymour School District","=""1240011""",9,0.4,4.0
"Shelton School District","=""1260011""",12,0.2,2.4
"Sherman School District","=""1270011""","*","*","*"
"Simsbury School District","=""1280011""",22,0.5,3.9
"Somers School District","=""1290011""",7,0.4,4.4
"South Windsor School District","=""1320011""",10,0.2,1.9
"Southington School District","=""1310011""",14,0.2,1.9
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",7,0.4,4.1
"Stamford School District","=""1350011""",46,0.3,3.3
"Stonington School District","=""1370011""",13,0.5,4.2
"Stratford School District","=""1380011""",35,0.5,5.0
"Suffield School District","=""1390011""",11,0.5,4.6
"Thomaston School District","=""1400011""","*","*","*"
"Thompson School District","=""1410011""","*","*","*"
"Tolland School District","=""1420011""",11,0.4,3.5
"Torrington School District","=""1430011""",18,0.4,2.3
"Trumbull School District","=""1440011""",28,0.4,4.8
"Unified School District #1","=""3360015""","*","*","*"
"Unified School District #2","=""3470015""","*","*","*"
"Vernon School District","=""1460011""",25,0.7,6.3
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",29,0.4,3.6
"Waterbury School District","=""1510011""",118,0.7,4.1
"Waterford School District","=""1520011""",14,0.5,4.2
"Watertown School District","=""1530011""",21,0.7,6.2
"West Hartford School District","=""1550011""",26,0.3,2.4
"West Haven School District","=""1560011""",24,0.3,3.0
"Westbrook School District","=""1540011""","*","*","*"
"Weston School District","=""1570011""","*","*","*"
"Westport School District","=""1580011""",8,0.1,1.4
"Wethersfield School District","=""1590011""",20,0.5,5.1
"Willington School District","=""1600011""","*","*","*"
"Wilton School District","=""1610011""",7,0.2,1.6
"Winchester School District","=""1620011""",11,0.8,4.5
"Windham School District","=""1630011""",42,1.3,7.6
"Windsor Locks School District","=""1650011""",16,0.9,8.0
"Windsor School District","=""1640011""",16,0.4,3.1
"Wolcott School District","=""1660011""",15,0.5,5.9
"Woodbridge School District","=""1670011""","*","*","*"
"Woodstock School District","=""1690011""",8,0.6,8.9

