"Primary Disability (K-12), 2010-11"
"All Districts, Other Health Impairment"

"",,"2010-11",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",65,2.3,21.1
"Ashford School District","=""0030011""",7,1.6,13.2
"Avon School District","=""0040011""",77,2.2,21.0
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",64,2.0,20.8
"Bethany School District","=""0080011""",8,1.6,12.7
"Bethel School District","=""0090011""",37,1.3,11.8
"Bloomfield School District","=""0110011""",22,0.9,10.1
"Bolton School District","=""0120011""",21,2.5,25.9
"Bozrah School District","=""0130011""",9,2.6,18.4
"Branford School District","=""0140011""",102,3.0,22.0
"Bridgeport School District","=""0150011""",400,1.9,15.0
"Bristol School District","=""0170011""",289,3.4,24.5
"Brookfield School District","=""0180011""",50,1.7,21.4
"Brooklyn School District","=""0190011""",19,1.6,14.1
"Canterbury School District","=""0220011""",18,2.6,24.7
"Canton School District","=""0230011""",36,2.0,23.5
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",118,2.5,25.7
"Chester School District","=""0260011""",9,3.3,28.1
"Clinton School District","=""0270011""",46,2.3,18.5
"Colchester School District","=""0280011""",42,1.4,11.5
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",16,2.1,26.7
"Connecticut Technical High School System","=""9000016""",201,1.9,27.1
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",24,1.3,11.5
"Cromwell School District","=""0330011""",31,1.5,15.9
"Danbury School District","=""0340011""",169,1.7,15.1
"Darien School District","=""0350011""",129,2.7,24.7
"Deep River School District","=""0360011""","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",29,1.9,19.0
"East Granby School District","=""0400011""",19,2.1,21.1
"East Haddam School District","=""0410011""",20,1.5,12.9
"East Hampton School District","=""0420011""",32,1.6,21.9
"East Hartford School District","=""0430011""",159,2.1,15.0
"East Haven School District","=""0440011""",95,2.6,21.8
"East Lyme School District","=""0450011""",86,3.0,25.4
"East Windsor School District","=""0470011""",28,2.1,16.8
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",15,1.4,17.0
"Ellington School District","=""0480011""",27,1.0,10.2
"Enfield School District","=""0490011""",84,1.4,10.8
"Essex School District","=""0500011""","*","*","*"
"Fairfield School District","=""0510011""",223,2.2,21.7
"Farmington School District","=""0520011""",80,1.9,19.1
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",156,2.2,23.1
"Granby School District","=""0560011""",41,1.9,23.3
"Greenwich School District","=""0570011""",157,1.8,17.4
"Griswold School District","=""0580011""",50,2.8,22.1
"Groton School District","=""0590011""",81,1.6,12.9
"Guilford School District","=""0600011""",74,2.0,20.7
"Hamden School District","=""0620011""",180,2.6,20.4
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",319,1.6,10.6
"Hartland School District","=""0650011""",6,1.9,20.7
"Hebron School District","=""0670011""",15,1.4,14.7
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",69,2.7,19.7
"Lebanon School District","=""0710011""",26,2.1,18.4
"Ledyard School District","=""0720011""",66,2.6,20.5
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""",23,1.9,19.5
"Madison School District","=""0760011""",92,2.6,25.3
"Manchester School District","=""0770011""",153,2.1,16.1
"Mansfield School District","=""0780011""",25,2.0,17.0
"Marlborough School District","=""0790011""",6,0.9,16.7
"Meriden School District","=""0800011""",216,2.4,18.0
"Middletown School District","=""0830011""",109,2.0,18.1
"Milford School District","=""0840011""",196,2.8,23.2
"Monroe School District","=""0850011""",75,2.0,22.3
"Montville School District","=""0860011""",49,1.8,17.8
"Naugatuck School District","=""0880011""",109,2.3,20.5
"New Britain School District","=""0890011""",316,3.0,21.5
"New Canaan School District","=""0900011""",83,2.0,20.2
"New Fairfield School District","=""0910011""",64,2.3,21.5
"New Hartford School District","=""0920011""",12,2.0,19.0
"New Haven School District","=""0930011""",388,2.2,18.3
"New London School District","=""0950011""",138,4.0,23.9
"New Milford School District","=""0960011""",139,3.0,21.6
"Newington School District","=""0940011""",61,1.4,12.0
"Newtown School District","=""0970011""",69,1.3,16.0
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",47,2.0,15.9
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",67,1.8,17.4
"North Stonington School District","=""1020011""",20,2.5,29.0
"Norwalk School District","=""1030011""",183,1.6,16.0
"Norwich School District","=""1040011""",154,2.8,18.3
"Old Saybrook School District","=""1060011""",48,3.1,28.9
"Orange School District","=""1070011""",13,1.0,10.4
"Oxford School District","=""1080011""",20,0.9,14.5
"Plainfield School District","=""1090011""",57,2.3,19.9
"Plainville School District","=""1100011""",79,3.2,24.4
"Plymouth School District","=""1110011""",57,3.1,24.2
"Pomfret School District","=""1120011""","*","*","*"
"Portland School District","=""1130011""",22,1.5,21.6
"Preston School District","=""1140011""",20,3.0,19.0
"Putnam School District","=""1160011""",23,1.9,12.0
"Redding School District","=""1170011""",35,2.9,24.8
"Regional School District 01","=""2010012""",9,1.8,13.2
"Regional School District 04","=""2040012""",32,3.2,23.7
"Regional School District 05","=""2050012""",67,2.7,23.5
"Regional School District 06","=""2060012""",19,2.0,18.3
"Regional School District 07","=""2070012""",30,2.8,24.0
"Regional School District 08","=""2080012""",74,4.0,30.6
"Regional School District 09","=""2090012""",49,5.0,38.3
"Regional School District 10","=""2100012""",41,1.5,16.7
"Regional School District 11","=""2110012""",18,5.5,29.0
"Regional School District 12","=""2120012""",26,2.9,21.0
"Regional School District 13","=""2130012""",57,2.8,20.9
"Regional School District 14","=""2140012""",46,2.5,19.5
"Regional School District 15","=""2150012""",85,1.9,16.3
"Regional School District 16","=""2160012""",63,2.5,24.9
"Regional School District 17","=""2170012""",54,2.2,18.9
"Regional School District 18","=""2180012""",15,1.0,10.6
"Regional School District 19","=""2190012""",55,4.8,29.1
"Ridgefield School District","=""1180011""",61,1.1,14.0
"Rocky Hill School District","=""1190011""",32,1.2,14.3
"Salem School District","=""1210011""",13,1.8,21.0
"Salisbury School District","=""1220011""","*","*","*"
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",27,1.1,11.9
"Sharon School District","=""1250011""",7,3.9,22.6
"Shelton School District","=""1260011""",102,1.9,20.1
"Sherman School District","=""1270011""",13,2.3,20.3
"Simsbury School District","=""1280011""",96,2.0,16.9
"Somers School District","=""1290011""",16,1.0,10.1
"South Windsor School District","=""1320011""",198,4.3,36.7
"Southington School District","=""1310011""",149,2.2,20.6
"Sprague School District","=""1330011""",8,1.8,18.2
"Stafford School District","=""1340011""",23,1.3,13.5
"Stamford School District","=""1350011""",219,1.4,15.6
"Sterling School District","=""1360011""",8,1.3,12.3
"Stonington School District","=""1370011""",40,1.6,12.8
"Stratford School District","=""1380011""",165,2.2,23.5
"Suffield School District","=""1390011""",35,1.5,14.7
"Thomaston School District","=""1400011""",35,2.8,22.0
"Thompson School District","=""1410011""",39,3.1,28.1
"Tolland School District","=""1420011""",56,1.8,17.7
"Torrington School District","=""1430011""",137,2.9,17.1
"Trumbull School District","=""1440011""",149,2.2,25.8
"Unified School District #1","=""3360015""",56,6.9,16.0
"Unified School District #2","=""3470015""",32,10.5,13.9
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",56,1.5,14.2
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",200,3.1,25.1
"Waterbury School District","=""1510011""",495,2.9,17.3
"Waterford School District","=""1520011""",86,2.9,25.9
"Watertown School District","=""1530011""",86,2.7,25.4
"West Hartford School District","=""1550011""",231,2.2,20.9
"West Haven School District","=""1560011""",107,1.5,13.2
"Westbrook School District","=""1540011""",12,1.3,16.2
"Weston School District","=""1570011""",50,2.0,23.7
"Westport School District","=""1580011""",84,1.5,14.2
"Wethersfield School District","=""1590011""",56,1.4,14.1
"Willington School District","=""1600011""",14,2.8,19.7
"Wilton School District","=""1610011""",88,2.1,19.7
"Winchester School District","=""1620011""",45,3.3,18.4
"Windham School District","=""1630011""",91,2.9,16.5
"Windsor Locks School District","=""1650011""",36,1.9,18.1
"Windsor School District","=""1640011""",56,1.4,11.0
