"Primary Disability (K-12), 2010-11"
"All Districts, Other Disabilities"

"",,"2010-11",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",25,0.9,8.1
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",19,0.5,5.2
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""","*","*","*"
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",41,1.4,13.1
"Bloomfield School District","=""0110011""",23,1.0,10.6
"Bolton School District","=""0120011""","*","*","*"
"Bozrah School District","=""0130011""",8,2.3,16.3
"Branford School District","=""0140011""",12,0.3,2.6
"Bridgeport School District","=""0150011""",315,1.5,11.8
"Bristol School District","=""0170011""",107,1.3,9.1
"Brookfield School District","=""0180011""",19,0.7,8.1
"Brooklyn School District","=""0190011""",9,0.7,6.7
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",8,1.2,11.0
"Canton School District","=""0230011""",8,0.4,5.2
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",35,0.7,7.6
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",21,1.0,8.5
"Colchester School District","=""0280011""",16,0.5,4.4
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",6,0.8,10.0
"Connecticut Technical High School System","=""9000016""","*","*","*"
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",22,1.2,10.5
"Cromwell School District","=""0330011""",16,0.8,8.2
"Danbury School District","=""0340011""",122,1.2,10.9
"Darien School District","=""0350011""",33,0.7,6.3
"Derby School District","=""0370011""",15,1.0,9.8
"East Granby School District","=""0400011""","*","*","*"
"East Haddam School District","=""0410011""",7,0.5,4.5
"East Hampton School District","=""0420011""",6,0.3,4.1
"East Hartford School District","=""0430011""",97,1.3,9.2
"East Haven School District","=""0440011""",35,1.0,8.0
"East Lyme School District","=""0450011""",29,1.0,8.6
"East Windsor School District","=""0470011""",13,1.0,7.8
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",9,0.8,10.2
"Ellington School District","=""0480011""",36,1.3,13.6
"Enfield School District","=""0490011""",67,1.1,8.6
"Essex School District","=""0500011""","*","*","*"
"Fairfield School District","=""0510011""",42,0.4,4.1
"Farmington School District","=""0520011""",20,0.5,4.8
"Glastonbury School District","=""0540011""",60,0.9,8.9
"Granby School District","=""0560011""","*","*","*"
"Greenwich School District","=""0570011""",28,0.3,3.1
"Griswold School District","=""0580011""",11,0.6,4.9
"Groton School District","=""0590011""",75,1.5,11.9
"Guilford School District","=""0600011""",15,0.4,4.2
"Hamden School District","=""0620011""",73,1.1,8.3
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",233,1.1,7.7
"Hebron School District","=""0670011""","*","*","*"
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",34,1.3,9.7
"Lebanon School District","=""0710011""",6,0.5,4.3
"Ledyard School District","=""0720011""",39,1.6,12.1
"Lisbon School District","=""0730011""",8,1.1,9.9
"Litchfield School District","=""0740011""","*","*","*"
"Madison School District","=""0760011""",19,0.5,5.2
"Manchester School District","=""0770011""",99,1.4,10.4
"Mansfield School District","=""0780011""",16,1.3,10.9
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",142,1.6,11.9
"Middletown School District","=""0830011""",48,0.9,8.0
"Milford School District","=""0840011""",61,0.9,7.2
"Monroe School District","=""0850011""",18,0.5,5.3
"Montville School District","=""0860011""",25,0.9,9.1
"Naugatuck School District","=""0880011""",41,0.9,7.7
"New Britain School District","=""0890011""",145,1.4,9.9
"New Canaan School District","=""0900011""",20,0.5,4.9
"New Fairfield School District","=""0910011""",34,1.2,11.4
"New Hartford School District","=""0920011""",6,1.0,9.5
"New Haven School District","=""0930011""",131,0.7,6.2
"New London School District","=""0950011""",34,1.0,5.9
"New Milford School District","=""0960011""",55,1.2,8.6
"Newington School District","=""0940011""",43,1.0,8.4
"Newtown School District","=""0970011""",34,0.6,7.9
"North Branford School District","=""0990011""",10,0.4,3.4
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",24,0.7,6.2
"North Stonington School District","=""1020011""","*","*","*"
"Norwalk School District","=""1030011""",82,0.7,7.2
"Norwich School District","=""1040011""",84,1.5,10.0
"Old Saybrook School District","=""1060011""",13,0.9,7.8
"Orange School District","=""1070011""","*","*","*"
"Oxford School District","=""1080011""",12,0.5,8.7
"Plainfield School District","=""1090011""",29,1.2,10.1
"Plainville School District","=""1100011""",39,1.6,12.0
"Plymouth School District","=""1110011""",16,0.9,6.8
"Pomfret School District","=""1120011""","*","*","*"
"Portland School District","=""1130011""",9,0.6,8.8
"Preston School District","=""1140011""",12,1.8,11.4
"Putnam School District","=""1160011""","*","*","*"
"Redding School District","=""1170011""",6,0.5,4.3
"Regional School District 01","=""2010012""",10,2.0,14.7
"Regional School District 04","=""2040012""","*","*","*"
"Regional School District 05","=""2050012""",11,0.4,3.9
"Regional School District 06","=""2060012""","*","*","*"
"Regional School District 07","=""2070012""","*","*","*"
"Regional School District 08","=""2080012""","*","*","*"
"Regional School District 09","=""2090012""","*","*","*"
"Regional School District 10","=""2100012""",18,0.7,7.3
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",9,1.0,7.3
"Regional School District 13","=""2130012""",6,0.3,2.2
"Regional School District 14","=""2140012""",10,0.5,4.2
"Regional School District 15","=""2150012""",40,0.9,7.7
"Regional School District 16","=""2160012""",20,0.8,7.9
"Regional School District 17","=""2170012""",17,0.7,5.9
"Regional School District 18","=""2180012""",11,0.7,7.7
"Regional School District 19","=""2190012""",10,0.9,5.3
"Ridgefield School District","=""1180011""",16,0.3,3.7
"Rocky Hill School District","=""1190011""",18,0.7,8.0
"Salem School District","=""1210011""",6,0.8,9.7
"Salisbury School District","=""1220011""",8,2.7,28.6
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",19,0.8,8.4
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",35,0.7,6.9
"Sherman School District","=""1270011""",7,1.2,10.9
"Simsbury School District","=""1280011""",25,0.5,4.4
"Somers School District","=""1290011""",12,0.7,7.5
"South Windsor School District","=""1320011""",54,1.2,10.0
"Southington School District","=""1310011""",75,1.1,10.4
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",12,0.7,7.0
"Stamford School District","=""1350011""",193,1.3,13.7
"Sterling School District","=""1360011""",11,1.8,16.9
"Stonington School District","=""1370011""",18,0.7,5.8
"Stratford School District","=""1380011""",80,1.1,11.4
"Suffield School District","=""1390011""",9,0.4,3.8
"Thomaston School District","=""1400011""",16,1.3,10.1
"Thompson School District","=""1410011""","*","*","*"
"Tolland School District","=""1420011""",21,0.7,6.6
"Torrington School District","=""1430011""",91,2.0,11.4
"Trumbull School District","=""1440011""",44,0.7,7.6
"Unified School District #1","=""3360015""","*","*","*"
"Unified School District #2","=""3470015""",29,9.5,12.6
"Vernon School District","=""1460011""",34,0.9,8.6
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",57,0.9,7.2
"Waterbury School District","=""1510011""",272,1.6,9.5
"Waterford School District","=""1520011""",25,0.8,7.5
"Watertown School District","=""1530011""",25,0.8,7.4
"West Hartford School District","=""1550011""",121,1.2,10.9
"West Haven School District","=""1560011""",120,1.7,14.8
"Westbrook School District","=""1540011""","*","*","*"
"Weston School District","=""1570011""",11,0.4,5.2
"Westport School District","=""1580011""",40,0.7,6.8
"Wethersfield School District","=""1590011""",45,1.2,11.4
"Willington School District","=""1600011""","*","*","*"
"Wilton School District","=""1610011""",31,0.7,7.0
"Winchester School District","=""1620011""",15,1.1,6.1
"Windham School District","=""1630011""",36,1.1,6.5
"Windsor Locks School District","=""1650011""",11,0.6,5.5
"Windsor School District","=""1640011""",96,2.4,18.9
"Wolcott School District","=""1660011""",14,0.5,5.5
"Woodbridge School District","=""1670011""","*","*","*"
"Woodstock School District","=""1690011""","*","*","*"

