"Primary Disability (K-12), 2012-13"
"All Districts, Autism"

"",,"2012-13",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",39,1.5,12.5
"Ashford School District","=""0030011""",10,2.5,20.0
"Avon School District","=""0040011""",52,1.5,14.6
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",39,1.3,13.0
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",33,1.1,10.3
"Bloomfield School District","=""0110011""",18,0.8,8.0
"Bolton School District","=""0120011""","*","*","*"
"Bozrah School District","=""0130011""",8,2.4,20.0
"Branford School District","=""0140011""",42,1.3,9.4
"Bridgeport School District","=""0150011""",198,0.9,7.1
"Bristol School District","=""0170011""",79,1.0,6.4
"Brookfield School District","=""0180011""",41,1.5,14.0
"Brooklyn School District","=""0190011""","*","*","*"
"Canterbury School District","=""0220011""",14,2.0,20.9
"Canton School District","=""0230011""",24,1.4,15.6
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",61,1.3,13.2
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",24,1.2,12.2
"Colchester School District","=""0280011""",35,1.2,10.1
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""",38,0.4,4.8
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""","*","*","*"
"Cromwell School District","=""0330011""",27,1.3,13.6
"Danbury School District","=""0340011""",114,1.1,10.2
"Darien School District","=""0350011""",56,1.2,9.6
"Deep River School District","=""0360011""",8,2.3,19.5
"Derby School District","=""0370011""",15,1.0,8.0
"East Granby School District","=""0400011""",9,1.0,9.9
"East Haddam School District","=""0410011""",22,1.7,13.8
"East Hampton School District","=""0420011""",31,1.6,20.4
"East Hartford School District","=""0430011""",98,1.3,9.0
"East Haven School District","=""0440011""",57,1.6,12.9
"East Lyme School District","=""0450011""",45,1.7,13.8
"East Windsor School District","=""0470011""",19,1.4,9.4
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",11,1.1,14.7
"Ellington School District","=""0480011""","*","*","*"
"Enfield School District","=""0490011""",69,1.2,9.2
"Essex School District","=""0500011""",8,1.7,18.2
"Fairfield School District","=""0510011""",156,1.5,14.1
"Farmington School District","=""0520011""",80,2.0,18.3
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",78,1.2,12.9
"Granby School District","=""0560011""",15,0.7,8.2
"Greenwich School District","=""0570011""",85,1.0,9.8
"Griswold School District","=""0580011""",24,1.3,10.1
"Groton School District","=""0590011""",90,1.8,12.7
"Guilford School District","=""0600011""",63,1.8,17.2
"Hamden School District","=""0620011""",113,1.7,14.0
"Hartford School District","=""0640011""",276,1.4,8.1
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""",7,0.8,6.6
"Kent School District","=""0680011""",6,2.4,21.4
"Killingly School District","=""0690011""",48,2.0,13.1
"Lebanon School District","=""0710011""",16,1.4,10.6
"Ledyard School District","=""0720011""",50,2.0,15.0
"Lisbon School District","=""0730011""",8,1.3,9.9
"Litchfield School District","=""0740011""",6,0.6,5.0
"Madison School District","=""0760011""",49,1.5,13.9
"Manchester School District","=""0770011""",97,1.4,10.3
"Mansfield School District","=""0780011""",14,1.1,9.9
"Marlborough School District","=""0790011""",6,0.9,10.3
"Meriden School District","=""0800011""",127,1.4,9.8
"Middletown School District","=""0830011""",57,1.1,9.6
"Milford School District","=""0840011""",86,1.3,10.3
"Monroe School District","=""0850011""",35,1.0,9.6
"Montville School District","=""0860011""",31,1.2,10.8
"Naugatuck School District","=""0880011""",58,1.3,10.0
"New Britain School District","=""0890011""",142,1.3,8.8
"New Canaan School District","=""0900011""",47,1.1,12.2
"New Fairfield School District","=""0910011""",15,0.6,5.5
"New Haven School District","=""0930011""",219,1.2,9.4
"New London School District","=""0950011""",62,1.8,10.0
"New Milford School District","=""0960011""",81,1.8,13.7
"Newington School District","=""0940011""",64,1.4,11.9
"Newtown School District","=""0970011""",80,1.6,20.2
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",23,1.1,8.2
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",54,1.5,15.3
"North Stonington School District","=""1020011""","*","*","*"
"Norwalk School District","=""1030011""",122,1.1,10.3
"Norwich School District","=""1040011""",70,1.3,7.9
"Old Saybrook School District","=""1060011""",27,1.9,13.2
"Orange School District","=""1070011""",13,1.1,11.6
"Oxford School District","=""1080011""",27,1.3,17.5
"Plainfield School District","=""1090011""",39,1.6,13.3
"Plainville School District","=""1100011""",33,1.4,10.6
"Plymouth School District","=""1110011""",26,1.5,10.5
"Pomfret School District","=""1120011""",13,2.0,19.4
"Portland School District","=""1130011""",11,0.8,8.9
"Preston School District","=""1140011""",14,2.3,17.1
"Putnam School District","=""1160011""",31,2.6,17.8
"Redding School District","=""1170011""",15,1.4,11.2
"Regional School District 01","=""2010012""",6,1.4,10.3
"Regional School District 04","=""2040012""",24,2.4,17.3
"Regional School District 05","=""2050012""",38,1.6,13.7
"Regional School District 06","=""2060012""",8,0.9,7.2
"Regional School District 07","=""2070012""",17,1.6,15.0
"Regional School District 08","=""2080012""",18,1.0,7.9
"Regional School District 09","=""2090012""",15,1.4,12.2
"Regional School District 10","=""2100012""",38,1.4,14.5
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",14,1.7,11.1
"Regional School District 13","=""2130012""",34,1.7,12.2
"Regional School District 14","=""2140012""",31,1.8,15.5
"Regional School District 15","=""2150012""",66,1.6,13.3
"Regional School District 16","=""2160012""",47,2.0,17.7
"Regional School District 17","=""2170012""",35,1.5,11.3
"Regional School District 18","=""2180012""",14,1.0,8.9
"Regional School District 19","=""2190012""",14,1.3,8.0
"Ridgefield School District","=""1180011""",72,1.4,16.1
"Rocky Hill School District","=""1190011""",36,1.4,16.6
"Salem School District","=""1210011""",9,1.3,14.5
"Salisbury School District","=""1220011""","*","*","*"
"Seymour School District","=""1240011""",40,1.7,16.5
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",67,1.3,11.8
"Sherman School District","=""1270011""",6,1.1,8.7
"Simsbury School District","=""1280011""",98,2.1,18.4
"Somers School District","=""1290011""",16,1.0,9.7
"South Windsor School District","=""1320011""",74,1.7,13.7
"Southington School District","=""1310011""",88,1.3,11.4
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",26,1.6,14.2
"Stamford School District","=""1350011""",126,0.8,8.2
"Sterling School District","=""1360011""",13,2.1,14.3
"Stonington School District","=""1370011""",47,2.0,15.4
"Stratford School District","=""1380011""",115,1.6,15.9
"Suffield School District","=""1390011""",38,1.6,15.4
"Thomaston School District","=""1400011""",6,0.5,4.2
"Thompson School District","=""1410011""",7,0.6,5.4
"Tolland School District","=""1420011""",50,1.7,15.9
"Torrington School District","=""1430011""",68,1.5,9.3
"Trumbull School District","=""1440011""",94,1.4,15.7
"Unified School District #2","=""3470015""",7,3.1,4.0
"Vernon School District","=""1460011""",51,1.4,11.4
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",87,1.4,11.4
"Waterbury School District","=""1510011""",188,1.1,6.4
"Waterford School District","=""1520011""",31,1.1,8.8
"Watertown School District","=""1530011""",35,1.2,10.1
"West Hartford School District","=""1550011""",170,1.7,15.6
"West Haven School District","=""1560011""",76,1.1,8.8
"Westbrook School District","=""1540011""",13,1.5,14.9
"Weston School District","=""1570011""",34,1.4,16.0
"Westport School District","=""1580011""",60,1.0,10.4
"Wethersfield School District","=""1590011""",63,1.6,13.8
"Willington School District","=""1600011""","*","*","*"
"Wilton School District","=""1610011""",53,1.2,10.6
"Winchester School District","=""1620011""",38,2.9,15.2
"Windham School District","=""1630011""",46,1.5,9.1
"Windsor Locks School District","=""1650011""",21,1.2,10.2
"Windsor School District","=""1640011""",57,1.4,9.7
"Wolcott School District","=""1660011""",21,0.8,9.1
"Woodbridge School District","=""1670011""",8,1.1,12.3
"Woodstock School District","=""1690011""",9,0.7,10.3

