"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",23,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",209,23,11.0,27,12.9
"Avon School District","=""0040011""","Avon High School","=""0046111""",261,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",262,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",233,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",125,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",30,"*","*",0,0.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",8,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",80,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",269,7,2.6,12,4.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",316,60,19.0,69,21.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",541,46,8.5,75,13.9
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",335,17,5.1,114,34.0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",316,17,5.4,41,13.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",303,26,8.6,30,9.9
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",241,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",123,6,4.9,0,0.0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",38,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",87,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",91,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",356,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",143,8,5.6,7,4.9
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",250,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",38,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",172,0,0.0,20,11.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",196,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",132,0,0.0,6,4.5
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",120,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",147,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",116,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",178,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",113,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",148,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",168,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",154,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",167,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",207,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",141,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",192,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",132,"*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",135,"*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",141,"*","*","*","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",34,17,50.0,"*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",736,80,10.9,75,10.2
"Darien School District","=""0350011""","Darien High School","=""0356111""",312,"*","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",86,15,17.4,12,14.0
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",69,"*","*",0,0.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",95,0,0.0,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",130,"*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",39,0,0.0,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",378,14,3.7,39,10.3
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",115,26,22.6,30,26.1
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",237,18,7.6,40,16.9
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",309,"*","*","*","*"
