"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",23,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",150,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",269,"*","*",0,0.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",234,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",244,12,4.9,6,2.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",133,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",26,"*","*",0,0.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",8,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",101,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",292,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",347,48,13.8,83,23.9
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",562,36,6.4,73,13.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",305,17,5.6,75,24.6
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",330,23,7.0,33,10.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",350,27,7.7,28,8.0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",231,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",135,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",33,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",95,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",46,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",96,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",45,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",366,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",128,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",248,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",29,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",183,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",185,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",143,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",111,0,0.0,9,8.1
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",127,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",127,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",178,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",111,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",143,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",154,"*","*",0,0.0
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",156,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",145,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",207,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",141,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",183,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",129,"*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",131,"*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",131,"*","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",711,58,8.2,67,9.4
"Darien School District","=""0350011""","Darien High School","=""0356111""",329,"*","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",102,10,9.8,9,8.8
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",64,"*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",100,"*","*","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",119,"*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",46,0,0.0,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",352,23,6.5,25,7.1
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",83,28,33.7,21,25.3
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",250,10,4.0,33,13.2
