"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Special Education Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",187,144,77.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",22,15,68.2
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",230,224,97.4
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",31,28,90.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",238,231,97.1
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",24,21,87.5
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",212,204,96.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",21,13,61.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",113,105,92.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",12,9,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Special Education","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education",70,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education",10,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",238,224,94.1
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",31,26,83.9
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",276,170,61.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",40,17,42.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",482,383,79.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",59,37,62.7
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-Special Education",280,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Special Education",55,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-Special Education",272,234,86.0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Special Education",44,24,54.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-Special Education",260,217,83.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Special Education",43,30,69.8
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-Special Education",227,220,96.9
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Special Education",14,12,"*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-Special Education",106,"*","*"
