"Four-Year Graduation Rates, 2014-15"
"All Districts, All Schools, High Needs Status"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","High Needs Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","High Needs","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-High Needs","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs",119,11,9.2,6,5.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-High Needs",34,0,0.0,0,0.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs",46,"*","*",0,0.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-High Needs",200,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","High Needs",55,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-High Needs",154,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","High Needs",73,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-High Needs",141,"*","*",0,0.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","High Needs",86,8,9.3,9,10.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-High Needs",46,0,0.0,0,0.0
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","High Needs",18,0,"*",0,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-High Needs",7,0,"*",0,"*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","High Needs","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-High Needs","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","High Needs",19,"*","*",0,"*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-High Needs",56,0,0.0,0,0.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","High Needs",71,6,8.5,7,9.9
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-High Needs",165,0,0.0,6,3.6
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","High Needs","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Non-High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","High Needs",521,31,6.0,90,17.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-High Needs","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","High Needs",320,33,10.3,114,35.6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-High Needs","N/A","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","High Needs",178,14,7.9,34,19.1
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-High Needs",125,0,0.0,7,5.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","High Needs",150,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-High Needs",158,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","High Needs",41,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-High Needs",188,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","High Needs",22,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-High Needs",106,"*","*",0,0.0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","High Needs",27,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-High Needs",23,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","High Needs",24,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Non-High Needs",16,0,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","High Needs",65,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-High Needs",46,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","High Needs",42,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-High Needs",39,0,0.0,0,0.0
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","High Needs",30,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Non-High Needs",6,0,"*",0,"*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","High Needs",63,"*","*",0,0.0
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-High Needs",311,0,0.0,0,0.0
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","High Needs",49,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-High Needs",111,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","High Needs",62,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-High Needs",157,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","High Needs",25,0,0.0,0,0.0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-High Needs",12,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","High Needs",172,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-High Needs",19,0,"*","*","*"
