"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, High Needs Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","High Needs Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","High Needs","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-High Needs","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs",106,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-High Needs",44,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs",41,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-High Needs",228,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","High Needs",61,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-High Needs",173,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","High Needs",81,68,84.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-High Needs",163,158,96.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","High Needs",95,86,90.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-High Needs",38,34,89.5
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","High Needs",17,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-High Needs",9,"*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","High Needs","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-High Needs","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","High Needs",16,11,"*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-High Needs",85,85,100.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","High Needs",105,90,85.7
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-High Needs",187,181,96.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","High Needs",347,216,62.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","High Needs","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-High Needs","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","High Needs",305,213,69.8
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","High Needs",160,115,71.9
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-High Needs",170,159,93.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","High Needs",164,123,75.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-High Needs",186,172,92.5
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","High Needs",45,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-High Needs",186,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","High Needs",23,19,82.6
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-High Needs",112,109,97.3
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","High Needs",16,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-High Needs",17,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","High Needs",61,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-High Needs",34,"*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","High Needs",33,"*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Non-High Needs",13,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","High Needs",46,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-High Needs",50,"*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","High Needs",39,"*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Non-High Needs",6,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","High Needs",74,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-High Needs",292,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","High Needs",27,24,88.9
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-High Needs",101,97,96.0
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","High Needs",58,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-High Needs",190,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","High Needs",22,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-High Needs",7,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","High Needs",164,156,95.1
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-High Needs",19,19,"*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","High Needs",152,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Non-High Needs",33,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","High Needs",123,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Non-High Needs",20,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","High Needs",101,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Non-High Needs",10,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","High Needs",85,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-High Needs",42,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","High Needs",63,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Non-High Needs",64,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","High Needs",94,88,93.6
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Non-High Needs",84,84,100.0
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","High Needs",54,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Non-High Needs",57,"*","*"
