"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, English Learner Status"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","English Learner Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL",23,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-ELL","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELL","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-ELL",269,"*","*",0,0.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-ELL","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELL","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-ELL",238,"*","*",6,2.5
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELL",6,"*","*",0,"*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-ELL",26,"*","*",0,0.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-ELL",8,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-ELL",101,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-ELL","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELL","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-ELL",287,39,13.6,69,24.0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELL",60,9,15.0,14,23.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-ELL",509,30,5.9,59,11.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELL",53,6,11.3,14,26.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-ELL",247,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELL",58,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-ELL",318,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELL",12,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-ELL",342,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELL",8,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-ELL","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELL","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-ELL",135,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-ELL",33,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-ELL",95,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Non-ELL","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","ELL","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-ELL",96,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Non-ELL",45,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-ELL","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-ELL",29,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-ELL",177,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELL",6,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Non-ELL",135,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","ELL",8,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Non-ELL",103,0,0.0,9,8.7
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","ELL",8,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Non-ELL",178,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Non-ELL",156,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Non-ELL",145,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Non-ELL",141,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Non-ELL",183,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Non-ELL",129,"*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Non-ELL",131,"*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Non-ELL","*","*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","ELL","*","*","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Non-ELL",634,42,6.6,48,7.6
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","ELL",77,16,20.8,19,24.7
"Darien School District","=""0350011""","Darien High School","=""0356111""","Non-ELL","*","*","*","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","ELL","*","*","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","Non-ELL","*","*","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","ELL","*","*","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Non-ELL",64,"*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Non-ELL",100,"*","*","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Non-ELL",119,"*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Non-ELL",46,0,0.0,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Non-ELL",326,"*","*","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","ELL",26,"*","*","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Non-ELL",74,"*","*","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","ELL",9,"*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Non-ELL",242,"*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","ELL",8,"*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Non-ELL","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","ELL","*","*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Non-ELL","*","*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","ELL","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Non-ELL","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","ELL","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Non-ELL","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","ELL","*","*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Non-ELL","*","*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","ELL","*","*","*","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Non-ELL",232,9,3.9,14,6.0
"Explorations District","=""2720013""","Explorations","=""2726113""","Non-ELL",27,"*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Non-ELL","*","*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","ELL","*","*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Non-ELL",348,"*","*",9,2.6
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","ELL",8,"*","*",0,"*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Non-ELL","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","ELL","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Non-ELL","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","ELL","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Non-ELL","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","ELL","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Non-ELL",631,"*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","ELL",26,"*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Non-ELL",167,9,5.4,16,9.6
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Non-ELL",305,"*","*","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","ELL",10,"*","*","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Non-ELL","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","ELL","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Non-ELL",431,21,4.9,"*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","ELL",11,0,"*","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Non-ELL",153,19,12.4,22,14.4
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","ELL",49,6,12.2,7,14.3
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Non-ELL",54,0,0.0,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Non-ELL","*","*","*","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","ELL","*","*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Non-ELL",81,"*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","ELL",16,"*","*","*","*"
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""","Non-ELL","*","*","*","*","*"
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""","ELL","*","*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Non-ELL",67,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","ELL",19,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Non-ELL",101,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","ELL",33,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Non-ELL",100,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","ELL",21,"*","*","*","*"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Non-ELL",68,8,11.8,"*","*"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","ELL",8,0,"*","*","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Non-ELL",59,"*","*","*","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","ELL",14,0,"*","*","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Non-ELL",59,"*","*","*","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","ELL",7,"*","*","*","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Non-ELL","*","*","*","*","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","ELL","*","*","*","*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Non-ELL","*","*","*","*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","ELL","*","*","*","*","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Non-ELL","*","*","*","*","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","ELL","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Non-ELL","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","ELL","*","*","*","*","*"
"Learn","=""2450014""","Connecticut River Academy","=""2456014""","Non-ELL","*","*","*","*","*"
"Learn","=""2450014""","Connecticut River Academy","=""2456014""","ELL","*","*","*","*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","Non-ELL","*","*","*","*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","ELL","*","*","*","*","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""","Non-ELL",32,"*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","Non-ELL",104,"*","*","*","*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Non-ELL","*","*","*","*","*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","ELL","*","*","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Non-ELL",67,"*","*","*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Non-ELL","*","*","*","*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","ELL","*","*","*","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","Non-ELL",402,"*","*","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","ELL",13,"*","*","*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","Non-ELL",272,23,8.5,38,14.0
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","ELL",41,7,17.1,15,36.6
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","Non-ELL",273,"*","*","*","*"
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","ELL",19,"*","*","*","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","Non-ELL","*","*","*","*","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","ELL","*","*","*","*","*"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","Non-ELL",262,17,6.5,11,4.2
