"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",
"District","School","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch",13,9,69.2
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",87,48,55.2
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",8,6,75.0
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",88,75,85.2
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",248,237,95.6
"Berlin School District","Berlin High School","Eligible For Free Lunch",8,"*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",6,"*","*"
"Berlin School District","Berlin High School","Not Eligible For Lunch",246,235,95.5
"Bethel School District","Bethel High School","Eligible For Free Lunch",12,9,75.0
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",7,7,100.0
"Bethel School District","Bethel High School","Not Eligible For Lunch",226,215,95.1
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",50,33,66.0
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",12,8,66.7
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",109,86,78.9
"Bloomfield School District","The Big Picture High School","Eligible For Free Lunch",7,6,85.7
"Bloomfield School District","The Big Picture High School","Eligible For Reduced Lunch","*","*","*"
"Bloomfield School District","The Big Picture High School","Not Eligible For Lunch","*","*","*"
"Bolton School District","Bolton High School","Eligible For Free Lunch",7,"*","*"
"Bolton School District","Bolton High School","Not Eligible For Lunch",66,"*","*"
"Branford School District","Branford High School","Eligible For Free Lunch",25,19,76.0
"Branford School District","Branford High School","Eligible For Reduced Lunch",12,10,83.3
"Branford School District","Branford High School","Not Eligible For Lunch",237,231,97.5
"Bridgeport School District","Bassick High School","Eligible For Free Lunch",319,195,61.1
"Bridgeport School District","Bassick High School","Eligible For Reduced Lunch",10,7,70.0
"Bridgeport School District","Bassick High School","Not Eligible For Lunch",12,6,50.0
"Bridgeport School District","Central High School","Eligible For Free Lunch",496,365,73.6
"Bridgeport School District","Central High School","Eligible For Reduced Lunch",53,44,83.0
"Bridgeport School District","Central High School","Not Eligible For Lunch",54,36,66.7
"Bridgeport School District","Harding High School","Eligible For Free Lunch",396,179,45.2
"Bridgeport School District","Harding High School","Eligible For Reduced Lunch",11,6,54.5
"Bridgeport School District","Harding High School","Not Eligible For Lunch",28,11,39.3
"Bristol School District","Bristol Central High School","Eligible For Free Lunch",68,37,54.4
"Bristol School District","Bristol Central High School","Eligible For Reduced Lunch",33,20,60.6
"Bristol School District","Bristol Central High School","Not Eligible For Lunch",231,188,81.4
"Bristol School District","Bristol Eastern High School","Eligible For Free Lunch",67,42,62.7
"Bristol School District","Bristol Eastern High School","Eligible For Reduced Lunch",17,12,70.6
"Bristol School District","Bristol Eastern High School","Not Eligible For Lunch",284,243,85.6
"Brookfield School District","Brookfield High School","Eligible For Free Lunch","*","*","*"
"Brookfield School District","Brookfield High School","Eligible For Reduced Lunch","*","*","*"
"Brookfield School District","Brookfield High School","Not Eligible For Lunch",257,246,95.7
"Canton School District","Canton High School","Eligible For Free Lunch","*","*","*"
"Canton School District","Canton High School","Not Eligible For Lunch","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Eligible For Free Lunch",62,52,83.9
"Capitol Region Education Council","Great Path Academy at MCC","Eligible For Reduced Lunch","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Not Eligible For Lunch",51,46,90.2
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Eligible For Free Lunch",23,15,65.2
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Not Eligible For Lunch",39,34,87.2
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Eligible For Free Lunch",17,15,88.2
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Eligible For Reduced Lunch","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Not Eligible For Lunch",80,73,91.3
"Cheshire School District","Cheshire High School","Eligible For Free Lunch",8,8,100.0
"Cheshire School District","Cheshire High School","Eligible For Reduced Lunch",9,8,88.9
"Cheshire School District","Cheshire High School","Not Eligible For Lunch",348,334,96.0
"Clinton School District","The Morgan School","Eligible For Free Lunch",6,"*","*"
"Clinton School District","The Morgan School","Eligible For Reduced Lunch",9,"*","*"
"Clinton School District","The Morgan School","Not Eligible For Lunch",129,120,93.0
"Colchester School District","Bacon Academy","Eligible For Free Lunch","*","*","*"
"Colchester School District","Bacon Academy","Eligible For Reduced Lunch","*","*","*"
"Colchester School District","Bacon Academy","Not Eligible For Lunch",230,216,93.9
"Common Ground High School District","Common Ground High School","Eligible For Free Lunch",19,15,78.9
"Common Ground High School District","Common Ground High School","Eligible For Reduced Lunch","*","*","*"
"Common Ground High School District","Common Ground High School","Not Eligible For Lunch","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Eligible For Free Lunch",16,14,87.5
"Connecticut Technical High School System","A. I. Prince Technical High School","Eligible For Reduced Lunch","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Not Eligible For Lunch",134,125,93.3
"Connecticut Technical High School System","Bullard-Havens Technical High School","Eligible For Free Lunch",53,48,90.6
"Connecticut Technical High School System","Bullard-Havens Technical High School","Eligible For Reduced Lunch","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Not Eligible For Lunch",138,132,95.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Eligible For Free Lunch",11,10,90.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Not Eligible For Lunch",91,86,94.5
"Connecticut Technical High School System","Eli Whitney Technical High School","Eligible For Free Lunch",29,21,72.4
"Connecticut Technical High School System","Eli Whitney Technical High School","Eligible For Reduced Lunch","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Not Eligible For Lunch",93,79,84.9
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Eligible For Free Lunch",21,19,90.5
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Eligible For Reduced Lunch","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Not Eligible For Lunch",101,98,97.0
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Eligible For Free Lunch",6,"*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Not Eligible For Lunch",115,109,94.8
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Eligible For Free Lunch",16,15,93.8
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Not Eligible For Lunch",166,162,97.6
"Connecticut Technical High School System","H. H. Ellis Technical High School","Eligible For Free Lunch",6,6,100.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Eligible For Reduced Lunch","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Not Eligible For Lunch",122,109,89.3
"Connecticut Technical High School System","Henry Abbott Technical High School","Eligible For Free Lunch",11,10,90.9
"Connecticut Technical High School System","Henry Abbott Technical High School","Eligible For Reduced Lunch","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Not Eligible For Lunch",147,134,91.2
"Connecticut Technical High School System","Howell Cheney Technical High School","Eligible For Free Lunch","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Not Eligible For Lunch",130,129,99.2
"Connecticut Technical High School System","Norwich Technical High School","Eligible For Free Lunch",8,8,100.0
"Connecticut Technical High School System","Norwich Technical High School","Eligible For Reduced Lunch","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Not Eligible For Lunch",102,100,98.0
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Eligible For Free Lunch","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Eligible For Reduced Lunch","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Not Eligible For Lunch",187,173,92.5
"Connecticut Technical High School System","Platt Technical High School","Eligible For Free Lunch",17,16,94.1
"Connecticut Technical High School System","Platt Technical High School","Eligible For Reduced Lunch","*","*","*"
