"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Special Education Status"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",187,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",22,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",230,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",31,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",238,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",24,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",212,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",21,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",113,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",12,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-Special Education","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Special Education","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-Special Education","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Special Education","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education",70,0,0.0,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education",10,0,"*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",238,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",31,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",276,49,17.8,57,20.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",40,11,27.5,12,30.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",482,36,7.5,63,13.1
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",59,10,16.9,12,20.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-Special Education",280,"*","*",88,31.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Special Education",55,"*","*",26,47.3
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-Special Education",272,10,3.7,28,10.3
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Special Education",44,7,15.9,13,29.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-Special Education",260,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Special Education",43,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-Special Education",227,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Special Education",14,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-Special Education",106,"*","*",0,0.0
"Canton School District","=""0230011""","Canton High School","=""0236111""","Special Education",17,"*","*",0,"*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-Special Education","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Special Education","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-Special Education",78,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education",9,0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-Special Education","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Special Education","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-Special Education",320,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Special Education",36,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-Special Education",121,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Special Education",22,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-Special Education",224,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Special Education",26,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-Special Education",165,0,0.0,20,12.1
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Special Education",7,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Non-Special Education",190,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Special Education",6,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Non-Special Education",123,0,0.0,6,4.9
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Special Education",9,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Non-Special Education",111,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Special Education",9,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-Special Education",134,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Special Education",13,0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Non-Special Education",100,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Special Education",16,0,"*",0,"*"
