"Four-Year Graduation Rates, 2014-15"
"All Districts, All Schools, Special Education Status"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",138,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",15,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",215,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",31,"*","*",0,0.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",178,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",31,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",186,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",28,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",109,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",23,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-Special Education","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Special Education","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-Special Education","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Special Education","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education",65,0,0.0,0,0.0
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education",10,"*","*",0,"*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",210,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",26,"*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Non-Special Education","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Special Education","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",236,35,14.8,61,25.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",51,8,15.7,12,23.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",471,22,4.7,80,17.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",50,9,18.0,10,20.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-Special Education",269,22,8.2,98,36.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Special Education",51,11,21.6,16,31.4
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-Special Education",257,8,3.1,32,12.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Special Education",46,6,13.0,9,19.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-Special Education",270,8,3.0,20,7.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Special Education",38,6,15.8,7,18.4
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-Special Education",207,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Special Education",22,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-Special Education",116,"*","*",0,0.0
"Canton School District","=""0230011""","Canton High School","=""0236111""","Special Education",12,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-Special Education",44,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Special Education",6,0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Non-Special Education","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Special Education","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-Special Education",102,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education",9,0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-Special Education",75,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Special Education",6,0,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Non-Special Education","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Special Education","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-Special Education",342,0,0.0,0,0.0
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Special Education",32,"*","*",0,0.0
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-Special Education",141,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Special Education",19,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-Special Education",191,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Special Education",28,"*","*",0,0.0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-Special Education",169,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Special Education",22,"*","*",0,0.0
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Non-Special Education",188,0,0.0,7,3.7
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Special Education",6,"*","*",0,"*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Non-Special Education",123,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Special Education",11,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Non-Special Education",106,"*","*","*","*"
