"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",21,15,71.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",204,156,76.5
"Avon School District","=""0040011""","Avon High School","=""0046111""",284,274,96.5
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",261,249,95.4
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",237,225,94.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",168,140,83.3
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",16,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",73,66,90.4
"Branford School District","=""0140011""","Branford High School","=""0146111""",251,239,95.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",310,148,47.7
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",570,447,78.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",357,236,66.1
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",332,286,86.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",290,250,86.2
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",254,247,97.2
"Canton School District","=""0230011""","Canton High School","=""0236111""",118,115,97.5
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",79,64,81.0
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",99,87,87.9
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",76,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",395,389,98.5
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",122,113,92.6
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",244,231,94.7
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",31,28,90.3
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",168,156,92.9
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",206,195,94.7
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",129,120,93.0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",125,115,92.0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",155,146,94.2
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",133,129,97.0
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",206,200,97.1
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",131,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",161,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",144,140,97.2
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",153,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",162,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",216,210,97.2
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",130,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",174,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",137,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",151,131,86.8
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",145,137,94.5
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",705,566,80.3
"Darien School District","=""0350011""","Darien High School","=""0356111""",308,299,97.1
"Derby School District","=""0370011""","Derby High School","=""0376111""",102,79,77.5
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",60,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",98,92,93.9
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",160,153,95.6
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",38,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",417,363,87.1
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",217,163,75.1
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",298,285,95.6
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",86,76,88.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",36,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",43,30,69.8
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",201,183,91.0
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",19,15,"*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",192,169,88.0
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",303,266,87.8
"Explorations District","=""2720013""","Explorations","=""2726113""",28,16,57.1
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",351,338,96.3
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",337,312,92.6
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",298,286,96.0
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",508,489,96.3
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",187,184,98.4
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",644,596,92.5
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",183,160,87.4
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",339,282,83.2
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",285,280,98.2
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",506,434,85.8
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",248,157,63.3
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",33,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",81,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",46,30,65.2
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",130,79,60.8
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",125,85,68.0
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",135,64,47.4
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",69,33,47.8
