"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, High Needs Status"

"",,,,"Non-Graduates",,,
"District","School","High Needs Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","High Needs","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*"
"Ansonia School District","Ansonia High School","High Needs",155,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-High Needs",54,"*","*","*","*"
"Avon School District","Avon High School","High Needs",45,"*","*","*","*"
"Avon School District","Avon High School","Non-High Needs",216,"*","*","*","*"
"Berlin School District","Berlin High School","High Needs",51,"*","*","*","*"
"Berlin School District","Berlin High School","Non-High Needs",211,"*","*","*","*"
"Bethel School District","Bethel High School","High Needs",60,"*","*","*","*"
"Bethel School District","Bethel High School","Non-High Needs",173,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","High Needs",74,6,8.1,"*","*"
"Bloomfield School District","Bloomfield High School","Non-High Needs",51,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","High Needs",17,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-High Needs",13,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","High Needs","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-High Needs","*","*","*","*","*"
"Bolton School District","Bolton High School","High Needs",19,"*","*","*","*"
"Bolton School District","Bolton High School","Non-High Needs",61,"*","*","*","*"
"Branford School District","Branford High School","High Needs",81,"*","*","*","*"
"Branford School District","Branford High School","Non-High Needs",188,"*","*","*","*"
"Bridgeport School District","Bassick High School","High Needs",315,60,19.0,69,21.9
"Bridgeport School District","Bassick High School","Non-High Needs","*","*","*","*","*"
"Bridgeport School District","Central High School","High Needs",538,46,8.6,75,13.9
"Bridgeport School District","Central High School","Non-High Needs","*","*","*","*","*"
"Bridgeport School District","Harding High School","High Needs",331,17,5.1,113,34.1
"Bridgeport School District","Harding High School","Non-High Needs","*","*","*","*","*"
"Bristol School District","Bristol Central High School","High Needs",154,14,9.1,37,24.0
"Bristol School District","Bristol Central High School","Non-High Needs",162,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","High Needs",137,19,13.9,23,16.8
"Bristol School District","Bristol Eastern High School","Non-High Needs",166,"*","*","*","*"
"Brookfield School District","Brookfield High School","High Needs",41,"*","*","*","*"
"Brookfield School District","Brookfield High School","Non-High Needs",200,"*","*","*","*"
"Canton School District","Canton High School","High Needs",31,"*","*","*","*"
"Canton School District","Canton High School","Non-High Needs",92,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","High Needs",18,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-High Needs",20,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","High Needs",54,"*","*",8,14.8
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-High Needs",33,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","High Needs",48,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-High Needs",43,"*","*","*","*"
"Cheshire School District","Cheshire High School","High Needs",63,"*","*","*","*"
"Cheshire School District","Cheshire High School","Non-High Needs",293,"*","*","*","*"
"Clinton School District","The Morgan School","High Needs",52,"*","*","*","*"
"Clinton School District","The Morgan School","Non-High Needs",91,"*","*","*","*"
"Colchester School District","Bacon Academy","High Needs",53,"*","*","*","*"
"Colchester School District","Bacon Academy","Non-High Needs",197,"*","*","*","*"
"Common Ground High School District","Common Ground High School","High Needs",30,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-High Needs",8,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","High Needs",152,"*","*",17,11.2
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-High Needs","*","*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","High Needs",168,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-High Needs",28,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","High Needs",99,"*","*",6,6.1
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-High Needs",33,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","High Needs",117,"*","*",16,13.7
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-High Needs","*","*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","High Needs",91,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-High Needs",56,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","High Needs",64,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-High Needs",52,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","High Needs",91,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-High Needs",87,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","High Needs",51,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-High Needs",62,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","High Needs",82,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-High Needs",66,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","High Needs",82,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-High Needs",86,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","High Needs",78,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Non-High Needs",76,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","High Needs",49,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-High Needs",118,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","High Needs",96,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-High Needs",111,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","High Needs",64,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-High Needs",77,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","High Needs",106,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-High Needs",86,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","High Needs",61,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-High Needs",71,"*","*","*","*"
"Coventry School District","Coventry High School","High Needs",40,"*","*","*","*"
"Coventry School District","Coventry High School","Non-High Needs",95,"*","*","*","*"
"Cromwell School District","Cromwell High School","High Needs",42,"*","*","*","*"
"Cromwell School District","Cromwell High School","Non-High Needs",99,"*","*","*","*"
"Danbury School District","Alternative Center For Excellence","High Needs",28,15,53.6,"*","*"
"Danbury School District","Alternative Center For Excellence","Non-High Needs",6,"*","*","*","*"
"Danbury School District","Danbury High School","High Needs",409,75,18.3,65,15.9
"Danbury School District","Danbury High School","Non-High Needs",327,"*","*",10,3.1
"Darien School District","Darien High School","High Needs",41,"*","*","*","*"
"Darien School District","Darien High School","Non-High Needs",271,"*","*","*","*"
"Derby School District","Derby High School","High Needs",55,"*","*","*","*"
"Derby School District","Derby High School","Non-High Needs",31,"*","*","*","*"
"East Granby School District","East Granby High School","High Needs",10,"*","*","*","*"
"East Granby School District","East Granby High School","Non-High Needs",59,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","High Needs",21,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Non-High Needs",74,"*","*","*","*"
"East Hampton School District","East Hampton High School","High Needs",25,"*","*","*","*"
"East Hampton School District","East Hampton High School","Non-High Needs",105,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","High Needs",16,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Non-High Needs",23,"*","*","*","*"
"East Hartford School District","East Hartford High School","High Needs",281,14,5.0,33,11.7
"East Hartford School District","East Hartford High School","Non-High Needs",97,"*","*",6,6.2
"East Hartford School District","Stevens Alternate High school","High Needs",106,24,22.6,29,27.4
"East Hartford School District","Stevens Alternate High school","Non-High Needs",9,"*","*","*","*"
"East Haven School District","East Haven High School","High Needs",131,"*","*",31,23.7
"East Haven School District","East Haven High School","Non-High Needs",106,"*","*",9,8.5
"East Lyme School District","East Lyme High School","High Needs",69,"*","*","*","*"
"East Lyme School District","East Lyme High School","Non-High Needs",240,"*","*","*","*"
"East Windsor School District","East Windsor High School","High Needs",51,"*","*","*","*"
"East Windsor School District","East Windsor High School","Non-High Needs",44,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","High Needs",9,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Non-High Needs",17,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","High Needs",28,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Non-High Needs",15,"*","*","*","*"
"Ellington School District","Ellington High School","High Needs",38,"*","*","*","*"
"Ellington School District","Ellington High School","Non-High Needs",159,"*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","High Needs","*","*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","Non-High Needs","*","*","*","*","*"
"Enfield School District","Enfield High School","High Needs",81,8,9.9,17,21.0
"Enfield School District","Enfield High School","Non-High Needs",102,"*","*","*","*"
"Enfield School District","Enrico Fermi High School","High Needs",85,"*","*",10,11.8
"Enfield School District","Enrico Fermi High School","Non-High Needs",171,"*","*","*","*"
"Explorations District","Explorations","High Needs",18,"*","*","*","*"
"Explorations District","Explorations","Non-High Needs",14,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","High Needs",82,7,8.5,"*","*"
"Fairfield School District","Fairfield Ludlowe High School","Non-High Needs",301,"*","*","*","*"
"Fairfield School District","Fairfield Warde High School","High Needs",91,15,16.5,"*","*"
"Fairfield School District","Fairfield Warde High School","Non-High Needs",223,"*","*","*","*"
"Farmington School District","Farmington High School","High Needs",56,"*","*","*","*"
"Farmington School District","Farmington High School","Non-High Needs",262,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","High Needs",90,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","Non-High Needs",460,"*","*","*","*"
"Granby School District","Granby Memorial High School","High Needs",27,"*","*","*","*"
"Granby School District","Granby Memorial High School","Non-High Needs",166,"*","*","*","*"
"Greenwich School District","Greenwich High School","High Needs",187,"*","*","*","*"
"Greenwich School District","Greenwich High School","Non-High Needs",499,"*","*","*","*"
"Griswold School District","Griswold High School","High Needs",72,"*","*","*","*"
"Griswold School District","Griswold High School","Non-High Needs",95,"*","*","*","*"
"Groton School District","Robert E. Fitch High School","High Needs",142,"*","*",27,19.0
"Groton School District","Robert E. Fitch High School","Non-High Needs",178,"*","*",13,7.3
"Guilford School District","Guilford High School","High Needs",56,"*","*",7,12.5
