"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, English Learner Status"

"",,,,"Graduates",
"District","School","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","Non-ELL",23,19,82.6
"Ansonia School District","Ansonia High School","Non-ELL","*","*","*"
"Ansonia School District","Ansonia High School","ELL","*","*","*"
"Avon School District","Avon High School","Non-ELL",269,265,98.5
"Berlin School District","Berlin High School","Non-ELL","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*"
"Bethel School District","Bethel High School","Non-ELL",238,"*","*"
"Bethel School District","Bethel High School","ELL",6,"*","*"
"Bloomfield School District","Bloomfield High School","Non-ELL",129,117,90.7
"Bloomfield School District","Bloomfield High School","ELL","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-ELL",26,25,96.2
"Bloomfield School District","Learning Academy at Bloomfield","Non-ELL","*","*","*"
"Bolton School District","Bolton High School","Non-ELL",101,96,95.0
"Branford School District","Branford High School","Non-ELL","*","*","*"
"Branford School District","Branford High School","ELL","*","*","*"
"Bridgeport School District","Bassick High School","Non-ELL",287,179,62.4
"Bridgeport School District","Bassick High School","ELL",60,37,61.7
"Bridgeport School District","Central High School","Non-ELL",509,420,82.5
"Bridgeport School District","Central High School","ELL",53,33,62.3
"Bridgeport School District","Harding High School","Non-ELL",247,177,71.7
"Bridgeport School District","Harding High School","ELL",58,36,62.1
"Bristol School District","Bristol Central High School","Non-ELL",318,264,83.0
"Bristol School District","Bristol Central High School","ELL",12,"*","*"
"Bristol School District","Bristol Eastern High School","Non-ELL",342,291,85.1
"Bristol School District","Bristol Eastern High School","ELL",8,"*","*"
"Brookfield School District","Brookfield High School","Non-ELL","*","*","*"
"Brookfield School District","Brookfield High School","ELL","*","*","*"
"Canton School District","Canton High School","Non-ELL",135,128,94.8
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-ELL","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-ELL",95,80,84.2
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Non-ELL",45,42,93.3
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","ELL","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-ELL",96,92,95.8
"Capitol Region Education Council","Public Safety Academy","Non-ELL",45,38,84.4
"Cheshire School District","Cheshire High School","Non-ELL","*","*","*"
"Cheshire School District","Cheshire High School","ELL","*","*","*"
"Clinton School District","The Morgan School","Non-ELL","*","*","*"
"Clinton School District","The Morgan School","ELL","*","*","*"
"Colchester School District","Bacon Academy","Non-ELL","*","*","*"
"Colchester School District","Bacon Academy","ELL","*","*","*"
"Common Ground High School District","Common Ground High School","Non-ELL",29,26,89.7
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-ELL",177,169,95.5
