"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Special Education Status"

"",,,,"Non-Graduates",,,
"District","School","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",134,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",16,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",244,"*","*","*","*"
"Avon School District","Avon High School","Special Education",25,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",202,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",32,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",213,"*","*","*","*"
"Bethel School District","Bethel High School","Special Education",31,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",120,6,5.0,"*","*"
"Bloomfield School District","Bloomfield High School","Special Education",13,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-Special Education",22,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Special Education","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-Special Education",6,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Special Education","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education",94,"*","*","*","*"
"Bolton School District","Bolton High School","Special Education",7,"*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",252,"*","*","*","*"
"Branford School District","Branford High School","Special Education",40,"*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",304,33,10.9,76,25.0
"Bridgeport School District","Bassick High School","Special Education",43,15,34.9,"*","*"
"Bridgeport School District","Central High School","Non-Special Education",507,20,3.9,70,13.8
"Bridgeport School District","Central High School","Special Education",55,16,29.1,"*","*"
"Bridgeport School District","Harding High School","Non-Special Education",262,11,4.2,59,22.5
"Bridgeport School District","Harding High School","Special Education",43,6,14.0,16,37.2
"Bristol School District","Bristol Central High School","Non-Special Education",288,19,6.6,28,9.7
"Bristol School District","Bristol Central High School","Special Education",42,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-Special Education",287,17,5.9,21,7.3
