"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Gender"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Gender","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",15,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",8,0,"*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",72,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",78,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",147,0,0.0,0,0.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",122,"*","*",0,0.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",114,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",120,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",117,6,5.1,0,0.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",127,6,4.7,6,4.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",64,"*","*",0,0.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",69,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Female",16,0,"*",0,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Male",10,"*","*",0,"*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Female","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Male","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",53,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",48,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",149,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",143,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",163,16,9.8,35,21.5
