"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",23,19,82.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",150,120,80.0
"Avon School District","=""0040011""","Avon High School","=""0046111""",269,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",234,223,95.3
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",244,226,92.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",133,120,90.2
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",26,"*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",8,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",101,96,95.0
"Branford School District","=""0140011""","Branford High School","=""0146111""",292,271,92.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",347,216,62.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",562,453,80.6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",305,213,69.8
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",330,274,83.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",350,295,84.3
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",231,225,97.4
"Canton School District","=""0230011""","Canton High School","=""0236111""",135,128,94.8
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",33,28,84.8
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",95,80,84.2
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",46,43,93.5
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",96,"*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",45,38,84.4
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",366,360,98.4
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",128,121,94.5
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",248,237,95.6
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",29,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",183,175,95.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",185,170,91.9
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",143,136,95.1
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",111,102,91.9
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",127,120,94.5
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",127,122,96.1
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",178,172,96.6
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",111,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",143,137,95.8
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",154,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",156,152,97.4
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",145,140,96.6
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",207,203,98.1
