"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, High Needs Status"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","High Needs Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","High Needs",16,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-High Needs",13,0,"*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs",99,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-High Needs",84,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs",32,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-High Needs",222,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","High Needs",43,0,0.0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-High Needs",217,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","High Needs",42,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-High Needs",203,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","High Needs",72,15,20.8,9,12.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-High Needs",99,9,9.1,11,11.1
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","High Needs","*","*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-High Needs","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","High Needs",9,0,"*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-High Needs",64,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","High Needs",62,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-High Needs",212,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","High Needs",332,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-High Needs",9,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","High Needs",554,67,12.1,76,13.7
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-High Needs",49,7,14.3,8,16.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","High Needs",413,55,13.3,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-High Needs",22,9,40.9,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","High Needs",122,17,13.9,36,29.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-High Needs",210,13,6.2,21,10.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","High Needs",112,16,14.3,18,16.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-High Needs",256,16,6.3,21,8.2
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","High Needs",18,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-High Needs",245,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","High Needs",18,"*","*",0,"*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-High Needs",100,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","High Needs",69,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Non-High Needs",49,0,0.0,"*","*"
