"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, English Learner Status"

"",,,,"Graduates",
"District","School","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","Non-ELL",29,17,58.6
"Ansonia School District","Ansonia High School","Non-ELL","*","*","*"
"Ansonia School District","Ansonia High School","ELL","*","*","*"
"Avon School District","Avon High School","Non-ELL","*","*","*"
"Avon School District","Avon High School","ELL","*","*","*"
"Berlin School District","Berlin High School","Non-ELL","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*"
"Bethel School District","Bethel High School","Non-ELL","*","*","*"
"Bethel School District","Bethel High School","ELL","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-ELL",170,126,74.1
"Bloomfield School District","Bloomfield High School","ELL","*","*","*"
"Bloomfield School District","The Big Picture High School","Non-ELL","*","*","*"
"Bolton School District","Bolton High School","Non-ELL",73,69,94.5
"Branford School District","Branford High School","Non-ELL","*","*","*"
"Branford School District","Branford High School","ELL","*","*","*"
"Bridgeport School District","Bassick High School","Non-ELL",283,175,61.8
"Bridgeport School District","Bassick High School","ELL",58,33,56.9
"Bridgeport School District","Central High School","Non-ELL",548,406,74.1
"Bridgeport School District","Central High School","ELL",55,39,70.9
"Bridgeport School District","Harding High School","Non-ELL",343,161,46.9
"Bridgeport School District","Harding High School","ELL",92,35,38.0
"Bristol School District","Bristol Central High School","Non-ELL",326,240,73.6
"Bristol School District","Bristol Central High School","ELL","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-ELL",363,294,81.0
"Bristol School District","Bristol Eastern High School","ELL","*","*","*"
"Brookfield School District","Brookfield High School","Non-ELL","*","*","*"
"Brookfield School District","Brookfield High School","ELL","*","*","*"
"Canton School District","Canton High School","Non-ELL","*","*","*"
"Canton School District","Canton High School","ELL","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Non-ELL",115,100,87.0
"Capitol Region Education Council","Great Path Academy at MCC","ELL","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-ELL",61,49,80.3
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELL","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-ELL",102,92,90.2
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","ELL","*","*","*"
"Cheshire School District","Cheshire High School","Non-ELL","*","*","*"
"Cheshire School District","Cheshire High School","ELL","*","*","*"
"Clinton School District","The Morgan School","Non-ELL","*","*","*"
"Clinton School District","The Morgan School","ELL","*","*","*"
"Colchester School District","Bacon Academy","Non-ELL","*","*","*"
"Colchester School District","Bacon Academy","ELL","*","*","*"
"Common Ground High School District","Common Ground High School","Non-ELL",38,33,86.8
