"Four-Year Graduation Rates, 2014-15"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",29,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",153,11,7.2,6,3.9
"Avon School District","=""0040011""","Avon High School","=""0046111""",246,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",209,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",214,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",132,8,6.1,9,6.8
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",25,0,0.0,0,0.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",15,"*","*",0,"*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",75,"*","*",0,0.0
"Branford School District","=""0140011""","Branford High School","=""0146111""",236,6,2.5,13,5.5
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",31,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",287,43,15.0,73,25.4
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",521,31,6.0,90,17.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",320,33,10.3,114,35.6
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",303,14,4.6,41,13.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",308,14,4.5,27,8.8
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",229,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",128,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",50,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",40,0,0.0,"*","*"
