"Four-Year Graduation Rates, 2014-15"
"All Districts, All Schools, English Learner Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELL","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELL","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-ELL","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELL","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-ELL","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELL","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-ELL","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELL",6,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-ELL",208,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-ELL","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-ELL","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","ELL","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-ELL",15,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","ELL","N/A","N/A","N/A"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-ELL",75,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELL",8,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-ELL",228,"*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","ELL","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Non-ELL","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELL",36,19,52.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-ELL",251,152,60.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELL",53,45,84.9
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-ELL",468,355,75.9
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELL",84,40,47.6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-ELL",236,133,56.4
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELL",13,10,"*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-ELL",290,238,82.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELL",14,11,"*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-ELL",294,256,87.1
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELL","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-ELL","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","ELL","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","ELL","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Non-ELL",40,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","ELL","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-ELL",81,78,96.3
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","ELL","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Non-ELL",36,32,88.9
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELL","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-ELL","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELL","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-ELL","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELL","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-ELL","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELL","N/A","N/A","N/A"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-ELL",37,37,100.0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELL",19,19,"*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-ELL",172,167,97.1
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","ELL",7,7,"*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Non-ELL",187,179,95.7
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","ELL",16,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Non-ELL",118,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","ELL",21,21,100.0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Non-ELL",100,88,88.0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","ELL",9,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-ELL",97,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","ELL","N/A","N/A","N/A"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Non-ELL",142,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","ELL",11,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Non-ELL",132,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","ELL","N/A","N/A","N/A"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Non-ELL",155,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","ELL","N/A","N/A","N/A"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Non-ELL",153,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","ELL","N/A","N/A","N/A"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Non-ELL",171,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","ELL",7,7,"*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Non-ELL",129,125,96.9
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","ELL","N/A","N/A","N/A"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Non-ELL",107,"*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","ELL","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Non-ELL","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","ELL",138,66,47.8
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Non-ELL",594,516,86.9
"Darien School District","=""0350011""","Darien High School","=""0356111""","ELL","N/A","N/A","N/A"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Non-ELL",329,320,97.3
"Derby School District","=""0370011""","Derby High School","=""0376111""","ELL",10,"*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","Non-ELL",91,"*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","ELL","N/A","N/A","N/A"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Non-ELL",61,61,100.0
