"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Race/Ethnicity"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Race/Ethnicity","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black",15,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic",14,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Black",50,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Hispanic",39,8,20.5,8,20.5
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Asian","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Indian or Alaska Native","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","White",88,8,9.1,14,15.9
"Avon School District","=""0040011""","Avon High School","=""0046111""","Black","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Hispanic",14,"*","*",0,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Asian",19,0,"*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Indian or Alaska Native","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","White",212,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Black","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Hispanic",6,0,"*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Asian",9,0,"*",0,"*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Indian or Alaska Native","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","White",243,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Black",6,"*","*",0,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Hispanic",21,"*","*",0,0.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Asian",17,0,"*",0,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","White",201,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Black",159,22,13.8,17,10.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Hispanic","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Asian","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","White","*","*","*","*","*"
