"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",29,17,58.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",183,129,70.5
"Avon School District","=""0040011""","Avon High School","=""0046111""",254,243,95.7
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",260,244,93.8
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",245,231,94.3
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",171,127,74.3
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",13,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",73,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",274,260,94.9
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",341,208,61.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",603,445,73.8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",435,196,45.1
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",332,245,73.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",368,297,80.7
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",263,251,95.4
"Canton School District","=""0230011""","Canton High School","=""0236111""",118,112,94.9
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",118,103,87.3
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",62,49,79.0
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",103,93,90.3
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",365,350,95.9
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",144,133,92.4
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",249,231,92.8
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",38,33,86.8
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",151,140,92.7
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",193,182,94.3
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",102,96,94.1
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",123,100,81.3
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",125,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",121,112,92.6
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",182,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",129,115,89.1
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",160,146,91.3
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",135,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",111,109,98.2
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",191,177,92.7
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",200,191,95.5
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",135,125,92.6
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",154,146,94.8
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",126,120,95.2
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",152,137,90.1
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",167,159,95.2
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",719,572,79.6
"Darien School District","=""0350011""","Darien High School","=""0356111""",326,313,96.0
"Derby School District","=""0370011""","Derby High School","=""0376111""",122,87,71.3
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",76,73,96.1
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",93,86,92.5
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",136,127,93.4
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",33,33,100.0
