"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, English Learner Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELL","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELL",13,8,"*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-ELL",196,151,77.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELL","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-ELL","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELL","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-ELL","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELL","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-ELL","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-ELL","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-ELL",30,"*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-ELL","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-ELL",80,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELL","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-ELL","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELL",55,31,56.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-ELL",261,156,59.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELL",47,34,72.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-ELL",494,386,78.1
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELL",64,32,50.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-ELL",271,172,63.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELL",14,8,"*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-ELL",302,250,82.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELL",10,"*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-ELL",293,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELL","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-ELL","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-ELL",123,117,95.1
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-ELL",91,86,94.5
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELL","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-ELL","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELL","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-ELL","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELL","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-ELL","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELL","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELL",13,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-ELL",159,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","ELL",15,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Non-ELL",181,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","ELL",14,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Non-ELL",118,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","ELL",24,18,75.0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Non-ELL",96,82,85.4
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","ELL",9,9,"*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-ELL",138,135,97.8
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Non-ELL",113,113,100.0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Non-ELL",154,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Non-ELL",167,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Non-ELL",192,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","ELL",6,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Non-ELL",126,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","ELL","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Non-ELL","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","ELL","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Non-ELL","*","*","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","ELL","*","*","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Non-ELL","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","ELL",132,66,50.0
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Non-ELL",604,515,85.3
"Darien School District","=""0350011""","Darien High School","=""0356111""","Non-ELL",312,305,97.8
"Derby School District","=""0370011""","Derby High School","=""0376111""","ELL","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","Non-ELL","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Non-ELL",69,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Non-ELL",95,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","ELL","*","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Non-ELL","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","ELL","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Non-ELL","*","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","ELL",26,19,73.1
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Non-ELL",352,305,86.6
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","ELL",9,"*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Non-ELL",106,"*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","ELL","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Non-ELL","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","ELL","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Non-ELL","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","ELL","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Non-ELL",26,24,92.3
