"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, High Needs Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","High Needs Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","High Needs",16,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-High Needs",13,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs",99,57,57.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-High Needs",84,72,85.7
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs",32,27,84.4
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-High Needs",222,216,97.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","High Needs",43,37,86.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-High Needs",217,207,95.4
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","High Needs",42,33,78.6
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-High Needs",203,198,97.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","High Needs",72,48,66.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-High Needs",99,79,79.8
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","High Needs","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-High Needs","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","High Needs",9,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-High Needs",64,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","High Needs",62,51,82.3
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-High Needs",212,209,98.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","High Needs",332,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-High Needs",9,"*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","High Needs",554,411,74.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-High Needs",49,34,69.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","High Needs",413,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-High Needs",22,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","High Needs",122,69,56.6
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-High Needs",210,176,83.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","High Needs",112,78,69.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-High Needs",256,219,85.5
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","High Needs",18,16,"*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-High Needs",245,235,95.9
"Canton School District","=""0230011""","Canton High School","=""0236111""","High Needs",18,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-High Needs",100,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","High Needs",69,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Non-High Needs",49,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","High Needs",23,15,65.2
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-High Needs",39,34,87.2
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","High Needs",24,21,87.5
