"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, High Needs Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","High Needs Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","High Needs","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-High Needs","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs",141,99,70.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-High Needs",63,57,90.5
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs",45,39,86.7
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-High Needs",239,235,98.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","High Needs",63,56,88.9
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-High Needs",198,193,97.5
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","High Needs",57,49,86.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-High Needs",180,176,97.8
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","High Needs",100,76,76.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-High Needs",68,64,94.1
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","High Needs","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-High Needs","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","High Needs",15,8,"*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-High Needs",58,58,100.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","High Needs",80,75,93.8
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-High Needs",171,164,95.9
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","High Needs",310,148,47.7
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","High Needs",570,447,78.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","High Needs","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-High Needs","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","High Needs",159,122,76.7
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-High Needs",173,164,94.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","High Needs",123,94,76.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-High Needs",167,156,93.4
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","High Needs",32,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-High Needs",222,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","High Needs",16,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-High Needs",102,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","High Needs",53,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Non-High Needs",26,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","High Needs",61,55,90.2
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-High Needs",38,32,84.2
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","High Needs",45,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-High Needs",31,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","High Needs",73,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-High Needs",322,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","High Needs",32,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-High Needs",90,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","High Needs",63,53,84.1
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-High Needs",181,178,98.3
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","High Needs",25,22,88.0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-High Needs",6,6,"*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","High Needs",148,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-High Needs",20,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","High Needs",172,161,93.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Non-High Needs",34,34,100.0
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","High Needs",112,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Non-High Needs",17,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","High Needs",119,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Non-High Needs",6,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","High Needs",101,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-High Needs",54,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","High Needs",72,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Non-High Needs",61,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","High Needs",103,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Non-High Needs",103,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","High Needs",60,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Non-High Needs",71,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","High Needs",97,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Non-High Needs",64,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","High Needs",60,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Non-High Needs",84,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","High Needs",76,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Non-High Needs",77,"*","*"
