"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",23,16,69.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",209,159,76.1
"Avon School District","=""0040011""","Avon High School","=""0046111""",261,252,96.6
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",262,252,96.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",233,217,93.1
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",125,114,91.2
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",30,"*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",8,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",80,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",269,250,92.9
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",316,187,59.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",541,420,77.6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",335,204,60.9
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",316,258,81.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",303,247,81.5
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",241,232,96.3
"Canton School District","=""0230011""","Canton High School","=""0236111""",123,117,95.1
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",38,33,86.8
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",87,72,82.8
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",91,86,94.5
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",356,347,97.5
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",143,128,89.5
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",250,235,94.0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",38,34,89.5
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",172,152,88.4
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",196,189,96.4
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",132,126,95.5
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",120,100,83.3
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",147,144,98.0
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",116,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",178,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",113,113,100.0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",148,143,96.6
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",168,163,97.0
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",154,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",167,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",207,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",141,133,94.3
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",192,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",132,130,98.5
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",135,122,90.4
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",141,132,93.6
