"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Gender"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",17,11,"*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",12,6,"*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",93,68,73.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",90,61,67.8
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",136,133,97.8
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",118,110,93.2
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",124,116,93.5
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",136,128,94.1
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",131,127,96.9
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",114,104,91.2
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",82,68,82.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",89,59,66.3
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Female","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Male","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",47,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",26,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",132,126,95.5
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",142,134,94.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",160,103,64.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",181,105,58.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",294,242,82.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",309,203,65.7
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",221,116,52.5
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",214,80,37.4
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",171,130,76.0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",161,115,71.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",184,157,85.3
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",184,140,76.1
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Female",120,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Male",143,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Female",56,53,94.6
"Canton School District","=""0230011""","Canton High School","=""0236111""","Male",62,59,95.2
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Female",70,62,88.6
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Male",48,41,85.4
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",39,32,82.1
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",23,17,73.9
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",58,51,87.9
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",45,42,93.3
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Female",162,159,98.1
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Male",203,191,94.1
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Female",77,75,97.4
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Male",67,58,86.6
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Female",122,119,97.5
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Male",127,112,88.2
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Female",21,19,90.5
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Male",17,14,"*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Female",84,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Male",67,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Female",89,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Male",104,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Female",38,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Male",64,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Female",49,40,81.6
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Male",74,60,81.1
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",55,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",70,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Female",40,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Male",81,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Female",69,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Male",113,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Female",38,31,81.6
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Male",91,84,92.3
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Female",54,48,88.9
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Male",106,98,92.5
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Female",19,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Male",116,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Female",35,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Male",76,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Female",62,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Male",129,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Female",65,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Male",135,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Female",40,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Male",95,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Female",55,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Male",99,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Female",43,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Male",83,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Female",86,79,91.9
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Male",66,58,87.9
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Female",93,89,95.7
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Male",74,70,94.6
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Female",345,291,84.3
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Male",374,281,75.1
"Darien School District","=""0350011""","Darien High School","=""0356111""","Female",161,157,97.5
"Darien School District","=""0350011""","Darien High School","=""0356111""","Male",165,156,94.5
"Derby School District","=""0370011""","Derby High School","=""0376111""","Female",56,46,82.1
"Derby School District","=""0370011""","Derby High School","=""0376111""","Male",66,41,62.1
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Female",39,"*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Male",37,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Female",46,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Male",47,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Female",66,62,93.9
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Male",70,65,92.9
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Female",18,18,"*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Male",15,15,"*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Female",278,237,85.3
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Male",259,193,74.5
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Female",150,135,90.0
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Male",140,118,84.3
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Female",163,160,98.2
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Male",161,152,94.4
