"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Special Education Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",134,111,82.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",16,9,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",244,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",25,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",202,198,98.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",32,25,78.1
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",213,201,94.4
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",31,25,80.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",120,112,93.3
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",13,8,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Special Education","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education",94,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education",7,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",252,236,93.7
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",40,35,87.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",304,195,64.1
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",43,21,48.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",507,417,82.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",55,36,65.5
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-Special Education",262,192,73.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Special Education",43,21,48.8
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-Special Education",288,241,83.7
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Special Education",42,33,78.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-Special Education",287,249,86.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Special Education",63,46,73.0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-Special Education",210,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Special Education",21,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-Special Education",118,115,97.5
