"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,"Non-Graduates",,,
"District","School","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy",21,"*","*","*","*"
"Ansonia School District","Ansonia High School",204,12,5.9,36,17.6
"Avon School District","Avon High School",284,"*","*","*","*"
"Berlin School District","Berlin High School",261,"*","*","*","*"
"Bethel School District","Bethel High School",237,"*","*","*","*"
"Bloomfield School District","Bloomfield High School",168,"*","*","*","*"
"Bloomfield School District","The Big Picture High School",16,"*","*","*","*"
"Bolton School District","Bolton High School",73,"*","*","*","*"
"Branford School District","Branford High School",251,"*","*","*","*"
"Bridgeport School District","Bassick High School",310,30,9.7,132,42.6
"Bridgeport School District","Central High School",570,52,9.1,71,12.5
"Bridgeport School District","Harding High School",357,22,6.2,99,27.7
"Bristol School District","Bristol Central High School",332,21,6.3,25,7.5
"Bristol School District","Bristol Eastern High School",290,14,4.8,26,9.0
"Brookfield School District","Brookfield High School",254,"*","*","*","*"
"Canton School District","Canton High School",118,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC",79,"*","*",15,19.0
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",99,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",76,"*","*","*","*"
"Cheshire School District","Cheshire High School",395,"*","*","*","*"
"Clinton School District","The Morgan School",122,"*","*","*","*"
"Colchester School District","Bacon Academy",244,"*","*","*","*"
"Common Ground High School District","Common Ground High School",31,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",168,"*","*",11,6.5
"Connecticut Technical High School System","Bullard-Havens Technical High School",206,"*","*",11,5.3
"Connecticut Technical High School System","E. C. Goodwin Technical High School",129,"*","*",8,6.2
"Connecticut Technical High School System","Eli Whitney Technical High School",125,"*","*",10,8.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",155,"*","*",9,5.8
"Connecticut Technical High School System","Emmett O'Brien Technical High School",133,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School",206,"*","*",6,2.9
"Connecticut Technical High School System","H. H. Ellis Technical High School",131,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School",161,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School",144,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School",153,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School",162,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School",216,"*","*",6,2.8
"Connecticut Technical High School System","Vinal Technical High School",130,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School",174,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School",137,"*","*","*","*"
"Coventry School District","Coventry High School",151,9,6.0,11,7.3
"Cromwell School District","Cromwell High School",145,"*","*","*","*"
"Danbury School District","Danbury High School",705,74,10.5,65,9.2
"Darien School District","Darien High School",308,"*","*","*","*"
"Derby School District","Derby High School",102,8,7.8,15,14.7
"East Granby School District","East Granby High School",60,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School",98,"*","*","*","*"
"East Hampton School District","East Hampton High School",160,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy",38,"*","*","*","*"
"East Hartford School District","East Hartford High School",417,"*","*","*","*"
"East Haven School District","East Haven High School",217,13,6.0,41,18.9
"East Lyme School District","East Lyme High School",298,"*","*","*","*"
"East Windsor School District","East Windsor High School",86,"*","*","*","*"
