"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Special Education Status"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education",21,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",180,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",24,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",248,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",36,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",223,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",38,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",210,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",27,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",144,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",24,"*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-Special Education","*","*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Special Education","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education",64,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education",9,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",224,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",27,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",264,24,9.1,112,42.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",46,6,13.0,20,43.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",512,39,7.6,58,11.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",58,13,22.4,13,22.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-Special Education",305,11,3.6,83,27.2
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Special Education",52,11,21.2,16,30.8
