"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Special Education Status"

"",,,,"Graduates",
"District","School","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education",29,17,58.6
"Ansonia School District","Ansonia High School","Non-Special Education",165,121,73.3
"Ansonia School District","Ansonia High School","Special Education",18,8,44.4
"Avon School District","Avon High School","Non-Special Education",229,222,96.9
"Avon School District","Avon High School","Special Education",25,21,84.0
"Berlin School District","Berlin High School","Non-Special Education",232,219,94.4
"Berlin School District","Berlin High School","Special Education",28,25,89.3
"Bethel School District","Bethel High School","Non-Special Education",221,215,97.3
"Bethel School District","Bethel High School","Special Education",24,16,66.7
"Bloomfield School District","Bloomfield High School","Non-Special Education",147,115,78.2
"Bloomfield School District","Bloomfield High School","Special Education",24,12,50.0
"Bloomfield School District","The Big Picture High School","Non-Special Education","*","*","*"
"Bloomfield School District","The Big Picture High School","Special Education","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education","*","*","*"
"Bolton School District","Bolton High School","Special Education","*","*","*"
"Branford School District","Branford High School","Non-Special Education",246,237,96.3
"Branford School District","Branford High School","Special Education",28,23,82.1
"Bridgeport School District","Bassick High School","Non-Special Education",289,183,63.3
"Bridgeport School District","Bassick High School","Special Education",52,25,48.1
"Bridgeport School District","Central High School","Non-Special Education",569,427,75.0
"Bridgeport School District","Central High School","Special Education",34,18,52.9
"Bridgeport School District","Harding High School","Non-Special Education",377,183,48.5
"Bridgeport School District","Harding High School","Special Education",58,13,22.4
"Bristol School District","Bristol Central High School","Non-Special Education",299,229,76.6
"Bristol School District","Bristol Central High School","Special Education",33,16,48.5
"Bristol School District","Bristol Eastern High School","Non-Special Education",332,268,80.7
"Bristol School District","Bristol Eastern High School","Special Education",36,29,80.6
"Brookfield School District","Brookfield High School","Non-Special Education",253,241,95.3
"Brookfield School District","Brookfield High School","Special Education",10,10,100.0
"Canton School District","Canton High School","Non-Special Education",102,98,96.1
"Canton School District","Canton High School","Special Education",16,14,87.5
"Capitol Region Education Council","Great Path Academy at MCC","Non-Special Education",105,93,88.6
"Capitol Region Education Council","Great Path Academy at MCC","Special Education",13,10,76.9
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-Special Education",60,47,78.3
