"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",29,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",183,21,11.5,33,18.0
"Avon School District","=""0040011""","Avon High School","=""0046111""",254,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",260,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",245,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",171,24,14.0,20,11.7
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",13,0,"*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",73,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",274,7,2.6,7,2.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",341,27,7.9,106,31.1
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",603,74,12.3,84,13.9
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",435,64,14.7,175,40.2
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",332,30,9.0,57,17.2
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",368,32,8.7,39,10.6
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",263,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",118,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",118,6,5.1,9,7.6
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",62,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",103,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",365,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",144,"*","*","*","*"
