"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Race/Ethnicity"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Race/Ethnicity","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black",17,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Indian or Alaska Native","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Black","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Hispanic",43,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Two or More Races","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","White",71,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Black","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Hispanic",9,0,"*",0,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Two or More Races","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","White",235,"*","*",0,0.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","Asian",15,0,"*",0,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Hawaiian or Pacific Islander","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Black","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Hispanic",17,"*","*",0,"*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Two or More Races","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","White",201,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Asian",12,"*","*",0,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Black","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Hispanic",29,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Two or More Races","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","White",184,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Asian",22,"*","*",0,0.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Black",120,"*","*","*","*"
