"Four-Year Graduation Rates, 2014-15"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",29,24,82.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",153,136,88.9
"Avon School District","=""0040011""","Avon High School","=""0046111""",246,237,96.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",209,197,94.3
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",214,205,95.8
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",132,115,87.1
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",25,25,100.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",15,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",75,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",236,217,91.9
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",31,29,93.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",287,171,59.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",521,400,76.8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",320,173,54.1
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",303,248,81.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",308,267,86.7
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",229,221,96.5
"Canton School District","=""0230011""","Canton High School","=""0236111""",128,124,96.9
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",50,41,82.0
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",40,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",111,101,91.0
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",81,78,96.3
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",36,32,88.9
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",374,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",160,145,90.6
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",219,209,95.4
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",37,37,100.0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",191,186,97.4
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",194,186,95.9
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",134,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",121,109,90.1
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",106,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",125,125,100.0
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",178,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",142,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",143,"*","*"
