"Sanction Counts, 2015-16"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",1225,338,11,37
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",492,366,8,8
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*",0,0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,57,"*",0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",103,111,"*",0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","*",47,"*",0
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",0,16,"*",0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,22,0,0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,81,0,0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",166,69,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*",16,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,119,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,"*",0,0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*",44,0,18
"Ashford School District","=""0030011""","Ashford School","=""0030111""",12,"*",0,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",18,18,"*",0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",36,14,0,0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",6,0,0,"*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",6,0,0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*",0,0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",46,12,"*",0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",83,"*",0,0
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","*",0,0,0
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*",0,0
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","*","*",0,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",281,26,7,0
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",75,6,"*",0
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","*",0,0,0
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",46,"*",0,"*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",137,71,8,0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",17,18,0,0
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",40,62,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",62,28,"*",0
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",61,23,0,"*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",0,"*",0,0
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",12,19,0,0
