"Sanction Counts, 2011-12"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",701,1102,"*",0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",385,99,9,0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,"*",0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",451,114,"*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","*",42,"*",0
"Ansonia School District","=""0020011""","Mead School","=""0020311""",14,16,0,0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,12,0,0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","*",149,0,"*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",238,39,"*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*",0,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*",24,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,107,0,0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",14,39,0,20
"Ashford School District","=""0030011""","Ashford School","=""0030111""",14,"*",0,13
"Avon School District","=""0040011""","Avon High School","=""0046111""",7,12,"*",0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",37,11,0,"*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*",0,0,0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*","*",0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",19,"*",0,0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*",0,0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",232,31,"*",0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",152,21,0,0
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","*","*",0,0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","*",0,0,0
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*",0,0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",326,17,"*",0
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",104,"*","*",7
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","*",0,0,"*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",141,45,"*",0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",58,26,0,10
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",104,130,"*",9
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",31,"*",0,0
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",24,23,0,0
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","*","*",0,0
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",9,"*",0,0
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",7,23,0,0
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",0,0
"Branford School District","=""0140011""","Branford High School","=""0146111""",227,52,0,0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",87,17,0,0
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",0,"*",0,0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",598,169,"*",0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",191,165,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",104,306,"*",0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",85,41,0,0
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",9,0,0,0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",204,109,"*",0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,10,0,0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","*",20,0,0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1086,1230,12,10
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",121,111,"*",0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",18,26,0,0
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",61,92,"*",0
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",302,326,"*",0
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","*",287,"*",0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",451,297,"*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",11,14,0,0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",231,131,0,0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",9,"*",0,0
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",0,24,0,0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",866,714,"*",0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",18,8,0,0
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",53,57,"*",0
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","*","*",0,0
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",720,385,"*",0
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",132,80,0,0
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",174,99,"*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",68,10,0,0
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",32,61,0,0
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",9,6,0,0
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",20,42,"*",0
"Bridgeport School District","=""0150011""","Read School","=""0152511""",417,195,"*",42
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",194,224,0,0
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",15,47,"*",0
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",77,34,0,0
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*",0,0,0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",207,91,0,0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",737,104,7,"*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",197,104,"*","*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","*",24,0,"*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",26,22,0,"*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","*",13,0,"*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","*","*",0,"*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",15,7,0,0
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",10,24,0,0
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",30,61,0,0
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",18,17,0,0
