"Sanction Counts, 2009-10"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Bus Suspension","Expulsion"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",181,239,54,0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",130,126,62,"*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",687,105,0,8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",55,31,0,"*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","*",26,0,0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,11,0,"*"
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",169,178,"*",0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","*",133,0,0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",287,88,20,"*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*",10,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,88,"*",0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",24,41,0,0
"Ashford School District","=""0030011""","Ashford School","=""0030111""",8,"*",7,0
"Avon School District","=""0040011""","Avon High School","=""0046111""",26,10,0,"*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",19,11,0,0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*","*",0,0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",0,0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",27,10,0,0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*",0,0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",534,55,0,"*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",119,7,0,"*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",13,"*",0,0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",10,"*",0,0
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","*","*",0,0
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*",0,0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",274,21,0,"*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",142,16,8,0
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","*","*",0,0
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","*",0,0,0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",183,92,"*",8
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",58,75,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",81,61,7,"*"
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",25,35,44,0
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",34,68,15,0
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",36,25,"*",0
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",0,10,0,"*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","*","*",0,0
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",11,9,0,0
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*",16,0,0
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",0,"*",0,0
"Branford School District","=""0140011""","Branford High School","=""0146111""",241,64,0,"*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",132,51,0,0
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","*","*",0,0
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","*","*",0,0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",0,52,"*",0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","*",196,8,0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",7,687,0,"*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",16,37,0,0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",327,212,0,0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,11,0,0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",0,14,0,0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",448,1055,0,0
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*",124,0,0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*",20,0,0
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",0,109,0,"*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","*",189,0,0
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","*",321,0,0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","*",299,0,0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","*",190,0,0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",0,20,0,0
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","*",15,0,0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",0,1016,0,0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,31,0,0
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",0,16,0,0
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","*",125,0,0
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",6,67,0,0
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",490,144,0,0
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",11,43,0,0
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",0,135,0,0
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",8,7,"*",0
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,163,0,0
"Bridgeport School District","=""0150011""","Read School","=""0152511""",346,290,"*",0
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",625,349,0,0
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","*",114,0,0
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",38,69,0,0
"Bridgeport School District","=""1420011""","Tolland High School","=""1426111""",0,"*",0,0
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",0,0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",192,112,"*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",185,86,8,"*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",137,86,"*",0
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",8,9,"*",0
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","*","*",0,0
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",23,15,0,0
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","*","*",0,0
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","*",6,0,0
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",6,"*","*","*"
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",11,6,"*",0
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",59,34,"*",0
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","*","*",0,0
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",33,22,0,"*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","*","*","*",0
"Bristol School District","=""0170011""","Stafford School","=""0171211""",6,"*",0,0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",27,10,0,0
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",37,"*",0,0
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*",0,10,0
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",88,"*",15,0
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*",0,0,0
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",16,24,0,0
"Canton School District","=""0230011""","Canton High School","=""0236111""",23,12,0,"*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*","*",0,0
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",7,"*",0,0
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",0,"*",0,0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",26,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",73,9,0,"*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",21,13,0,"*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*",55,0,0
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,"*",0,0
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",376,61,0,0
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","*",0,0,0
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",201,14,35,"*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",258,18,"*",0
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",13,6,"*",0
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",197,80,"*",0
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",37,0,11,0
"Cheshire School District","=""0250011""","Highland School","=""0250411""",7,0,"*",0
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",27,8,0,0
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*",0,0,0
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",0,"*","*",0
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*",0,0,0
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",26,17,"*",0
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","*",0,"*",0
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",224,41,0,0
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",249,48,11,"*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*","*",18,0
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",24,0,9,0
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",55,8,"*",0
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",0,0,"*",0
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",16,"*",0,0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",18,7,0,0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",388,156,0,7
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",44,97,0,0
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",218,79,0,"*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",441,102,0,10
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",245,122,0,7
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",235,25,0,"*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",291,24,0,8
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",168,14,0,0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",306,37,0,"*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",235,41,0,"*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",109,21,0,"*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",274,101,0,6
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",586,42,0,"*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",349,115,0,"*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",102,77,0,"*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",265,20,0,0
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",0,"*",0,0
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,"*",0,0
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",22,25,"*",0
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",28,100,0,0
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",0,0,11,0
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",74,33,"*","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",0,"*",0,0
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",437,140,8,6
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",22,"*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",400,61,0,"*"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",93,36,"*","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","*",6,0,0
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","*",7,0,0
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,123,0,0
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",23,26,0,6
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1459,311,43,"*"
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","*","*",0,0
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","*","*",0,0
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",11,"*",0,0
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","*","*",0,0
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",0,10,0,0
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","*","*",0,0
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",11,6,0,0
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",7,18,0,0
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",0,"*",0,0
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",501,144,"*","*"
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",22,"*",0,0
"Danbury School District","=""0340011""","South Street School","=""0341011""","*","*",0,0
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",25,"*","*",0
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*",0,0,0
"Darien School District","=""0350011""","Darien High School","=""0356111""",25,28,0,0
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",7,0,0
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",13,8,"*",0
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*",0,0
"Derby School District","=""0370011""","Bradley School","=""0370611""",0,7,"*",0
"Derby School District","=""0370011""","Derby High School","=""0376111""",345,112,0,"*"
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","*",47,0,"*"
"Derby School District","=""0370011""","Irving School","=""0370411""",9,23,0,0
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",32,"*",0,0
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",22,10,0,0
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",0,"*",0,0
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*",0,0,0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",0,29,0,0
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",28,16,0,0
"East Hampton School District","=""0420011""","Center School","=""0420311""","*",0,0,0
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",105,71,0,0
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",30,"*",0,0
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",33,9,0,0
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",22,"*",0,"*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",13,"*",0,0
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",56,22,"*",0
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",7,8,0,0
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1895,1325,0,34
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",929,482,0,"*"
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",39,13,"*",0
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",6,18,0,0
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",9,7,0,0
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",127,32,0,0
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",16,10,0,0
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",63,99,"*","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",175,99,0,"*"
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""","*",0,0,0
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","*",0,0,0
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*","*",0,"*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","*","*",0,0
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",9,0,0,0
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","*",6,0,0
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",515,149,0,0
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",0,9,0,0
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",155,174,0,0
