"Sanction Counts, 2013-14"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Bus Suspension","Expulsion"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",301,825,28,0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",1287,549,41,"*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,"*",0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*",74,0,8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",249,133,0,"*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,12,0,"*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,10,0,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,55,0,0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",210,59,"*",0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,18,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,131,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,"*",0,0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",10,60,24,0
"Ashford School District","=""0030011""","Ashford School","=""0030111""",13,"*","*",0
"Avon School District","=""0040011""","Avon High School","=""0046111""",28,20,0,"*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",30,8,0,0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*","*",0,0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,"*",0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*",0,0,0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",6,"*","*",0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",120,30,0,0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",64,11,0,0
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","*",0,0,0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",6,0,0,0
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",7,"*",0,0
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*",0,0
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","*",0,0,0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",286,15,0,"*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",83,"*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","*",0,0,0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",159,64,0,14
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",70,15,7,0
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",54,114,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",61,42,0,"*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",21,"*",0,0
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",9,"*",0,0
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",7,"*",0,0
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",33,8,0,0
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*","*",0
"Branford School District","=""0140011""","Branford High School","=""0146111""",276,116,0,"*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",56,9,0,0
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",0,"*",0,0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",1148,367,44,"*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",29,28,"*",0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",134,104,"*",0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",640,418,0,"*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",70,17,0,0
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",8,15,"*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","*",0,0,0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",126,65,0,"*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,13,0,0
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","*","*",0,0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",34,49,0,0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",809,1088,"*",20
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",100,74,0,"*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",0,33,0,0
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",128,267,"*",0
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",230,236,0,0
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",30,157,0,0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",67,181,0,0
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",17,116,0,0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",70,113,0,"*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","*",7,0,0
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","*",42,"*",0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",492,500,"*",7
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",17,6,"*",0
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",87,125,"*",0
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",13,68,10,"*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","*",11,0,0
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",207,389,"*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",141,64,0,"*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",21,25,0,0
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","*",0,"*",0
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",6,"*",0,0
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",0,95,0,"*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""",399,175,18,0
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",196,196,0,"*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",104,84,"*",0
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",23,15,0,0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",285,98,0,8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",529,76,"*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",192,75,0,"*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",21,11,"*",0
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","*",18,16,"*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",55,47,12,0
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",20,"*",7,0
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",23,39,0,0
