"Sanction Counts, 2010-11"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",120,629,0,0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",153,149,"*",0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*","*",0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",450,104,"*",0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",61,29,"*",0
"Ansonia School District","=""0020011""","Mead School","=""0020311""",33,16,0,0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","*",19,0,0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,101,0,0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",284,100,0,22
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,25,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,81,0,"*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",35,34,"*",11
"Ashford School District","=""0030011""","Ashford School","=""0030111""",15,"*",0,21
"Avon School District","=""0040011""","Avon High School","=""0046111""",12,"*",0,0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",36,8,0,"*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",0,0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",16,"*",0,0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,"*",0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",444,74,"*",0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",131,10,0,0
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",7,"*",0,0
