"Sanction Counts, 2012-13"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",1280,1678,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",1507,205,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,"*",0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",128,138,6,0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",264,82,0,0
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,8,"*",0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,12,"*",0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,61,0,0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",279,25,0,10
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,35,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,110,0,0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",21,38,0,"*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",30,6,0,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",59,11,0,0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",25,10,0,"*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*",0,0,0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",0,0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*","*",0,0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*",0,0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",183,37,"*",0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",59,13,0,"*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","*","*",0,0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",8,0,0,"*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*",0,0
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,"*",0,0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",395,33,9,"*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",95,6,"*",11
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","*",0,0,0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",146,43,"*",0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",46,30,0,"*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",56,93,"*",6
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",49,21,"*",0
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",37,22,0,0
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",18,19,0,0
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",9,"*",0,0
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",6,20,"*",0
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",6,"*",0,"*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",224,62,0,"*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","*",0,0,0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",58,21,0,0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",156,205,"*",0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",166,85,0,"*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",841,408,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",44,18,0,0
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","*","*",0,0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",84,54,"*",0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,12,0,0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",0,7,0,0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",719,837,17,"*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",122,92,"*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",0,8,0,0
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",156,296,"*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",343,322,0,"*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",177,157,0,"*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",284,181,"*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",12,46,0,0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",54,60,0,0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","*",13,0,0
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",0,39,"*",0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1002,639,14,8
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",14,"*",0,0
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",47,94,0,"*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",13,7,0,0
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",319,147,"*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",178,80,"*",0
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",14,8,0,0
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","*",0,0,0
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",25,150,"*",0
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","*",0,0,0
"Bridgeport School District","=""0150011""","Read School","=""0152511""",395,184,"*",24
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",203,169,"*",0
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",61,48,0,"*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",45,17,0,0
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",0,0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",223,107,"*",0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",706,86,11,9
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",136,48,"*",7
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",14,18,0,"*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",7,25,0,"*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",44,59,0,10
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",8,"*",0,0
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",18,34,0,0
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",31,29,0,0
"Bristol School District","=""0170011""","South Side School","=""0171111""","*",23,0,"*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""",6,13,0,0
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",13,98,0,"*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",41,15,0,0
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",0,0,0,"*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",60,"*",0,0
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",0,0,0,15
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",80,"*",0,14
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*",0,0,0
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*",0,0
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",21,"*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",25,"*",0,0
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",10,0,0,0
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",6,"*",0,0
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","*","*",0,0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",147,27,0,"*"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","*",0,0,0
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",298,7,0,"*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",15,"*",0,0
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",6,24,0,0
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,6,0,0
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",76,"*",0,0
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",26,20,0,0
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","*",0,0,0
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",202,14,0,"*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",13,"*",0,0
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",850,16,0,0
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",0,"*",0,0
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","*",0,0,0
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*",0,0,"*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",106,68,"*",0
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",30,9,0,10
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*","*",0,0
"Cheshire School District","=""0250011""","Highland School","=""0250411""","*",0,0,0
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","*",9,0,0
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*",0,0,0
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",0,"*",0,"*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*","*",0,0
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",15,"*",0,0
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",7,15,0,0
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",202,49,"*",0
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",211,46,"*","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*","*",0,0
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",14,"*",0,0
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",51,16,0,9
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*","*",0,0
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*",0,0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","*","*","*",0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",122,51,10,0
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",117,141,14,0
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",169,54,"*",0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",198,78,"*",0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",180,46,"*",0
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",144,18,15,0
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",277,43,8,"*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",91,40,0,0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",201,34,"*",0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",422,67,6,0
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",172,33,"*",0
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",120,44,"*",0
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",135,18,0,0
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",251,119,"*",0
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",56,17,"*",0
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",159,21,"*","*"
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,0,0,"*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",12,"*",0,0
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,87,0,0
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",18,"*","*",0
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","*",0,0,0
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",75,24,"*",0
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",19,0,0,7
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",199,46,"*","*"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",118,26,0,0
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","*","*",0,0
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",6,0,0,0
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,52,0,0
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",36,52,0,"*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1827,274,0,"*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",0,"*",0,0
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",0,"*",0,0
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",9,"*",0,0
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,9,0,0
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",408,152,0,"*"
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",0,"*",0,0
"Danbury School District","=""0340011""","South Street School","=""0341011""",0,"*",0,0
"Darien School District","=""0350011""","Darien High School","=""0356111""",35,"*",0,0
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*",0,0,0
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",0,0,0
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","*","*",0,0
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*",0,0,0
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""","*","*",0,"*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",196,68,9,0
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",71,63,"*","*"
"Derby School District","=""0370011""","Irving School","=""0370411""",0,30,0,"*"
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*",0,0,0
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",26,8,0,0
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*",0,0
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","*","*",0,0
"East Hampton School District","=""0420011""","Center School","=""0420311""",6,0,0,0
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",43,7,0,0
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",29,"*",0,0
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","*",0,0,0
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,7,0,0
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",25,30,0,"*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",10,"*",0,0
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",35,14,0,"*"
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",49,38,"*",6
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",25,20,0,6
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",924,633,12,0
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",793,365,9,17
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",14,"*",0,"*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",35,24,0,0
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",30,25,0,0
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",154,42,0,"*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","*",13,0,0
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",83,103,"*","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",104,30,0,"*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",20,"*",0,0
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","*",0,0,0
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",371,102,"*","*"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",126,62,"*","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""",0,"*",0,0
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",34,14,0,0
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",82,12,0,9
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","*",0,0,0
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",7,"*",0,"*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",149,71,"*",0
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",87,17,0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*","*",0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",13,6,0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",13,34,0,"*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","*","*",0,0
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*","*",0,0
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*",0,0,0
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","*",10,0,0
"Ellington School District","=""0480011""","Center School","=""0480111""",8,"*",0,"*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*","*",0,0
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",162,43,"*",0
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",14,8,0,"*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",22,0,0,"*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""",23,"*",0,0
