"Six-Year Graduation Rates, 2012-13"
"All Districts, Special Education Status"

"",,,"Graduates",
"District","Special Education Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Non-Special Education","*","*","*"
"Amistad Academy District","Special Education","*","*","*"
"Ansonia School District","Non-Special Education",187,155,82.9
"Ansonia School District","Special Education",24,21,87.5
"Avon School District","Non-Special Education",230,228,99.1
"Avon School District","Special Education",33,30,90.9
"Berlin School District","Non-Special Education",239,232,97.1
"Berlin School District","Special Education",24,21,87.5
"Bethel School District","Non-Special Education",212,209,98.6
"Bethel School District","Special Education",21,16,76.2
"Bloomfield School District","Non-Special Education",142,135,95.1
"Bloomfield School District","Special Education",17,16,94.1
"Bolton School District","Non-Special Education",70,69,98.6
"Bolton School District","Special Education",13,10,76.9
"Branford School District","Non-Special Education",238,226,95.0
"Branford School District","Special Education",33,29,87.9
"Bridgeport School District","Non-Special Education",1041,790,75.9
"Bridgeport School District","Special Education",170,101,59.4
"Bristol School District","Non-Special Education",531,468,88.1
"Bristol School District","Special Education",99,72,72.7
"Brookfield School District","Non-Special Education",225,221,98.2
"Brookfield School District","Special Education",15,13,86.7
"Canton School District","Non-Special Education",106,106,100.0
"Canton School District","Special Education",18,17,94.4
"Capitol Region Education Council","Non-Special Education",219,196,89.5
"Capitol Region Education Council","Special Education",44,23,52.3
"Cheshire School District","Non-Special Education",326,320,98.2
"Cheshire School District","Special Education",58,52,89.7
"Clinton School District","Non-Special Education",121,114,94.2
"Clinton School District","Special Education",22,19,86.4
"Colchester School District","Non-Special Education",225,218,96.9
"Colchester School District","Special Education",28,26,92.9
"Common Ground High School District","Non-Special Education","*","*","*"
"Common Ground High School District","Special Education","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2264,2195,97.0
"Connecticut Technical High School System","Special Education",209,205,98.1
"Coventry School District","Non-Special Education",119,111,93.3
"Coventry School District","Special Education",19,15,78.9
"Cromwell School District","Non-Special Education",125,120,96.0
"Cromwell School District","Special Education",15,14,93.3
"Danbury School District","Non-Special Education",694,605,87.2
"Danbury School District","Special Education",80,57,71.3
"Darien School District","Non-Special Education",277,274,98.9
"Darien School District","Special Education",39,34,87.2
"Department of Mental Health and Addiction Services","Special Education","*","*","*"
"Derby School District","Non-Special Education",77,"*","*"
"Derby School District","Special Education",7,"*","*"
"East Granby School District","Non-Special Education",62,61,98.4
"East Granby School District","Special Education",8,8,100.0
"East Haddam School District","Non-Special Education",85,83,97.6
"East Haddam School District","Special Education",13,13,100.0
"East Hampton School District","Non-Special Education",120,119,99.2
"East Hampton School District","Special Education",12,10,83.3
"East Hartford School District","Non-Special Education",463,403,87.0
"East Hartford School District","Special Education",81,58,71.6
"East Haven School District","Non-Special Education",216,172,79.6
"East Haven School District","Special Education",30,15,50.0
"East Lyme School District","Non-Special Education",262,259,98.9
"East Lyme School District","Special Education",48,41,85.4
"East Windsor School District","Non-Special Education",75,68,90.7
"East Windsor School District","Special Education",17,14,82.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education",59,52,88.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",14,10,71.4
"Ellington School District","Non-Special Education",179,170,95.0
"Ellington School District","Special Education",19,17,89.5
"Elm City College Preparatory School District","Non-Special Education",13,10,76.9
"Enfield School District","Non-Special Education",378,351,92.9
"Enfield School District","Special Education",65,52,80.0
"Explorations District","Non-Special Education",23,"*","*"
"Explorations District","Special Education",7,"*","*"
"Fairfield School District","Non-Special Education",627,609,97.1
"Fairfield School District","Special Education",78,61,78.2
"Farmington School District","Non-Special Education",290,288,99.3
"Farmington School District","Special Education",35,28,80.0
"Glastonbury School District","Non-Special Education",487,484,99.4
"Glastonbury School District","Special Education",64,55,85.9
"Granby School District","Non-Special Education",185,183,98.9
"Granby School District","Special Education",10,9,90.0
"Greenwich School District","Non-Special Education",593,582,98.1
"Greenwich School District","Special Education",96,88,91.7
"Griswold School District","Non-Special Education",150,138,92.0
"Griswold School District","Special Education",19,14,73.7
"Groton School District","Non-Special Education",281,246,87.5
"Groton School District","Special Education",48,32,66.7
"Guilford School District","Non-Special Education",242,234,96.7
"Guilford School District","Special Education",37,31,83.8
"Hamden School District","Non-Special Education",385,350,90.9
"Hamden School District","Special Education",63,55,87.3
"Hartford School District","Non-Special Education",1189,960,80.7
"Hartford School District","Special Education",251,156,62.2
"Killingly School District","Non-Special Education",192,158,82.3
"Killingly School District","Special Education",31,20,64.5
"Learn","Non-Special Education",35,32,91.4
"Learn","Special Education",7,7,100.0
"Lebanon School District","Non-Special Education",108,102,94.4
"Lebanon School District","Special Education",10,9,90.0
"Ledyard School District","Non-Special Education",201,188,93.5
"Ledyard School District","Special Education",28,23,82.1
"Lisbon School District","Non-Special Education","*","*","*"
"Lisbon School District","Special Education","*","*","*"
"Litchfield School District","Non-Special Education",79,78,98.7
"Litchfield School District","Special Education",10,9,90.0
"Madison School District","Non-Special Education",277,277,100.0
"Madison School District","Special Education",38,38,100.0
"Manchester School District","Non-Special Education",400,342,85.5
"Manchester School District","Special Education",70,48,68.6
"Meriden School District","Non-Special Education",528,416,78.8
"Meriden School District","Special Education",97,55,56.7
"Middletown School District","Non-Special Education",313,275,87.9
"Middletown School District","Special Education",61,47,77.0
"Milford School District","Non-Special Education",426,398,93.4
"Milford School District","Special Education",98,75,76.5
"Monroe School District","Non-Special Education",277,273,98.6
"Monroe School District","Special Education",33,33,100.0
"Montville School District","Non-Special Education",159,147,92.5
"Montville School District","Special Education",28,22,78.6
"Naugatuck School District","Non-Special Education",280,239,85.4
"Naugatuck School District","Special Education",52,35,67.3
"New Britain School District","Non-Special Education",536,384,71.6
"New Britain School District","Special Education",109,57,52.3
"New Canaan School District","Non-Special Education",295,292,99.0
"New Canaan School District","Special Education",44,42,95.5
"New Fairfield School District","Non-Special Education",233,227,97.4
"New Fairfield School District","Special Education",25,23,92.0
