"Six-Year Graduation Rates, 2012-13"
"All Districts, High Needs Status"

"",,,,"Graduates",
"District","District Code","High Needs Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","High Needs","*","*","*"
"Amistad Academy District","=""2790013""","Non-High Needs","*","*","*"
"Ansonia School District","=""0020011""","High Needs",157,125,79.6
"Ansonia School District","=""0020011""","Non-High Needs",54,51,94.4
"Avon School District","=""0040011""","High Needs",47,"*","*"
"Avon School District","=""0040011""","Non-High Needs",216,"*","*"
"Berlin School District","=""0070011""","High Needs",52,"*","*"
"Berlin School District","=""0070011""","Non-High Needs",211,"*","*"
"Bethel School District","=""0090011""","High Needs",60,52,86.7
"Bethel School District","=""0090011""","Non-High Needs",173,173,100.0
"Bloomfield School District","=""0110011""","High Needs",93,"*","*"
"Bloomfield School District","=""0110011""","Non-High Needs",66,"*","*"
"Bolton School District","=""0120011""","High Needs",22,"*","*"
"Bolton School District","=""0120011""","Non-High Needs",61,"*","*"
"Branford School District","=""0140011""","High Needs",83,76,91.6
"Branford School District","=""0140011""","Non-High Needs",188,179,95.2
"Bridgeport School District","=""0150011""","High Needs",1202,"*","*"
"Bridgeport School District","=""0150011""","Non-High Needs",9,"*","*"
"Bristol School District","=""0170011""","High Needs",302,228,75.5
"Bristol School District","=""0170011""","Non-High Needs",328,312,95.1
"Brookfield School District","=""0180011""","High Needs",41,"*","*"
"Brookfield School District","=""0180011""","Non-High Needs",199,"*","*"
"Canton School District","=""0230011""","High Needs",32,"*","*"
"Canton School District","=""0230011""","Non-High Needs",92,"*","*"
"Capitol Region Education Council","=""2410014""","High Needs",160,125,78.1
"Capitol Region Education Council","=""2410014""","Non-High Needs",103,94,91.3
"Cheshire School District","=""0250011""","High Needs",88,"*","*"
"Cheshire School District","=""0250011""","Non-High Needs",296,"*","*"
"Clinton School District","=""0270011""","High Needs",52,46,88.5
"Clinton School District","=""0270011""","Non-High Needs",91,87,95.6
"Colchester School District","=""0280011""","High Needs",55,50,90.9
"Colchester School District","=""0280011""","Non-High Needs",198,194,98.0
"Common Ground High School District","=""2680013""","High Needs",30,"*","*"
"Common Ground High School District","=""2680013""","Non-High Needs",8,"*","*"
"Connecticut Technical High School System","=""9000016""","High Needs",1441,1385,96.1
