"Six-Year Graduation Rates, 2010-11"
"All Districts, Race/Ethnicity"

"",,,,"Graduates",
"District","District Code","Race/Ethnicity","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Black",14,"*","*"
"Amistad Academy District","=""2790013""","Hispanic",12,"*","*"
"Ansonia School District","=""0020011""","Black",50,40,80.0
"Ansonia School District","=""0020011""","Hispanic",40,29,72.5
"Ansonia School District","=""0020011""","Asian","*","*","*"
"Ansonia School District","=""0020011""","Indian or Alaska Native","*","*","*"
"Ansonia School District","=""0020011""","White",91,73,80.2
"Avon School District","=""0040011""","Black","*","*","*"
"Avon School District","=""0040011""","Hispanic",14,14,"*"
"Avon School District","=""0040011""","Asian",19,"*","*"
"Avon School District","=""0040011""","Indian or Alaska Native","*","*","*"
"Avon School District","=""0040011""","White",213,"*","*"
"Berlin School District","=""0070011""","Black","*","*","*"
"Berlin School District","=""0070011""","Hispanic",6,"*","*"
"Berlin School District","=""0070011""","Asian",9,9,"*"
"Berlin School District","=""0070011""","Indian or Alaska Native","*","*","*"
"Berlin School District","=""0070011""","White",245,233,95.1
"Bethel School District","=""0090011""","Black",6,"*","*"
"Bethel School District","=""0090011""","Hispanic",21,"*","*"
"Bethel School District","=""0090011""","Asian",17,17,"*"
"Bethel School District","=""0090011""","White",206,198,96.1
"Bloomfield School District","=""0110011""","Black",166,143,86.1
"Bloomfield School District","=""0110011""","Hispanic",7,"*","*"
"Bloomfield School District","=""0110011""","Asian","*","*","*"
"Bloomfield School District","=""0110011""","White","*","*","*"
"Bolton School District","=""0120011""","Black","*","*","*"
"Bolton School District","=""0120011""","Hispanic","*","*","*"
"Bolton School District","=""0120011""","Indian or Alaska Native","*","*","*"
"Bolton School District","=""0120011""","White",67,"*","*"
"Branford School District","=""0140011""","Black",10,"*","*"
"Branford School District","=""0140011""","Hispanic","*","*","*"
"Branford School District","=""0140011""","Asian",19,"*","*"
"Branford School District","=""0140011""","Indian or Alaska Native","*","*","*"
"Branford School District","=""0140011""","White",245,234,95.5
"Bridgeport School District","=""0150011""","Black",651,480,73.7
"Bridgeport School District","=""0150011""","Hispanic",603,342,56.7
"Bridgeport School District","=""0150011""","Asian","*","*","*"
"Bridgeport School District","=""0150011""","Indian or Alaska Native","*","*","*"
"Bridgeport School District","=""0150011""","White",114,82,71.9
"Bristol School District","=""0170011""","Black",47,34,72.3
"Bristol School District","=""0170011""","Hispanic",80,67,83.8
"Bristol School District","=""0170011""","Asian","*","*","*"
"Bristol School District","=""0170011""","Indian or Alaska Native","*","*","*"
"Bristol School District","=""0170011""","White",564,477,84.6
"Brookfield School District","=""0180011""","Black","*","*","*"
"Brookfield School District","=""0180011""","Hispanic",8,8,"*"
"Brookfield School District","=""0180011""","Asian","*","*","*"
"Brookfield School District","=""0180011""","White",250,240,96.0
"Canton School District","=""0230011""","Black","*","*","*"
"Canton School District","=""0230011""","Hispanic","*","*","*"
"Canton School District","=""0230011""","Asian","*","*","*"
"Canton School District","=""0230011""","White",111,106,95.5
"Capitol Region Education Council","=""2410014""","Black",133,119,89.5
"Capitol Region Education Council","=""2410014""","Hispanic",59,"*","*"
"Capitol Region Education Council","=""2410014""","Asian",13,"*","*"
"Capitol Region Education Council","=""2410014""","White",99,90,90.9
"Cheshire School District","=""0250011""","Black",14,"*","*"
"Cheshire School District","=""0250011""","Hispanic",14,"*","*"
"Cheshire School District","=""0250011""","Asian",24,24,100.0
"Cheshire School District","=""0250011""","White",323,315,97.5
"Clinton School District","=""0270011""","Black","*","*","*"
"Clinton School District","=""0270011""","Hispanic",12,12,"*"
"Clinton School District","=""0270011""","Asian","*","*","*"
"Clinton School District","=""0270011""","White",126,119,94.4
"Colchester School District","=""0280011""","Black",7,"*","*"
"Colchester School District","=""0280011""","Hispanic",7,7,"*"
"Colchester School District","=""0280011""","Asian","*","*","*"
"Colchester School District","=""0280011""","Indian or Alaska Native","*","*","*"
"Colchester School District","=""0280011""","White",230,222,96.5
"Common Ground High School District","=""2680013""","Black",19,"*","*"
"Common Ground High School District","=""2680013""","Hispanic",12,9,"*"
"Common Ground High School District","=""2680013""","White",7,"*","*"
"Connecticut Technical High School System","=""9000016""","Black",301,288,95.7
"Connecticut Technical High School System","=""9000016""","Hispanic",615,568,92.4
"Connecticut Technical High School System","=""9000016""","Asian",17,"*","*"
"Connecticut Technical High School System","=""9000016""","Indian or Alaska Native",15,"*","*"
"Connecticut Technical High School System","=""9000016""","White",1382,1311,94.9
"Coventry School District","=""0320011""","Black","*","*","*"
"Coventry School District","=""0320011""","Hispanic","*","*","*"
"Coventry School District","=""0320011""","Asian","*","*","*"
"Coventry School District","=""0320011""","White",145,133,91.7
"Cromwell School District","=""0330011""","Black",13,"*","*"
"Cromwell School District","=""0330011""","Hispanic","*","*","*"
"Cromwell School District","=""0330011""","Asian","*","*","*"
"Cromwell School District","=""0330011""","White",149,141,94.6
"Danbury School District","=""0340011""","Black",83,70,84.3
"Danbury School District","=""0340011""","Hispanic",227,176,77.5
"Danbury School District","=""0340011""","Asian","*","*","*"
"Danbury School District","=""0340011""","Indian or Alaska Native","*","*","*"
"Danbury School District","=""0340011""","White",384,332,86.5
"Darien School District","=""0350011""","Black","*","*","*"
"Darien School District","=""0350011""","Hispanic",13,"*","*"
"Darien School District","=""0350011""","Asian",6,6,"*"
"Darien School District","=""0350011""","Indian or Alaska Native","*","*","*"
"Darien School District","=""0350011""","White",304,295,97.0
"Derby School District","=""0370011""","Black",21,15,71.4
"Derby School District","=""0370011""","Hispanic","*","*","*"
"Derby School District","=""0370011""","Asian","*","*","*"
"Derby School District","=""0370011""","White",79,65,82.3
"East Granby School District","=""0400011""","Black","*","*","*"
"East Granby School District","=""0400011""","Hispanic","*","*","*"
"East Granby School District","=""0400011""","Asian","*","*","*"
"East Granby School District","=""0400011""","White",71,"*","*"
"East Haddam School District","=""0410011""","Black","*","*","*"
"East Haddam School District","=""0410011""","Hispanic","*","*","*"
"East Haddam School District","=""0410011""","Asian","*","*","*"
"East Haddam School District","=""0410011""","White",92,86,93.5
"East Hampton School District","=""0420011""","Hispanic","*","*","*"
"East Hampton School District","=""0420011""","Asian","*","*","*"
"East Hampton School District","=""0420011""","White",133,121,91.0
"East Hartford School District","=""0430011""","Black",214,186,86.9
"East Hartford School District","=""0430011""","Hispanic",187,152,81.3
"East Hartford School District","=""0430011""","Asian","*","*","*"
"East Hartford School District","=""0430011""","Indian or Alaska Native","*","*","*"
"East Hartford School District","=""0430011""","White",162,143,88.3
"East Haven School District","=""0440011""","Black",10,"*","*"
"East Haven School District","=""0440011""","Hispanic",33,"*","*"
"East Haven School District","=""0440011""","Asian",15,"*","*"
"East Haven School District","=""0440011""","White",243,210,86.4
"East Lyme School District","=""0450011""","Black","*","*","*"
"East Lyme School District","=""0450011""","Hispanic",9,9,"*"
"East Lyme School District","=""0450011""","Asian",22,"*","*"
"East Lyme School District","=""0450011""","Indian or Alaska Native","*","*","*"
"East Lyme School District","=""0450011""","White",288,"*","*"
"East Windsor School District","=""0470011""","Black",16,"*","*"
"East Windsor School District","=""0470011""","Hispanic","*","*","*"
"East Windsor School District","=""0470011""","Asian","*","*","*"
"East Windsor School District","=""0470011""","White",69,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Black","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Hispanic",10,10,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Indian or Alaska Native","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","White",47,35,74.5
"Ellington School District","=""0480011""","Black","*","*","*"
"Ellington School District","=""0480011""","Hispanic","*","*","*"
"Ellington School District","=""0480011""","Asian","*","*","*"
"Ellington School District","=""0480011""","Indian or Alaska Native","*","*","*"
"Ellington School District","=""0480011""","White",170,163,95.9
"Enfield School District","=""0490011""","Black",28,22,78.6
"Enfield School District","=""0490011""","Hispanic",23,16,69.6
"Enfield School District","=""0490011""","Asian","*","*","*"
"Enfield School District","=""0490011""","Indian or Alaska Native","*","*","*"
"Enfield School District","=""0490011""","White",451,400,88.7
"Explorations District","=""2720013""","Hispanic","*","*","*"
"Explorations District","=""2720013""","Asian","*","*","*"
"Explorations District","=""2720013""","White",28,20,71.4
"Fairfield School District","=""0510011""","Black",32,32,100.0
"Fairfield School District","=""0510011""","Hispanic",38,31,81.6
"Fairfield School District","=""0510011""","Asian",34,34,100.0
"Fairfield School District","=""0510011""","White",549,536,97.6
"Farmington School District","=""0520011""","Black",22,"*","*"
"Farmington School District","=""0520011""","Hispanic",8,"*","*"
"Farmington School District","=""0520011""","Asian",21,21,100.0
"Farmington School District","=""0520011""","White",284,278,97.9
"Glastonbury School District","=""0540011""","Black",23,21,91.3
"Glastonbury School District","=""0540011""","Hispanic","*","*","*"
"Glastonbury School District","=""0540011""","Asian",48,"*","*"
"Glastonbury School District","=""0540011""","Indian or Alaska Native","*","*","*"
"Glastonbury School District","=""0540011""","White",463,453,97.8
"Granby School District","=""0560011""","Black","*","*","*"
"Granby School District","=""0560011""","Hispanic","*","*","*"
"Granby School District","=""0560011""","Asian","*","*","*"
"Granby School District","=""0560011""","Indian or Alaska Native","*","*","*"
"Granby School District","=""0560011""","White",183,"*","*"
"Greenwich School District","=""0570011""","Black","*","*","*"
"Greenwich School District","=""0570011""","Hispanic",94,90,95.7
"Greenwich School District","=""0570011""","Asian",44,"*","*"
"Greenwich School District","=""0570011""","Indian or Alaska Native","*","*","*"
