"Six-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,"Non-Graduates",,,
"District","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",23,"*","*","*","*"
"Ansonia School District",211,7,3.3,28,13.3
"Avon School District",263,"*","*","*","*"
"Berlin School District",263,"*","*","*","*"
"Bethel School District",233,"*","*","*","*"
"Bloomfield School District",159,"*","*","*","*"
"Bolton School District",83,"*","*","*","*"
"Branford School District",271,"*","*","*","*"
"Bridgeport School District",1211,11,0.9,309,25.5
"Bristol School District",630,13,2.1,77,12.2
"Brookfield School District",240,"*","*","*","*"
"Canton School District",124,"*","*","*","*"
"Capitol Region Education Council",263,6,2.3,38,14.4
"Cheshire School District",384,"*","*","*","*"
"Clinton School District",143,"*","*","*","*"
"Colchester School District",253,"*","*","*","*"
"Common Ground High School District",38,"*","*","*","*"
"Connecticut Technical High School System",2473,"*","*","*","*"
"Coventry School District",138,"*","*","*","*"
"Cromwell School District",140,"*","*","*","*"
"Danbury School District",774,6,0.8,106,13.7
"Darien School District",316,"*","*","*","*"
"Department of Mental Health and Addiction Services","*","*","*","*","*"
"Derby School District",84,"*","*","*","*"
"East Granby School District",70,"*","*","*","*"
"East Haddam School District",98,"*","*","*","*"
"East Hampton School District",132,"*","*","*","*"
"East Hartford School District",544,"*","*","*","*"
"East Haven School District",246,6,2.4,53,21.5
"East Lyme School District",310,"*","*","*","*"
"East Windsor School District",92,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",73,"*","*","*","*"
"Ellington School District",198,"*","*","*","*"
"Elm City College Preparatory School District",13,"*","*","*","*"
"Enfield School District",443,"*","*","*","*"
"Explorations District",30,"*","*","*","*"
"Fairfield School District",705,12,1.7,23,3.3
"Farmington School District",325,"*","*","*","*"
"Glastonbury School District",551,"*","*","*","*"
"Granby School District",195,"*","*","*","*"
"Greenwich School District",689,"*","*","*","*"
"Griswold School District",169,"*","*","*","*"
"Groton School District",329,6,1.8,45,13.7
"Guilford School District",279,"*","*","*","*"
"Hamden School District",448,10,2.2,33,7.4
"Hartford School District",1440,18,1.3,305,21.2
"Killingly School District",223,7,3.1,38,17.0
"Learn",42,"*","*","*","*"
"Lebanon School District",118,"*","*","*","*"
"Ledyard School District",229,"*","*","*","*"
"Lisbon School District",6,"*","*","*","*"
"Litchfield School District",89,"*","*","*","*"
"Madison School District",315,"*","*","*","*"
"Manchester School District",470,"*","*","*","*"
"Meriden School District",625,13,2.1,141,22.6
"Middletown School District",374,"*","*","*","*"
"Milford School District",524,22,4.2,29,5.5
"Monroe School District",310,"*","*","*","*"
"Montville School District",187,"*","*","*","*"
"Naugatuck School District",332,11,3.3,47,14.2
"New Britain School District",645,9,1.4,194,30.1
"New Canaan School District",339,"*","*","*","*"
"New Fairfield School District",258,"*","*","*","*"
"New Haven School District",1304,11,0.8,281,21.5
"New London School District",257,"*","*","*","*"
"New Milford School District",390,6,1.5,33,8.5
"Newington School District",375,"*","*","*","*"
"Newtown School District",470,"*","*","*","*"
"North Branford School District",170,"*","*","*","*"
"North Haven School District",311,6,1.9,20,6.4
"North Stonington School District",48,"*","*","*","*"
"Norwalk School District",779,"*","*","*","*"
"Norwich Free Academy District",586,21,3.6,62,10.6
"Old Saybrook School District",139,"*","*","*","*"
"Oxford School District",155,"*","*","*","*"
"Plainfield School District",198,"*","*","*","*"
"Plainville School District",207,7,3.4,13,6.3
"Plymouth School District",127,"*","*","*","*"
"Portland School District",93,"*","*","*","*"
"Putnam School District",97,"*","*","*","*"
"Regional School District 01",109,"*","*","*","*"
"Regional School District 04",162,"*","*","*","*"
"Regional School District 05",394,"*","*","*","*"
"Regional School District 06",96,"*","*","*","*"
"Regional School District 07",194,"*","*","*","*"
"Regional School District 08",285,"*","*","*","*"
"Regional School District 09",238,"*","*","*","*"
"Regional School District 10",198,"*","*","*","*"
"Regional School District 11",44,"*","*","*","*"
"Regional School District 12",88,"*","*","*","*"
"Regional School District 13",160,"*","*","*","*"
"Regional School District 14",200,"*","*","*","*"
"Regional School District 15",319,"*","*","*","*"
"Regional School District 16",186,"*","*","*","*"
"Regional School District 17",164,"*","*","*","*"
"Regional School District 18",112,"*","*","*","*"
"Regional School District 19",314,"*","*","*","*"
"Ridgefield School District",414,"*","*","*","*"
"Rocky Hill School District",176,"*","*","*","*"
"Seymour School District",180,"*","*","*","*"
"Shelton School District",395,"*","*","*","*"
"Simsbury School District",404,"*","*","*","*"
"Somers School District",147,"*","*","*","*"
"South Windsor School District",385,"*","*","*","*"
"Southington School District",488,"*","*","*","*"
"Stafford School District",129,"*","*","*","*"
"Stamford Academy District",37,"*","*","*","*"
"Stamford School District",1211,8,0.7,91,7.5
"Stonington School District",203,"*","*","*","*"
"Stratford School District",555,"*","*","*","*"
"Suffield School District",218,"*","*","*","*"
"The Bridge Academy District",36,"*","*","*","*"
"The Gilbert School District",87,"*","*","*","*"
"Thomaston School District",78,"*","*","*","*"
"Thompson School District",85,"*","*","*","*"
"Tolland School District",243,"*","*","*","*"
"Torrington School District",274,"*","*","*","*"
"Trumbull School District",547,"*","*","*","*"
"Unified School District #1",500,48,9.6,442,88.4
"Unified School District #2",40,"*","*",24,60.0
"Vernon School District",238,"*","*","*","*"
"Wallingford School District",534,"*","*","*","*"
"Waterbury School District",1290,6,0.5,383,29.7
"Waterford School District",242,"*","*","*","*"
"Watertown School District",271,"*","*","*","*"
"West Hartford School District",827,"*","*","*","*"
"West Haven School District",435,7,1.6,113,26.0
"Westbrook School District",78,"*","*","*","*"
"Weston School District",208,"*","*","*","*"
"Westport School District",465,"*","*","*","*"
"Wethersfield School District",267,"*","*","*","*"
"Wilton School District",324,"*","*","*","*"
"Windham School District",192,"*","*","*","*"
"Windsor Locks School District",139,"*","*","*","*"
"Windsor School District",346,"*","*","*","*"
"Wolcott School District",219,"*","*","*","*"
"Woodstock Academy District",281,"*","*","*","*"

