"Six-Year Graduation Rates, 2010-11"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Graduates",
"District","Free/Reduced Price Meal Eligibility","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Eligible For Free Lunch","*","*","*"
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","Not Eligible For Lunch",13,9,69.2
"Ansonia School District","Eligible For Free Lunch",90,59,65.6
"Ansonia School District","Eligible For Reduced Lunch",9,8,88.9
"Ansonia School District","Not Eligible For Lunch",88,79,89.8
"Avon School District","Eligible For Free Lunch","*","*","*"
"Avon School District","Eligible For Reduced Lunch","*","*","*"
"Avon School District","Not Eligible For Lunch",249,244,98.0
"Berlin School District","Eligible For Free Lunch",8,"*","*"
"Berlin School District","Eligible For Reduced Lunch",6,"*","*"
"Berlin School District","Not Eligible For Lunch",248,240,96.8
"Bethel School District","Eligible For Free Lunch",12,10,83.3
"Bethel School District","Eligible For Reduced Lunch",7,7,100.0
"Bethel School District","Not Eligible For Lunch",231,223,96.5
"Bloomfield School District","Eligible For Free Lunch",56,44,78.6
"Bloomfield School District","Eligible For Reduced Lunch",13,12,92.3
"Bloomfield School District","Not Eligible For Lunch",114,98,86.0
"Bolton School District","Eligible For Free Lunch",7,"*","*"
"Bolton School District","Not Eligible For Lunch",66,"*","*"
"Branford School District","Eligible For Free Lunch",26,22,84.6
"Branford School District","Eligible For Reduced Lunch",14,11,78.6
"Branford School District","Not Eligible For Lunch",244,237,97.1
"Bridgeport School District","Eligible For Free Lunch",1232,812,65.9
"Bridgeport School District","Eligible For Reduced Lunch",74,60,81.1
"Bridgeport School District","Not Eligible For Lunch",99,64,64.6
"Bristol School District","Eligible For Free Lunch",135,96,71.1
"Bristol School District","Eligible For Reduced Lunch",51,36,70.6
"Bristol School District","Not Eligible For Lunch",518,456,88.0
"Brookfield School District","Eligible For Free Lunch","*","*","*"
"Brookfield School District","Eligible For Reduced Lunch","*","*","*"
"Brookfield School District","Not Eligible For Lunch",258,249,96.5
"Canton School District","Eligible For Free Lunch","*","*","*"
"Canton School District","Not Eligible For Lunch","*","*","*"
"Capitol Region Education Council","Eligible For Free Lunch",112,93,83.0
"Capitol Region Education Council","Eligible For Reduced Lunch",12,11,91.7
"Capitol Region Education Council","Not Eligible For Lunch",180,161,89.4
"Cheshire School District","Eligible For Free Lunch",9,9,100.0
"Cheshire School District","Eligible For Reduced Lunch",9,9,100.0
"Cheshire School District","Not Eligible For Lunch",357,348,97.5
"Clinton School District","Eligible For Free Lunch",6,"*","*"
"Clinton School District","Eligible For Reduced Lunch",9,"*","*"
"Clinton School District","Not Eligible For Lunch",130,124,95.4
"Colchester School District","Eligible For Free Lunch","*","*","*"
"Colchester School District","Eligible For Reduced Lunch","*","*","*"
"Colchester School District","Not Eligible For Lunch",231,223,96.5
"Common Ground High School District","Eligible For Free Lunch",19,16,84.2
