"Six-Year Graduation Rates, 2011-12"
"All Districts, Gender"

"",,,"Non-Graduates",,,
"District","Gender","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female","*","*","*","*","*"
"Amistad Academy District","Male","*","*","*","*","*"
"Ansonia School District","Female",98,"*","*",12,12.2
"Ansonia School District","Male",102,"*","*",21,20.6
"Avon School District","Female",140,"*","*","*","*"
"Avon School District","Male",143,"*","*","*","*"
"Berlin School District","Female",143,"*","*","*","*"
"Berlin School District","Male",114,"*","*","*","*"
"Bethel School District","Female",127,"*","*","*","*"
"Bethel School District","Male",109,"*","*","*","*"
"Bloomfield School District","Female",102,"*","*","*","*"
"Bloomfield School District","Male",91,"*","*","*","*"
"Bolton School District","Female",37,"*","*","*","*"
"Bolton School District","Male",33,"*","*","*","*"
"Branford School District","Female",129,"*","*","*","*"
"Branford School District","Male",130,"*","*","*","*"
"Bridgeport School District","Female",631,"*","*",143,22.7
"Bridgeport School District","Male",635,"*","*",208,32.8
"Bristol School District","Female",318,"*","*",29,9.1
"Bristol School District","Male",311,"*","*",35,11.3
"Brookfield School District","Female",140,"*","*","*","*"
"Brookfield School District","Male",113,"*","*","*","*"
"Canton School District","Female",61,"*","*","*","*"
"Canton School District","Male",57,"*","*","*","*"
"Capitol Region Education Council","Female",170,"*","*",18,10.6
"Capitol Region Education Council","Male",161,"*","*",28,17.4
"Cheshire School District","Female",198,"*","*","*","*"
"Cheshire School District","Male",209,"*","*","*","*"
"Clinton School District","Female",60,"*","*","*","*"
"Clinton School District","Male",61,"*","*","*","*"
"Colchester School District","Female",138,"*","*","*","*"
"Colchester School District","Male",105,"*","*","*","*"
"Common Ground High School District","Female",12,"*","*","*","*"
"Common Ground High School District","Male",18,"*","*","*","*"
"Connecticut Technical High School System","Female",954,"*","*",38,4.0
"Connecticut Technical High School System","Male",1576,"*","*",47,3.0
"Coventry School District","Female",69,"*","*","*","*"
"Coventry School District","Male",81,"*","*","*","*"
"Cromwell School District","Female",74,"*","*","*","*"
"Cromwell School District","Male",77,"*","*","*","*"
"Danbury School District","Female",393,"*","*",46,11.7
"Danbury School District","Male",361,"*","*",58,16.1
"Darien School District","Female",162,"*","*","*","*"
"Darien School District","Male",149,"*","*","*","*"
"Derby School District","Female",52,"*","*",10,19.2
"Derby School District","Male",60,"*","*",10,16.7
"East Granby School District","Female",31,"*","*","*","*"
"East Granby School District","Male",29,"*","*","*","*"
"East Haddam School District","Female",58,"*","*","*","*"
"East Haddam School District","Male",45,"*","*","*","*"
"East Hampton School District","Female",76,"*","*","*","*"
"East Hampton School District","Male",88,"*","*","*","*"
"East Hartford School District","Female",290,"*","*",35,12.1
"East Hartford School District","Male",289,"*","*",47,16.3
"East Haven School District","Female",119,"*","*",20,16.8
"East Haven School District","Male",107,"*","*",31,29.0
"East Lyme School District","Female",160,"*","*",7,4.4
"East Lyme School District","Male",142,"*","*",6,4.2
"East Windsor School District","Female",46,"*","*","*","*"
"East Windsor School District","Male",42,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",47,"*","*",8,17.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",38,"*","*",7,18.4
"Ellington School District","Female",96,"*","*","*","*"
"Ellington School District","Male",104,"*","*","*","*"
"Elm City College Preparatory School District","Female",10,"*","*","*","*"
"Elm City College Preparatory School District","Male",9,"*","*","*","*"
"Enfield School District","Female",254,"*","*",17,6.7
"Enfield School District","Male",259,"*","*",38,14.7
"Explorations District","Female",19,"*","*","*","*"
"Explorations District","Male",9,"*","*","*","*"
"Fairfield School District","Female",385,"*","*",11,2.9
"Fairfield School District","Male",307,"*","*",11,3.6
"Farmington School District","Female",153,"*","*","*","*"
"Farmington School District","Male",152,"*","*","*","*"
"Glastonbury School District","Female",247,"*","*","*","*"
"Glastonbury School District","Male",266,"*","*","*","*"
"Granby School District","Female",97,"*","*","*","*"
"Granby School District","Male",91,"*","*","*","*"
"Greenwich School District","Female",314,"*","*",8,2.5
"Greenwich School District","Male",327,"*","*",16,4.9
"Griswold School District","Female",86,"*","*",8,9.3
"Griswold School District","Male",100,"*","*",13,13.0
"Groton School District","Female",170,"*","*",32,18.8
"Groton School District","Male",177,"*","*",22,12.4
"Guilford School District","Female",149,"*","*","*","*"
"Guilford School District","Male",138,"*","*","*","*"
"Hamden School District","Female",257,"*","*",22,8.6
"Hamden School District","Male",258,"*","*",24,9.3
"Hartford School District","Female",689,8,1.2,149,21.6
"Hartford School District","Male",701,7,1.0,181,25.8
"Killingly School District","Female",90,"*","*",11,12.2
"Killingly School District","Male",95,"*","*",16,16.8
"Lebanon School District","Female",67,"*","*","*","*"
"Lebanon School District","Male",62,"*","*","*","*"
"Ledyard School District","Female",114,"*","*","*","*"
"Ledyard School District","Male",96,"*","*","*","*"
"Lisbon School District","Female","*","*","*","*","*"
"Lisbon School District","Male","*","*","*","*","*"
"Litchfield School District","Female",51,"*","*","*","*"
"Litchfield School District","Male",52,"*","*","*","*"
"Madison School District","Female",174,"*","*","*","*"
"Madison School District","Male",162,"*","*","*","*"
"Manchester School District","Female",252,"*","*",40,15.9
"Manchester School District","Male",258,"*","*",56,21.7
"Meriden School District","Female",332,"*","*",78,23.5
"Meriden School District","Male",290,"*","*",68,23.4
"Middletown School District","Female",181,"*","*",27,14.9
"Middletown School District","Male",161,"*","*",20,12.4
"Milford School District","Female",253,"*","*",14,5.5
"Milford School District","Male",258,"*","*",21,8.1
"Monroe School District","Female",155,"*","*","*","*"
"Monroe School District","Male",183,"*","*","*","*"
"Montville School District","Female",107,"*","*",9,8.4
"Montville School District","Male",114,"*","*",17,14.9
"Naugatuck School District","Female",181,"*","*",15,8.3
