"Six-Year Graduation Rates, 2011-12"
"All Districts, High Needs Status"

"",,,"Non-Graduates",,,
"District","High Needs Status","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","High Needs","*","*","*","*","*"
"Amistad Academy District","Non-High Needs","*","*","*","*","*"
"Ansonia School District","High Needs",138,"*","*","*","*"
"Ansonia School District","Non-High Needs",62,"*","*","*","*"
"Avon School District","High Needs",44,"*","*","*","*"
"Avon School District","Non-High Needs",239,"*","*","*","*"
"Berlin School District","High Needs",62,"*","*","*","*"
"Berlin School District","Non-High Needs",195,"*","*","*","*"
"Bethel School District","High Needs",56,"*","*","*","*"
"Bethel School District","Non-High Needs",180,"*","*","*","*"
"Bloomfield School District","High Needs",120,"*","*","*","*"
"Bloomfield School District","Non-High Needs",73,"*","*","*","*"
"Bolton School District","High Needs",13,"*","*","*","*"
"Bolton School District","Non-High Needs",57,"*","*","*","*"
"Branford School District","High Needs",87,"*","*","*","*"
"Branford School District","Non-High Needs",172,"*","*","*","*"
"Bridgeport School District","High Needs","*","*","*","*","*"
"Bridgeport School District","Non-High Needs","*","*","*","*","*"
"Bristol School District","High Needs",289,"*","*",47,16.3
"Bristol School District","Non-High Needs",340,"*","*",17,5.0
"Brookfield School District","High Needs",31,"*","*","*","*"
"Brookfield School District","Non-High Needs",222,"*","*","*","*"
"Canton School District","High Needs",17,"*","*","*","*"
"Canton School District","Non-High Needs",101,"*","*","*","*"
"Capitol Region Education Council","High Needs",220,"*","*",33,15.0
"Capitol Region Education Council","Non-High Needs",111,"*","*",13,11.7
"Cheshire School District","High Needs",83,"*","*","*","*"
"Cheshire School District","Non-High Needs",324,"*","*","*","*"
"Clinton School District","High Needs",32,"*","*","*","*"
"Clinton School District","Non-High Needs",89,"*","*","*","*"
"Colchester School District","High Needs",64,"*","*","*","*"
"Colchester School District","Non-High Needs",179,"*","*","*","*"
"Common Ground High School District","High Needs",24,"*","*","*","*"
"Common Ground High School District","Non-High Needs",6,"*","*","*","*"
"Connecticut Technical High School System","High Needs",1546,"*","*",62,4.0
"Connecticut Technical High School System","Non-High Needs",984,"*","*",23,2.3
"Coventry School District","High Needs",47,"*","*","*","*"
"Coventry School District","Non-High Needs",103,"*","*","*","*"
"Cromwell School District","High Needs",48,"*","*","*","*"
"Cromwell School District","Non-High Needs",103,"*","*","*","*"
"Danbury School District","High Needs",403,"*","*",79,19.6
"Danbury School District","Non-High Needs",351,"*","*",25,7.1
"Darien School District","High Needs",52,"*","*","*","*"
"Darien School District","Non-High Needs",259,"*","*","*","*"
"Derby School District","High Needs",72,"*","*","*","*"
"Derby School District","Non-High Needs",40,"*","*","*","*"
"East Granby School District","High Needs",11,"*","*","*","*"
"East Granby School District","Non-High Needs",49,"*","*","*","*"
"East Haddam School District","High Needs",27,"*","*","*","*"
"East Haddam School District","Non-High Needs",76,"*","*","*","*"
"East Hampton School District","High Needs",30,"*","*","*","*"
"East Hampton School District","Non-High Needs",134,"*","*","*","*"
"East Hartford School District","High Needs",433,"*","*",72,16.6
"East Hartford School District","Non-High Needs",146,"*","*",10,6.8
"East Haven School District","High Needs",134,"*","*",39,29.1
"East Haven School District","Non-High Needs",92,"*","*",12,13.0
"East Lyme School District","High Needs",81,"*","*",6,7.4
"East Lyme School District","Non-High Needs",221,"*","*",7,3.2
"East Windsor School District","High Needs",37,"*","*","*","*"
"East Windsor School District","Non-High Needs",51,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","High Needs",45,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-High Needs",40,"*","*","*","*"
"Ellington School District","High Needs",37,"*","*","*","*"
"Ellington School District","Non-High Needs",163,"*","*","*","*"
"Elm City College Preparatory School District","High Needs","*","*","*","*","*"
"Elm City College Preparatory School District","Non-High Needs","*","*","*","*","*"
"Enfield School District","High Needs",193,"*","*",43,22.3
"Enfield School District","Non-High Needs",320,"*","*",12,3.8
"Explorations District","High Needs",19,"*","*","*","*"
"Explorations District","Non-High Needs",9,"*","*","*","*"
"Fairfield School District","High Needs",163,"*","*",14,8.6
"Fairfield School District","Non-High Needs",529,"*","*",8,1.5
"Farmington School District","High Needs",62,"*","*","*","*"
"Farmington School District","Non-High Needs",243,"*","*","*","*"
"Glastonbury School District","High Needs",99,"*","*","*","*"
"Glastonbury School District","Non-High Needs",414,"*","*","*","*"
"Granby School District","High Needs",29,"*","*","*","*"
"Granby School District","Non-High Needs",159,"*","*","*","*"
"Greenwich School District","High Needs",190,"*","*",10,5.3
"Greenwich School District","Non-High Needs",451,"*","*",14,3.1
"Griswold School District","High Needs",83,"*","*","*","*"
"Griswold School District","Non-High Needs",103,"*","*","*","*"
"Groton School District","High Needs",163,"*","*",36,22.1
"Groton School District","Non-High Needs",184,"*","*",18,9.8
"Guilford School District","High Needs",60,"*","*","*","*"
"Guilford School District","Non-High Needs",227,"*","*","*","*"
