"Six-Year Graduation Rates, 2011-12"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Non-Special Education",18,"*","*"
"Ansonia School District","=""0020011""","Non-Special Education",175,149,85.1
"Ansonia School District","=""0020011""","Special Education",25,18,72.0
"Avon School District","=""0040011""","Non-Special Education",248,"*","*"
"Avon School District","=""0040011""","Special Education",35,"*","*"
"Berlin School District","=""0070011""","Non-Special Education",219,"*","*"
"Berlin School District","=""0070011""","Special Education",38,"*","*"
"Bethel School District","=""0090011""","Non-Special Education",209,"*","*"
"Bethel School District","=""0090011""","Special Education",27,"*","*"
"Bloomfield School District","=""0110011""","Non-Special Education",166,152,91.6
"Bloomfield School District","=""0110011""","Special Education",27,23,85.2
"Bolton School District","=""0120011""","Non-Special Education",64,"*","*"
"Bolton School District","=""0120011""","Special Education",6,"*","*"
"Branford School District","=""0140011""","Non-Special Education",225,216,96.0
"Branford School District","=""0140011""","Special Education",34,30,88.2
"Bridgeport School District","=""0150011""","Non-Special Education",1084,804,74.2
"Bridgeport School District","=""0150011""","Special Education",182,100,54.9
"Bristol School District","=""0170011""","Non-Special Education",537,484,90.1
"Bristol School District","=""0170011""","Special Education",92,78,84.8
"Brookfield School District","=""0180011""","Non-Special Education",235,"*","*"
"Brookfield School District","=""0180011""","Special Education",18,"*","*"
"Canton School District","=""0230011""","Non-Special Education",106,"*","*"
"Canton School District","=""0230011""","Special Education",12,"*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",270,237,87.8
"Capitol Region Education Council","=""2410014""","Special Education",61,39,63.9
"Cheshire School District","=""0250011""","Non-Special Education",362,"*","*"
"Cheshire School District","=""0250011""","Special Education",45,"*","*"
"Clinton School District","=""0270011""","Non-Special Education",101,"*","*"
"Clinton School District","=""0270011""","Special Education",20,"*","*"
"Colchester School District","=""0280011""","Non-Special Education",216,"*","*"
"Colchester School District","=""0280011""","Special Education",27,"*","*"
"Common Ground High School District","=""2680013""","Non-Special Education","*","*","*"
"Common Ground High School District","=""2680013""","Special Education","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2310,"*","*"
"Connecticut Technical High School System","=""9000016""","Special Education",220,"*","*"
"Coventry School District","=""0320011""","Non-Special Education",124,116,93.5
"Coventry School District","=""0320011""","Special Education",26,22,84.6
"Cromwell School District","=""0330011""","Non-Special Education",130,"*","*"
"Cromwell School District","=""0330011""","Special Education",21,"*","*"
"Danbury School District","=""0340011""","Non-Special Education",672,586,87.2
"Danbury School District","=""0340011""","Special Education",82,61,74.4
"Darien School District","=""0350011""","Non-Special Education",268,"*","*"
"Darien School District","=""0350011""","Special Education",43,"*","*"
"Derby School District","=""0370011""","Non-Special Education",100,"*","*"
"Derby School District","=""0370011""","Special Education",12,"*","*"
"East Granby School District","=""0400011""","Non-Special Education",51,"*","*"
"East Granby School District","=""0400011""","Special Education",9,"*","*"
"East Haddam School District","=""0410011""","Non-Special Education",92,"*","*"
"East Haddam School District","=""0410011""","Special Education",11,"*","*"
"East Hampton School District","=""0420011""","Non-Special Education",154,"*","*"
"East Hampton School District","=""0420011""","Special Education",10,"*","*"
"East Hartford School District","=""0430011""","Non-Special Education",481,417,86.7
"East Hartford School District","=""0430011""","Special Education",98,73,74.5
"East Haven School District","=""0440011""","Non-Special Education",191,155,81.2
"East Haven School District","=""0440011""","Special Education",35,19,54.3
"East Lyme School District","=""0450011""","Non-Special Education",251,243,96.8
"East Lyme School District","=""0450011""","Special Education",51,42,82.4
