"Six-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""",26,0,0.0,8,30.8
"Ansonia School District","=""0020011""",187,"*","*","*","*"
"Avon School District","=""0040011""",255,0,0.0,"*","*"
"Berlin School District","=""0070011""",262,0,0.0,13,5.0
"Bethel School District","=""0090011""",250,"*","*","*","*"
"Bloomfield School District","=""0110011""",183,"*","*","*","*"
"Bolton School District","=""0120011""",73,0,0.0,"*","*"
"Branford School District","=""0140011""",284,"*","*","*","*"
"Bridgeport School District","=""0150011""",1405,24,1.7,445,31.7
"Bristol School District","=""0170011""",704,9,1.3,107,15.2
"Brookfield School District","=""0180011""",264,"*","*","*","*"
"Canton School District","=""0230011""",120,"*","*","*","*"
"Capitol Region Education Council","=""2410014""",304,"*","*","*","*"
"Cheshire School District","=""0250011""",375,"*","*","*","*"
"Clinton School District","=""0270011""",145,0,0.0,6,4.1
"Colchester School District","=""0280011""",250,"*","*","*","*"
"Common Ground High School District","=""2680013""",38,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""",2330,"*","*","*","*"
"Coventry School District","=""0320011""",153,"*","*","*","*"
"Cromwell School District","=""0330011""",170,"*","*","*","*"
"Danbury School District","=""0340011""",756,"*","*","*","*"
"Darien School District","=""0350011""",327,"*","*","*","*"
"Derby School District","=""0370011""",122,"*","*","*","*"
"East Granby School District","=""0400011""",76,0,0.0,"*","*"
"East Haddam School District","=""0410011""",97,0,0.0,7,7.2
"East Hampton School District","=""0420011""",139,"*","*","*","*"
"East Hartford School District","=""0430011""",594,"*","*","*","*"
"East Haven School District","=""0440011""",301,"*","*","*","*"
"East Lyme School District","=""0450011""",325,0,0.0,7,2.2
"East Windsor School District","=""0470011""",89,0,0.0,8,9.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",64,0,0.0,14,21.9
"Ellington School District","=""0480011""",181,0,0.0,7,3.9
"Enfield School District","=""0490011""",517,"*","*","*","*"
"Explorations District","=""2720013""",30,0,0.0,9,30.0
"Fairfield School District","=""0510011""",653,"*","*","*","*"
"Farmington School District","=""0520011""",335,"*","*","*","*"
"Glastonbury School District","=""0540011""",550,"*","*","*","*"
"Granby School District","=""0560011""",193,0,0.0,"*","*"
"Greenwich School District","=""0570011""",632,"*","*","*","*"
"Griswold School District","=""0580011""",200,0,0.0,31,15.5
"Groton School District","=""0590011""",333,"*","*","*","*"
"Guilford School District","=""0600011""",271,0,0.0,11,4.1
"Hamden School District","=""0620011""",579,"*","*","*","*"
"Hartford School District","=""0640011""",1590,8,0.5,462,29.1
"Killingly School District","=""0690011""",195,"*","*","*","*"
"Lebanon School District","=""0710011""",160,"*","*","*","*"
"Ledyard School District","=""0720011""",231,"*","*","*","*"
"Lisbon School District","=""0730011""","*","*","*","*","*"
"Litchfield School District","=""0740011""",95,0,0.0,"*","*"
"Madison School District","=""0760011""",317,0,0.0,8,2.5
"Manchester School District","=""0770011""",530,6,1.1,111,20.9
"Meriden School District","=""0800011""",617,8,1.3,138,22.4
"Middletown School District","=""0830011""",345,13,3.8,50,14.5
"Milford School District","=""0840011""",493,9,1.8,30,6.1
"Monroe School District","=""0850011""",366,"*","*","*","*"
"Montville School District","=""0860011""",205,"*","*","*","*"
"Naugatuck School District","=""0880011""",368,"*","*","*","*"
"New Britain School District","=""0890011""",743,7,0.9,274,36.9
"New Canaan School District","=""0900011""",311,"*","*","*","*"
"New Fairfield School District","=""0910011""",240,0,0.0,13,5.4
"New Haven School District","=""0930011""",1425,17,1.2,407,28.6
"New London School District","=""0950011""",263,"*","*","*","*"
"New Milford School District","=""0960011""",399,"*","*","*","*"
"Newington School District","=""0940011""",412,10,2.4,34,8.3
"Newtown School District","=""0970011""",445,0,0.0,17,3.8
"North Branford School District","=""0990011""",196,"*","*","*","*"
"North Haven School District","=""1010011""",307,"*","*","*","*"
"North Stonington School District","=""1020011""",67,0,0.0,6,9.0
"Norwalk School District","=""1030011""",890,"*","*","*","*"
"Norwich Free Academy District","=""9010022""",619,8,1.3,91,14.7
"Norwich School District","=""1040011""",41,"*","*",24,58.5
"Old Saybrook School District","=""1060011""",121,"*","*","*","*"
"Oxford School District","=""1080011""",155,"*","*","*","*"
"Plainfield School District","=""1090011""",230,"*","*","*","*"
"Plainville School District","=""1100011""",233,"*","*","*","*"
"Plymouth School District","=""1110011""",139,0,0.0,"*","*"
"Portland School District","=""1130011""",97,0,0.0,14,14.4
"Putnam School District","=""1160011""",74,"*","*","*","*"
"Regional School District 01","=""2010012""",138,0,0.0,18,13.0
"Regional School District 04","=""2040012""",171,"*","*","*","*"
"Regional School District 05","=""2050012""",410,"*","*","*","*"
"Regional School District 06","=""2060012""",104,0,0.0,11,10.6
"Regional School District 07","=""2070012""",209,"*","*","*","*"
"Regional School District 08","=""2080012""",267,"*","*","*","*"
"Regional School District 09","=""2090012""",220,"*","*","*","*"
"Regional School District 10","=""2100012""",175,"*","*","*","*"
"Regional School District 11","=""2110012""",39,0,0.0,10,25.6
"Regional School District 12","=""2120012""",93,0,0.0,12,12.9
"Regional School District 13","=""2130012""",140,"*","*","*","*"
"Regional School District 14","=""2140012""",218,"*","*","*","*"
"Regional School District 15","=""2150012""",388,"*","*","*","*"
"Regional School District 16","=""2160012""",198,"*","*","*","*"
"Regional School District 17","=""2170012""",180,0,0.0,10,5.6
"Regional School District 18","=""2180012""",135,"*","*","*","*"
"Regional School District 19","=""2190012""",284,"*","*","*","*"
"Ridgefield School District","=""1180011""",433,"*","*","*","*"
"Rocky Hill School District","=""1190011""",176,0,0.0,13,7.4
"Seymour School District","=""1240011""",189,0,0.0,25,13.2
"Shelton School District","=""1260011""",396,"*","*","*","*"
"Simsbury School District","=""1280011""",359,"*","*","*","*"
"Somers School District","=""1290011""",144,"*","*","*","*"
"South Windsor School District","=""1320011""",425,"*","*","*","*"
"Southington School District","=""1310011""",541,"*","*","*","*"
"Stafford School District","=""1340011""",135,0,0.0,18,13.3
"Stamford Academy District","=""2820013""",51,"*","*","*","*"
"Stamford School District","=""1350011""",1185,10,0.8,116,9.8
"Stonington School District","=""1370011""",212,"*","*","*","*"
"Stratford School District","=""1380011""",573,"*","*","*","*"
"Suffield School District","=""1390011""",214,0,0.0,"*","*"
"The Bridge Academy District","=""2690013""",28,0,0.0,"*","*"
"The Gilbert School District","=""9020022""",69,0,0.0,9,13.0
"Thomaston School District","=""1400011""",104,"*","*","*","*"
"Thompson School District","=""1410011""",95,0,0.0,10,10.5
"Tolland School District","=""1420011""",224,"*","*","*","*"
"Torrington School District","=""1430011""",284,"*","*","*","*"
"Trumbull School District","=""1440011""",503,"*","*","*","*"
"Unified School District #1","=""3360015""",740,7,0.9,708,95.7
"Unified School District #2","=""3470015""",31,"*","*","*","*"
"Vernon School District","=""1460011""",291,"*","*","*","*"
"Wallingford School District","=""1480011""",560,"*","*","*","*"
"Waterbury School District","=""1510011""",1300,"*","*","*","*"
"Waterford School District","=""1520011""",271,"*","*","*","*"
"Watertown School District","=""1530011""",246,"*","*","*","*"
"West Hartford School District","=""1550011""",829,9,1.1,44,5.3
"West Haven School District","=""1560011""",456,"*","*","*","*"
"Westbrook School District","=""1540011""",75,0,0.0,"*","*"
"Weston School District","=""1570011""",195,"*","*",0,0.0
"Westport School District","=""1580011""",474,"*","*","*","*"
"Wethersfield School District","=""1590011""",305,"*","*","*","*"
"Wilton School District","=""1610011""",305,"*","*","*","*"
"Windham School District","=""1630011""",258,"*","*","*","*"
"Windsor Locks School District","=""1650011""",134,"*","*","*","*"
"Windsor School District","=""1640011""",349,7,2.0,36,10.3
