"Six-Year Graduation Rates, Trend"
"All Districts, High Needs Status"

"",,"Graduates",,
"",,"Six-Year Graduation Rate by Year",,
"District","High Needs Status","2010-11","2011-12","2012-13"
"Amistad Academy District","High Needs",69.2,"*","*"
"Amistad Academy District","Non-High Needs",69.2,"*","*"
"Ansonia School District","High Needs",68.9,79.7,79.6
"Ansonia School District","Non-High Needs",89.3,91.9,94.4
"Avon School District","High Needs",96.9,93.2,91.5
"Avon School District","Non-High Needs",98.2,98.7,99.5
"Berlin School District","High Needs",86.7,96.8,86.5
"Berlin School District","Non-High Needs",96.8,98.5,98.6
"Bethel School District","High Needs",88.9,92.9,86.7
"Bethel School District","Non-High Needs",97.6,98.3,100.0
"Bloomfield School District","High Needs",80.5,87.5,94.6
"Bloomfield School District","Non-High Needs",87.1,95.9,95.5
"Bolton School District","High Needs",80.0,76.9,86.4
"Bolton School District","Non-High Needs",98.4,100.0,98.4
"Branford School District","High Needs",82.9,93.1,91.6
"Branford School District","Non-High Needs",99.1,95.9,95.2
"Bridgeport School District","High Needs",66.7,"*",73.5
"Bridgeport School District","Non-High Needs",64.6,"*",77.8
"Bristol School District","High Needs",73.6,82.7,75.5
"Bristol School District","Non-High Needs",88.6,95.0,95.1
"Brookfield School District","High Needs",89.5,90.3,90.2
"Brookfield School District","Non-High Needs",96.7,100.0,99.0
"Canton School District","High Needs",94.7,100.0,96.9
"Canton School District","Non-High Needs",96.0,99.0,100.0
"Capitol Region Education Council","High Needs",84.0,80.9,78.1
"Capitol Region Education Council","Non-High Needs",89.6,88.3,91.3
"Cheshire School District","High Needs",90.9,94.0,89.8
"Cheshire School District","Non-High Needs",98.8,99.4,99.0
"Clinton School District","High Needs",94.3,90.6,88.5
"Clinton School District","Non-High Needs",95.5,95.5,95.6
"Colchester School District","High Needs",90.7,93.8,90.9
"Colchester School District","Non-High Needs",97.1,99.4,98.0
"Common Ground High School District","High Needs",85.2,95.8,93.3
"Common Ground High School District","Non-High Needs",100.0,100.0,100.0
"Connecticut Technical High School System","High Needs",90.6,96.0,96.1
"Connecticut Technical High School System","Non-High Needs",95.3,97.7,98.4
"Coventry School District","High Needs",75.0,78.7,81.4
"Coventry School District","Non-High Needs",95.2,98.1,95.8
"Cromwell School District","High Needs",77.1,85.4,92.7
"Cromwell School District","Non-High Needs",99.3,99.0,97.0
"Danbury School District","High Needs",74.8,79.7,78.5
"Danbury School District","Non-High Needs",89.9,92.9,94.9
"Darien School District","High Needs",92.7,94.2,88.9
"Darien School District","Non-High Needs",97.6,98.1,98.9
"Department of Mental Health and Addiction Services","High Needs","N/A","N/A","*"
"Derby School District","High Needs",74.1,73.6,77.4
"Derby School District","Non-High Needs",88.2,92.5,96.8
"East Granby School District","High Needs",85.7,90.9,100.0
"East Granby School District","Non-High Needs",98.6,98.0,98.3
"East Haddam School District","High Needs",91.7,85.2,91.3
"East Haddam School District","Non-High Needs",92.9,96.1,100.0
"East Hampton School District","High Needs",75.0,86.7,92.6
"East Hampton School District","Non-High Needs",94.1,97.8,99.0
"East Hartford School District","High Needs",83.9,81.8,81.9
"East Hartford School District","Non-High Needs",88.7,93.2,93.8
"East Haven School District","High Needs",74.2,70.1,65.5
"East Haven School District","Non-High Needs",92.2,87.0,89.7
"East Lyme School District","High Needs",100.0,87.7,87.1
"East Lyme School District","Non-High Needs",97.5,96.8,99.6
"East Windsor School District","High Needs",91.2,81.1,81.6
"East Windsor School District","Non-High Needs",90.9,96.1,97.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","High Needs",85.7,75.6,80.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-High Needs",74.4,90.0,90.9
"Ellington School District","High Needs",96.0,70.3,84.6
"Ellington School District","Non-High Needs",96.2,98.2,96.9
"Elm City College Preparatory School District","High Needs","N/A","*","*"
"Elm City College Preparatory School District","Non-High Needs","N/A","*","*"
"Enfield School District","High Needs",75.8,74.1,81.8
"Enfield School District","Non-High Needs",91.5,96.3,96.7
"Explorations District","High Needs",64.3,47.4,58.8
"Explorations District","Non-High Needs",75.0,88.9,84.6
"Fairfield School District","High Needs",90.0,90.2,86.0
"Fairfield School District","Non-High Needs",98.2,98.5,98.1
"Farmington School District","High Needs",86.3,88.7,85.7
"Farmington School District","Non-High Needs",97.9,98.4,100.0
"Glastonbury School District","High Needs",89.0,88.9,89.1
"Glastonbury School District","Non-High Needs",99.3,99.5,99.6
"Granby School District","High Needs",94.7,96.6,96.3
"Granby School District","Non-High Needs",98.9,98.7,98.8
"Greenwich School District","High Needs",90.4,93.2,91.5
"Greenwich School District","Non-High Needs",99.6,96.9,99.4
"Griswold School District","High Needs",62.0,78.3,82.4
"Griswold School District","Non-High Needs",92.0,95.1,95.8
"Groton School District","High Needs",66.4,74.8,75.3
"Groton School District","Non-High Needs",91.1,90.2,92.2
"Guilford School District","High Needs",89.7,91.7,86.0
"Guilford School District","Non-High Needs",97.0,100.0,97.3
"Hamden School District","High Needs",79.4,85.7,85.8
"Hamden School District","Non-High Needs",93.1,95.6,95.1
"Hartford School District","High Needs",68.5,73.6,75.5
"Hartford School District","Non-High Needs",87.8,96.9,95.3
"Killingly School District","High Needs",60.6,78.2,70.9
"Killingly School District","Non-High Needs",83.1,92.9,91.7
"Learn","High Needs","N/A","N/A",100.0
"Learn","Non-High Needs","N/A","N/A",75.0
"Lebanon School District","High Needs",78.1,85.2,90.9
"Lebanon School District","Non-High Needs",96.9,93.1,95.3
"Ledyard School District","High Needs",90.7,87.0,80.8
"Ledyard School District","Non-High Needs",93.8,96.2,97.4
